time_days,Sb130 top 14
1.1581889009869677e-05,2984532921.8650713
1.160227070288277e-05,3077522142.565593
1.1622688263396381e-05,3171599200.785903
1.1643141754529784e-05,3266744441.4931455
1.1663631239513322e-05,3362972980.733453
1.168415678168862e-05,3460243628.299762
1.1704718444508758e-05,3558519516.189884
1.1725316291538495e-05,3657809004.350336
1.1745950386454436e-05,3758081510.456808
1.1766620793045252e-05,3859293158.827175
1.178732757521187e-05,3961426087.3686476
1.1808070796967665e-05,4064460878.998611
1.1828850522438664e-05,4168378017.6017847
1.1849666815863737e-05,4273172155.1327596
1.1870519741594814e-05,4378791742.020934
1.1891409364097055e-05,4485207681.50297
1.1912335747949075e-05,4592401300.550195
1.1933298957843133e-05,4700360001.755812
1.1954299058585331e-05,4809085414.976954
1.1975336115095818e-05,4918525107.245995
1.199641019240898e-05,5028658511.904822
1.2017521355673667e-05,5139464864.811287
1.2038669670153358e-05,5250934757.724061
1.2059855201226398e-05,5363049467.327989
1.2081078014386175e-05,5475771082.14448
1.2102338175241337e-05,5589079001.287469
1.2123635749515981e-05,5702952159.7761
1.2144970803049875e-05,5817378150.8828945
1.2166343401798645e-05,5932335969.483293
1.2187753611833987e-05,6047794539.497578
1.2209201499343867e-05,6163725091.194081
1.2230687130632732e-05,6280113981.343628
1.2252210572121708e-05,6396949145.736236
1.2273771890348808e-05,6514194812.989826
1.2295371151969139e-05,6631826034.3872595
1.2317008423755106e-05,6749812191.087688
1.2338683772596625e-05,6868150538.729336
1.2360397265501313e-05,6986804678.092583
1.2382148969594712e-05,7105776685.933654
1.2403938952120499e-05,7225029757.507076
1.2425767280440676e-05,7344558793.648552
1.2447634022035786e-05,7464336607.5361395
1.246953924450513e-05,7584348988.4623375
1.249148301556697e-05,7704576217.112054
1.2513465403058733e-05,7824999083.517423
1.2535486474937229e-05,7945601081.623623
1.2557546299278855e-05,8066360395.128416
1.2579644944279813e-05,8187254857.422942
1.2601782478256311e-05,8308274777.449466
1.262395896964478e-05,8429383161.924177
1.2646174487002088e-05,8550585398.211796
1.2668429099005746e-05,8671852856.029638
1.2690722874454123e-05,8793165904.743263
1.271305588226666e-05,8914527272.280756
1.273542819148408e-05,9035884321.988186
1.2757839871268606e-05,9157255370.176956
1.278029099090417e-05,9278609086.944399
1.2802781619796623e-05,9399921896.041904
1.2825311827473973e-05,9521208378.541525
1.2847881683586564e-05,9642395050.00879
1.287049125790732e-05,9763516220.116371
1.2893140620331946e-05,9884547618.992525
1.2915829840879158e-05,10005442947.09948
1.2938558989690875e-05,10126238333.125301
1.2961328137032467e-05,10246871070.168766
1.2984137353292944e-05,10367338242.477083
1.3006986708985192e-05,10487653614.032072
1.3029876274746181e-05,10607761089.943947
1.3052806121337195e-05,10727660415.406471
1.3075776319644034e-05,10847370212.183472
1.3098786940677248e-05,10966833843.647417
1.3121838055572345e-05,11086019966.664307
1.3144929735590026e-05,11204959113.759985
1.3168062052116383e-05,11323640579.308405
1.3191235076663149e-05,11442053805.80535
1.3214448880867883e-05,11560137434.285202
1.3237703536494226e-05,11677908311.096046
1.3260999115432103e-05,11795370956.845
1.3284335689697951e-05,11912516421.557137
1.330771333143494e-05,12029334955.6189
1.3331132112913196e-05,12145782033.662634
1.3354592106530025e-05,12261843036.97993
1.337809338481014e-05,12377546998.279682
1.3401636020405882e-05,12492885208.636793
1.3425220086097441e-05,12607849205.180706
1.3448845654793088e-05,12722415409.964922
1.34725127995294e-05,12836513898.463333
1.349622159347147e-05,12950203815.903946
1.3519972109913168e-05,13063478911.642805
1.3543764422277326e-05,13176331718.461931
1.3567598604115993e-05,13288755011.673574
1.3591474729110654e-05,13400741814.62988
1.361539287107246e-05,13512239146.535816
1.363935310394245e-05,13623254454.921288
1.3663355501791783e-05,13733812662.964214
1.3687400138821973e-05,13843907899.45501
1.3711487089365112e-05,13953534551.44624
1.3735616427884092e-05,14062661729.323238
1.3759788228972857e-05,14171301805.857054
1.3784002567356613e-05,14279422199.696014
1.380825951789207e-05,14387014762.3146
1.3832559155567663e-05,14494106547.53798
1.3856901555503803e-05,14600694011.452333
1.3881286792953086e-05,14706773857.161215
1.3905714943300544e-05,14812303660.16411
1.3930186082063866e-05,14917309527.932156
1.3954700284893642e-05,15021788737.67627
1.3979257627573583e-05,15125739001.96305
1.400385818602077e-05,15229158260.537672
1.402850203628588e-05,15332044662.120756
1.4053189254553426e-05,15434396568.719742
1.4077919917141983e-05,15536212561.721739
1.4102694100504435e-05,15637491446.073397
1.4127511881228208e-05,15738232252.264723
1.4152373336035507e-05,15838434236.506096
1.4177278541783544e-05,15938096879.540903
1.4202227575464792e-05,16037177807.720896
1.4227220514207215e-05,16135718363.119682
1.4252257435274499e-05,16233718497.810951
1.42773384160663e-05,16331178449.191906
1.430246353411849e-05,16428083488.302834
1.432763286710337e-05,16524455758.834686
1.4352846492829945e-05,16620294386.298498
1.4378104489244141e-05,16715599189.446066
1.4403406934429051e-05,16810370546.44641
1.4428753906605179e-05,16904609335.473772
1.4454145484130684e-05,16998316890.170416
1.4479581745501612e-05,17091494960.88503
1.4505062769352152e-05,17184145679.373486
1.453058863445487e-05,17276271526.25434
1.4556159419720954e-05,17367875300.899467
1.4581775204200458e-05,17458960093.54126
1.4607436067082557e-05,17549529230.893528
1.463314208769577e-05,17639586316.80192
1.4658893345508223e-05,17729135190.51726
1.4684689920127891e-05,17818179892.707314
1.4710531891302839e-05,17906724646.58144
1.4736419338921472e-05,17994773835.808056
1.4762352343012788e-05,18082278529.255398
1.4788330983746608e-05,18169285356.279343
1.4814355341433845e-05,18255808432.136627
1.4840425496526739e-05,18341852845.607666
1.4866541529619105e-05,18427423752.945206
1.4892703521446595e-05,18512526366.659325
1.4918911552886926e-05,18597146055.652035
1.494516570496016e-05,18681245647.32475
1.4971466058828923e-05,18764892159.78501
1.4997812695798674e-05,18848091067.499817
1.5024205697317954e-05,18930847842.34083
1.5050645144978636e-05,19013133060.491184
1.507713112051618e-05,19094871819.088757
1.5103663705809878e-05,19176181193.829174
1.5130242982883115e-05,19256982238.346256
1.515686903390362e-05,19337316369.662125
1.5183541941183719e-05,19417209492.392487
1.5210261787180595e-05,19496708916.54056
1.5237028654496532e-05,19575817386.21242
1.526384262587918e-05,19654503298.737057
1.5290703784221806e-05,19732674890.35021
