#                               Top nuclear energy producers for each reaction given in erg/g/s                                                                                                                                                                                                                                                                                                                                                                                                                                                  Top nuclear energy consumers for each reaction given in erg/g/s                                                                                                                                                                                                                                                                                                                                                                                                                             |     Top nuclear energy producers for each isotope given in erg/g/s                                                                                                                                                                                         Top nuclear energy consumers for each isotope given in erg/g/s
#    Time[s]   Etot[erg/g/s]    Reaction_1                       Reaction_2                       Reaction_3                       Reaction_4                       Reaction_5                       Reaction_6                       Reaction_7                       Reaction_8                       Reaction_9                       Reaction_10                           Ereac_1        Ereac_2        Ereac_3        Ereac_4        Ereac_5        Ereac_6        Ereac_7        Ereac_8        Ereac_9        Ereac_10         Reaction_1                       Reaction_2                       Reaction_3                       Reaction_4                       Reaction_5                       Reaction_6                       Reaction_7                       Reaction_8                       Reaction_9                       Reaction_10                          Ereac_1        Ereac_2        Ereac_3        Ereac_4        Ereac_5        Ereac_6        Ereac_7        Ereac_8        Ereac_9        Ereac_10         |      Iso1    Iso2    Iso3    Iso4    Iso5    Iso6    Iso7    Iso8    Iso9   Iso10        Eiso_1         Eiso_2         Eiso_3         Eiso_4         Eiso_5         Eiso_6         Eiso_7         Eiso_8         Eiso_9         Eiso_10           Iso1    Iso2    Iso3    Iso4    Iso5    Iso6    Iso7    Iso8    Iso9   Iso10        Eiso_1         Eiso_2         Eiso_3         Eiso_4         Eiso_5         Eiso_6         Eiso_7         Eiso_8         Eiso_9         Eiso_10
  2.3259E-05      8.5001E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6908E+19     1.3280E+19     6.4676E+18     5.2588E+18     1.8513E+18     1.7205E+18     7.1335E+17     6.5287E+17     5.0662E+17     4.9456E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7268E-53     8.7040E-52     4.1330E-18     5.8154E-17     4.6440E-11     1.2709E-07     8.8205E-07     2.1318E-06     3.4525E-06     3.6459E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9323E+20     8.9261E+19     4.9770E+19     3.1975E+19     2.5808E+19     2.2459E+19     2.1775E+19     1.8214E+19     1.5864E+19     1.3832E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7842E+20    -8.3871E+19    -7.4871E+19    -1.3291E+19    -8.1591E+18    -2.8166E+18    -1.2181E+18    -1.0846E+18    -2.6763E+17    -1.0406E+17
  2.3261E-05      8.5000E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6908E+19     1.3280E+19     6.4675E+18     5.2588E+18     1.8514E+18     1.7206E+18     7.1331E+17     6.5283E+17     5.0662E+17     4.9453E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7264E-53     8.7021E-52     4.1318E-18     5.8127E-17     4.6418E-11     1.2706E-07     8.8200E-07     2.1313E-06     3.4520E-06     3.6458E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9323E+20     8.9258E+19     4.9769E+19     3.1974E+19     2.5808E+19     2.2459E+19     2.1775E+19     1.8213E+19     1.5864E+19     1.3831E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7841E+20    -8.3872E+19    -7.4868E+19    -1.3291E+19    -8.1589E+18    -2.8166E+18    -1.2182E+18    -1.0846E+18    -2.6764E+17    -1.0405E+17
  2.3265E-05      8.4999E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6908E+19     1.3280E+19     6.4672E+18     5.2589E+18     1.8515E+18     1.7207E+18     7.1322E+17     6.5275E+17     5.0661E+17     4.9449E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7257E-53     8.6983E-52     4.1296E-18     5.8074E-17     4.6375E-11     1.2699E-07     8.8191E-07     2.1301E-06     3.4511E-06     3.6455E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9324E+20     8.9251E+19     4.9767E+19     3.1972E+19     2.5810E+19     2.2458E+19     2.1775E+19     1.8213E+19     1.5864E+19     1.3829E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7840E+20    -8.3873E+19    -7.4863E+19    -1.3292E+19    -8.1585E+18    -2.8167E+18    -1.2182E+18    -1.0847E+18    -2.6766E+17    -1.0405E+17
  2.3273E-05      8.4997E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6909E+19     1.3281E+19     6.4667E+18     5.2591E+18     1.8517E+18     1.7208E+18     7.1304E+17     6.5258E+17     5.0660E+17     4.9440E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7242E-53     8.6907E-52     4.1250E-18     5.7967E-17     4.6289E-11     1.2684E-07     8.8174E-07     2.1279E-06     3.4491E-06     3.6449E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9324E+20     8.9238E+19     4.9763E+19     3.1968E+19     2.5814E+19     2.2455E+19     2.1774E+19     1.8211E+19     1.5864E+19     1.3825E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7838E+20    -8.3875E+19    -7.4852E+19    -1.3293E+19    -8.1576E+18    -2.8167E+18    -1.2183E+18    -1.0848E+18    -2.6769E+17    -1.0404E+17
  2.3290E-05      8.4993E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6911E+19     1.3283E+19     6.4656E+18     5.2594E+18     1.8520E+18     1.7212E+18     7.1268E+17     6.5225E+17     5.0658E+17     4.9422E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7213E-53     8.6755E-52     4.1160E-18     5.7755E-17     4.6116E-11     1.2655E-07     8.8138E-07     2.1234E-06     3.4453E-06     3.6439E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9325E+20     8.9212E+19     4.9754E+19     3.1959E+19     2.5822E+19     2.2451E+19     2.1774E+19     1.8209E+19     1.5863E+19     1.3816E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7835E+20    -8.3880E+19    -7.4831E+19    -1.3295E+19    -8.1560E+18    -2.8168E+18    -1.2185E+18    -1.0849E+18    -2.6776E+17    -1.0403E+17
  2.3323E-05      8.4984E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6915E+19     1.3286E+19     6.4634E+18     5.2601E+18     1.8528E+18     1.7219E+18     7.1196E+17     6.5160E+17     5.0654E+17     4.9387E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7155E-53     8.6451E-52     4.0979E-18     5.7333E-17     4.5774E-11     1.2597E-07     8.8067E-07     2.1144E-06     3.4376E-06     3.6417E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9328E+20     8.9159E+19     4.9737E+19     3.1941E+19     2.5836E+19     2.2442E+19     2.1774E+19     1.8204E+19     1.5862E+19     1.3798E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7827E+20    -8.3890E+19    -7.4788E+19    -1.3299E+19    -8.1527E+18    -2.8169E+18    -1.2188E+18    -1.0853E+18    -2.6791E+17    -1.0400E+17
  2.3388E-05      8.4966E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6923E+19     1.3292E+19     6.4590E+18     5.2614E+18     1.8543E+18     1.7233E+18     7.1053E+17     6.5029E+17     5.0647E+17     4.9316E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7039E-53     8.5847E-52     4.0620E-18     5.6497E-17     4.5096E-11     1.2482E-07     8.7925E-07     2.0965E-06     3.4224E-06     3.6374E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9332E+20     8.9054E+19     4.9704E+19     3.1906E+19     2.5866E+19     2.2424E+19     2.1773E+19     1.8194E+19     1.5861E+19     1.3764E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7812E+20    -8.3909E+19    -7.4702E+19    -1.3308E+19    -8.1460E+18    -2.8172E+18    -1.2196E+18    -1.0860E+18    -2.6819E+17    -1.0395E+17
  2.3519E-05      8.4932E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6938E+19     1.3304E+19     6.4503E+18     5.2640E+18     1.8573E+18     1.7261E+18     7.0766E+17     6.4767E+17     5.0631E+17     4.9175E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.6810E-53     8.4651E-52     3.9911E-18     5.4861E-17     4.3770E-11     1.2255E-07     8.7641E-07     2.0612E-06     3.3920E-06     3.6288E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9341E+20     8.8845E+19     4.9636E+19     3.1836E+19     2.5925E+19     2.2389E+19     2.1771E+19     1.8173E+19     1.5857E+19     1.3694E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7782E+20    -8.3947E+19    -7.4530E+19    -1.3326E+19    -8.1328E+18    -2.8177E+18    -1.2210E+18    -1.0875E+18    -2.6876E+17    -1.0384E+17
  2.3781E-05      8.4862E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.6969E+19     1.3328E+19     6.4329E+18     5.2693E+18     1.8633E+18     1.7317E+18     7.0197E+17     6.4245E+17     5.0599E+17     4.8892E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.6361E-53     8.2307E-52     3.8529E-18     5.1728E-17     4.1233E-11     1.1814E-07     8.7076E-07     1.9922E-06     3.3321E-06     3.6117E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9359E+20     8.8427E+19     4.9501E+19     3.1696E+19     2.6042E+19     2.2318E+19     2.1767E+19     1.8133E+19     1.5850E+19     1.3557E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7722E+20    -8.4024E+19    -7.4185E+19    -1.3362E+19    -8.1062E+18    -2.8188E+18    -1.2239E+18    -1.0905E+18    -2.6991E+17    -1.0362E+17
  2.4306E-05      8.4724E+19    se118 => br118                   se118 => n + n + br116           ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + n + br115           ni99 => cu99                     ni99 => n + n + cu97             ge110 => as110                   ni98 => cu98                          1.7031E+19     1.3377E+19     6.3980E+18     5.2798E+18     1.8754E+18     1.7429E+18     6.9069E+17     6.3213E+17     5.0535E+17     4.8331E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.5496E-53     7.7803E-52     3.5903E-18     4.5981E-17     3.6584E-11     1.0976E-07     8.5953E-07     1.8610E-06     3.2150E-06     3.5774E-06       |     ge112    ni99    ni98   zn105       n    fe92   ge111   zn104   kr124    ti80        2.9393E+20     8.7595E+19     4.9231E+19     3.1417E+19     2.6276E+19     2.2176E+19     2.1759E+19     1.8051E+19     1.5836E+19     1.3285E+19       se118   se117   as115   se116   as114   br119   se115   br118   br117   zr136       -3.7601E+20    -8.4177E+19    -7.3497E+19    -1.3434E+19    -8.0529E+18    -2.8209E+18    -1.2298E+18    -1.0965E+18    -2.7223E+17    -1.0317E+17
