time_days,Re188 top 16
1.1581889009869677e-05,1.2331661907210433e-88
1.160227070288277e-05,1.2331661907210433e-88
1.1622688263396381e-05,1.2331661907210433e-88
1.1643141754529784e-05,1.2331661907210433e-88
1.1663631239513322e-05,1.2331661907210433e-88
1.168415678168862e-05,1.2331661907210433e-88
1.1704718444508758e-05,1.2331661907210433e-88
1.1725316291538495e-05,1.2331661907210433e-88
1.1745950386454436e-05,1.2331661907210433e-88
1.1766620793045252e-05,1.2331661907210433e-88
1.178732757521187e-05,1.2331661907210433e-88
1.1808070796967665e-05,1.2331661907210433e-88
1.1828850522438664e-05,1.2331661907210433e-88
1.1849666815863737e-05,1.2331661907210433e-88
1.1870519741594814e-05,1.2331661907210433e-88
1.1891409364097055e-05,1.2331661907210433e-88
1.1912335747949075e-05,1.2331661907210433e-88
1.1933298957843133e-05,1.2331661907210433e-88
1.1954299058585331e-05,1.2331661907210433e-88
1.1975336115095818e-05,1.2331661907210433e-88
1.199641019240898e-05,1.2331661907210433e-88
1.2017521355673667e-05,1.2331661907210433e-88
1.2038669670153358e-05,1.2331661907210433e-88
1.2059855201226398e-05,1.2331661907210433e-88
1.2081078014386175e-05,1.2331661907210433e-88
1.2102338175241337e-05,1.2331661907210433e-88
1.2123635749515981e-05,1.2331661907210433e-88
1.2144970803049875e-05,1.2331661907210433e-88
1.2166343401798645e-05,1.2331661907210433e-88
1.2187753611833987e-05,1.2331661907210433e-88
1.2209201499343867e-05,1.2331661907210433e-88
1.2230687130632732e-05,1.2331661907210433e-88
1.2252210572121708e-05,1.2331661907210433e-88
1.2273771890348808e-05,1.2331661907210433e-88
1.2295371151969139e-05,1.2331661907210433e-88
1.2317008423755106e-05,1.2331661907210433e-88
1.2338683772596625e-05,1.2331661907210433e-88
1.2360397265501313e-05,1.2331661907210433e-88
1.2382148969594712e-05,1.2331661907210433e-88
1.2403938952120499e-05,1.2331661907210433e-88
1.2425767280440676e-05,1.2331661907210433e-88
1.2447634022035786e-05,1.2331661907210433e-88
1.246953924450513e-05,1.2331661907210433e-88
1.249148301556697e-05,1.2331661907210433e-88
