# 1:A 2:Y(A) 3:X(A)
    1     1.73503945176187E-09     1.73503945176187E-09
    2     3.12680252147779E-16     6.25360504295558E-16
    3     2.01415438777758E-08     6.04246316333275E-08
    4     2.71843977433194E-04     1.08737590973277E-03
    5     0.00000000000000E+00     0.00000000000000E+00
    6     1.43185974586762E-08     8.59115847520572E-08
    7     1.68870699964895E-09     1.18209489975427E-08
    8     0.00000000000000E+00     0.00000000000000E+00
    9     8.76940542546131E-07     7.89246488291518E-06
   10     3.69892557176674E-07     3.69892557176674E-06
   11     2.29223203561175E-08     2.52145523917292E-07
   12     6.60843579239259E-07     7.93012295087110E-06
   13     6.53542291362550E-08     8.49604978771315E-07
   14     5.58524340977459E-08     7.81934077368442E-07
   15     1.00004580021160E-05     1.50006870031740E-04
   16     1.99262618427344E-07     3.18820189483751E-06
   17     2.32612840448813E-09     3.95441828762982E-08
   18     1.85509249542024E-07     3.33916649175642E-06
   19     7.80200992853287E-07     1.48238188642125E-05
   20     9.44577352969460E-07     1.88915470593892E-05
   21     1.50028647806780E-07     3.15060160394238E-06
   22     4.19092365832442E-06     9.22003204831373E-05
   23     1.40936453415266E-09     3.24153842855112E-08
   24     2.34663168752620E-08     5.63191605006289E-07
   25     8.25984449362640E-08     2.06496112340660E-06
   26     5.13110084478434E-09     1.33408621964393E-07
   27     1.43023037419106E-09     3.86162201031586E-08
   28     1.12258927623875E-09     3.14324997346851E-08
   29     6.87089770821404E-10     1.99256033538207E-08
   30     1.49537115178706E-09     4.48611345536119E-08
   31     2.29005745120399E-09     7.09917809873236E-08
   32     8.81212840497672E-09     2.81988108959255E-07
   33     8.31285145539671E-09     2.74324098028091E-07
   34     1.11333501589813E-08     3.78533905405364E-07
   35     7.57104988272873E-09     2.64986745895506E-07
   36     2.12351734005703E-09     7.64466242420531E-08
   37     6.92748374008290E-09     2.56316898383067E-07
   38     3.77913526375982E-09     1.43607140022873E-07
   39     8.87835381790627E-10     3.46255798898345E-08
   40     1.69419667021936E-09     6.77678668087745E-08
   41     3.80787184586850E-09     1.56122745680608E-07
   42     3.98788478081908E-08     1.67491160794402E-06
   43     8.77882305909063E-09     3.77489391540897E-07
   44     1.03279882370598E-08     4.54431482430630E-07
   45     2.12063349887979E-08     9.54285074495905E-07
   46     1.24145389387859E-08     5.71068791184152E-07
   47     2.24771960744041E-09     1.05642821549699E-07
   48     2.53146937531675E-09     1.21510530015204E-07
   49     7.84484779465205E-10     3.84397541937950E-08
   50     2.77785485376375E-09     1.38892742688188E-07
   51     2.79271054734377E-09     1.42428237914532E-07
   52     4.56477321065995E-09     2.37368206954317E-07
   53     1.32930572241105E-09     7.04532032877856E-08
   54     7.26467134606114E-10     3.92292252687302E-08
   55     2.35389936633485E-10     1.29464465148417E-08
   56     6.86374201015764E-10     3.84369552568828E-08
   57     1.27931455755376E-09     7.29209297805643E-08
   58     9.40189502515151E-10     5.45309911458788E-08
   59     8.64719463751327E-10     5.10184483613283E-08
   60     6.51448082702609E-10     3.90868849621565E-08
   61     8.72100241690991E-10     5.31981147431504E-08
   62     2.68010870324063E-09     1.66166739600919E-07
   63     3.09963306866199E-09     1.95276883325705E-07
   64     1.55570331212062E-09     9.95650119757199E-08
   65     2.20263658446250E-09     1.43171377990063E-07
   66     1.41933452137360E-09     9.36760784106579E-08
   67     1.68541970014162E-09     1.12923119909488E-07
   68     1.05291210743006E-09     7.15980233052443E-08
   69     1.87374462474110E-09     1.29288379107136E-07
   70     9.68879218402131E-10     6.78215452881492E-08
   71     1.56851070931696E-09     1.11364260361504E-07
   72     1.12056352112287E-09     8.06805735208468E-08
   73     1.26634655694595E-09     9.24432986570540E-08
   74     8.24283045306230E-10     6.09969453526610E-08
   75     1.93210350032678E-09     1.44907762524509E-07
   76     6.57170712304942E-09     4.99449741351756E-07
   77     2.09997452010439E-08     1.61698038048038E-06
   78     1.30326673924930E-08     1.01654805661445E-06
   79     9.25465510807116E-09     7.31117753537622E-07
   80     1.77345492502888E-09     1.41876394002310E-07
   81     3.39353362114335E-09     2.74876223312611E-07
   82     1.73754054343666E-09     1.42478324561806E-07
   83     1.05220098705745E-09     8.73326819257684E-08
   84     1.26317161649760E-09     1.06106415785798E-07
   85     8.23981025880742E-10     7.00383871998631E-08
   86     1.34968239603709E-09     1.16072686059190E-07
   87     1.54849056416860E-09     1.34718679082668E-07
   88     1.68183625599007E-09     1.48001590527126E-07
   89     1.28429353679792E-09     1.14302124775015E-07
   90     9.49256725732641E-10     8.54331053159377E-08
   91     6.11784458957207E-10     5.56723857651058E-08
   92     6.92513129978298E-10     6.37112079580034E-08
   93     3.26772105376211E-10     3.03898057999877E-08
   94     1.82165331665903E-10     1.71235411765949E-08
   95     7.18955326127363E-10     6.83007559820995E-08
   96     4.92033806999551E-10     4.72352454719569E-08
   97     7.28678186855845E-10     7.06817841250170E-08
   98     4.65301582619842E-10     4.55995550967446E-08
