# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      1      0     1.73503945176187E-09   1.73503945176187E-09
    2      1      1     3.12680252147779E-16   6.25360504295558E-16
    3      1      2     1.86495118463585E-08   5.59485355390754E-08
    3      2      1     1.49203203141738E-09   4.47609609425214E-09
    4      2      2     2.71843977433194E-04   1.08737590973277E-03
    6      3      3     1.43185974586762E-08   8.59115847520572E-08
    7      3      4     1.68870699963550E-09   1.18209489974485E-08
    7      4      3     1.34497884801947E-20   9.41485193613629E-20
    9      4      5     8.76940542546131E-07   7.89246488291518E-06
   10      4      6     3.69892297045965E-07   3.69892297045965E-06
   10      5      5     2.60130709432784E-13   2.60130709432784E-12
   11      5      6     2.29223203561175E-08   2.52145523917292E-07
   12      6      6     6.60843579239259E-07   7.93012295087110E-06
   13      6      7     6.53542291362550E-08   8.49604978771315E-07
   14      6      8     5.54936944292315E-08   7.76911722009241E-07
   14      7      7     3.58739668514386E-10   5.02235535920141E-09
   15      7      8     1.00004580021160E-05   1.50006870031740E-04
   16      8      8     1.99262618427344E-07   3.18820189483751E-06
   17      8      9     2.32612840448813E-09   3.95441828762982E-08
   18      8     10     1.85509249542024E-07   3.33916649175642E-06
   19      9     10     7.80200992853287E-07   1.48238188642125E-05
   20     10     10     9.44577352969460E-07   1.88915470593892E-05
   21     10     11     1.50028647806780E-07   3.15060160394238E-06
   22     10     12     4.19092365832442E-06   9.22003204831373E-05
   23     11     12     1.40936453415266E-09   3.24153842855112E-08
   24     12     12     2.34663168752620E-08   5.63191605006289E-07
   25     12     13     8.25984449362640E-08   2.06496112340660E-06
   26     12     14     5.13110084478434E-09   1.33408621964393E-07
   27     13     14     1.43023037419106E-09   3.86162201031586E-08
   28     14     14     1.12258927623875E-09   3.14324997346851E-08
   29     14     15     6.87089770821404E-10   1.99256033538207E-08
   30     14     16     1.49537115178706E-09   4.48611345536119E-08
   31     15     16     2.29005745120399E-09   7.09917809873236E-08
   32     14     18     8.75766410900814E-09   2.80245251488260E-07
   32     15     17     2.23075296671769E-12   7.13840949349662E-11
   32     16     16     5.22335430018629E-11   1.67147337605961E-09
   33     15     18     1.39195561877325E-14   4.59345354195174E-13
   33     16     17     8.31283753584052E-09   2.74323638682737E-07
   34     16     18     1.11333501589813E-08   3.78533905405364E-07
   35     16     19     1.48212806806685E-10   5.18744823823397E-09
   35     17     18     7.42283707592205E-09   2.59799297657272E-07
   36     16     20     2.12351733806384E-09   7.64466241702981E-08
   36     17     19     1.99319385184038E-18   7.17549786662537E-17
   37     17     20     6.92748374008290E-09   2.56316898383067E-07
   38     18     20     3.77913526375982E-09   1.43607140022873E-07
   39     18     21     8.84710006609908E-10   3.45036902577864E-08
   39     19     20     3.12537518071886E-12   1.21889632048035E-10
   40     18     22     1.69419667021936E-09   6.77678668087745E-08
   41     19     22     3.80787184586850E-09   1.56122745680608E-07
   42     18     24     3.87470815306145E-08   1.62737742428581E-06
   42     19     23     1.65425938883030E-12   6.94788943308725E-11
   42     20     22     1.13011201818756E-09   4.74647047638776E-08
   43     20     23     8.77882305909063E-09   3.77489391540897E-07
   44     20     24     1.03279882370598E-08   4.54431482430630E-07
   45     20     25     2.52209426897388E-09   1.13494242103825E-07
   45     21     24     1.86842407198240E-08   8.40790832392080E-07
   46     20     26     1.24145389372946E-08   5.71068791115550E-07
   46     21     25     2.46994122965749E-20   1.13617296564244E-18
   46     22     24     1.46664421669804E-18   6.74656339681097E-17
   47     22     25     2.24771960744041E-09   1.05642821549699E-07
   48     22     26     2.53146937531675E-09   1.21510530015204E-07
   49     22     27     7.84484779465205E-10   3.84397541937950E-08
   50     22     28     2.77785485376375E-09   1.38892742688188E-07
   51     23     28     2.79271054734377E-09   1.42428237914532E-07
   52     24     28     4.56477321065995E-09   2.37368206954317E-07
   53     24     29     1.32930572241105E-09   7.04532032877856E-08
   54     24     30     7.26467134606114E-10   3.92292252687302E-08
   55     25     30     2.35389936633485E-10   1.29464465148417E-08
   56     26     30     6.86374201015764E-10   3.84369552568828E-08
   57     26     31     1.27931455755376E-09   7.29209297805643E-08
   58     26     32     9.40189502515151E-10   5.45309911458788E-08
   59     26     33     4.01934343541586E-13   2.37141262689536E-11
   59     27     32     8.64317529407785E-10   5.09947342350593E-08
   60     26     34     6.51447843723604E-10   3.90868706234162E-08
   60     27     33     2.18340655757901E-16   1.31004393454740E-14
   60     28     32     2.06383495496949E-17   1.23830097298169E-15
   61     28     33     8.72100241690991E-10   5.31981147431504E-08
   62     28     34     2.68010870324063E-09   1.66166739600919E-07
   63     28     35     3.07067411093994E-09   1.93452468989216E-07
   63     29     34     2.89589577220463E-11   1.82441433648892E-09
   64     28     36     1.55570331212062E-09   9.95650119757199E-08
   65     29     36     2.20263658446250E-09   1.43171377990063E-07
   66     30     36     1.41933452137360E-09   9.36760784106579E-08
   67     30     37     1.68541970014162E-09   1.12923119909488E-07
   68     30     38     1.05291210743006E-09   7.15980233052443E-08
   69     31     38     1.87374462474110E-09   1.29288379107136E-07
