# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  2.63886552515490E-005     2.78462393471159E+021    -8.52846850468876E+019     5.92059690086853E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  2.91659657546471E-005     1.85102259194238E+021    -5.74781441610246E+019     5.69320944705952E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  3.47205867608433E-005     1.12503500953085E+021    -3.25841699192829E+019     5.24667643016997E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  4.25587314936207E-005     8.24673789343221E+020    -1.83305162616841E+019     4.65659010391440E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  5.00000000000000E-005     7.83749611789587E+020    -1.04470341904630E+019     4.14878093386237E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  5.92708386931649E-005     6.15297939029589E+020    -3.52252366624531E+018     3.57203551166412E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  6.92231811084945E-005     5.27501182506382E+020     1.64495096635263E+018     3.03023182970360E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  7.60000000000000E-005     6.14342922816998E+020     7.76577284655242E+018     2.71714101442462E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  8.51649401280747E-005     4.70454730269581E+020     1.05878251810446E+019     2.36274997008356E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  9.42722590718591E-005     4.39789098166131E+020     1.49817493212334E+019     2.07386532743036E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  1.01000000000000E-004     4.99189001343677E+020     2.13115305060730E+019     1.89009240981329E+021     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  1.07343690126082E-004     0.00000000000000E+000     0.00000000000000E+000     1.73423168650063E+021     2.46761543372015E+013     1.02298527092877E+015    -3.43324928973070E-003     1.30941478175278E+014     1.12017634702131E+014     1.31861573105053E-003     0.00000000000000E+000
  1.07343690136535E-004     5.41983308677236E+023    -5.10672684833914E+021     1.73425954604982E+021     5.46560657960682E+023     4.62742915517470E+010     4.49101181405352E+009     1.36401248904977E+016     1.84813685475975E+013     6.89570360435504E+004     0.00000000000000E+000
  1.07343690140274E-004     4.83481907721840E+023    -4.86602665959716E+021     1.73426837927327E+021     4.87514238591031E+023     4.62872381746212E+010     4.48262159010786E+009     1.36438381082900E+016     1.50385925663480E+013     6.89900602835765E+004     0.00000000000000E+000
  1.07343690144695E-004     4.25679007419559E+023    -4.56416310587427E+021     1.73427743337502E+021     4.29144479201011E+023     4.62876599391916E+010     4.48020028572359E+009     1.36438324542890E+016     1.41927363610285E+013     6.89942676957960E+004     0.00000000000000E+000
  1.07343690149988E-004     3.67520587511832E+023    -4.13351887976925E+021     1.73428658834898E+021     3.70397007671781E+023     4.62881609039646E+010     4.47937792794124E+009     1.36438123141282E+016     1.40509448880725E+013     6.89958207273769E+004     0.00000000000000E+000
  1.07343690156426E-004     3.09642846849148E+023    -3.63635084252617E+021     1.73429568724173E+021     3.11912835009736E+023     4.62887790488050E+010     4.47892259570597E+009     1.36437779767842E+016     1.40772416684805E+013     6.89968474016799E+004     0.00000000000000E+000
  1.07343690164419E-004     2.53300723705540E+023    -3.03721218288948E+021     1.73430452726246E+021     2.54953892917254E+023     4.62895483748541E+010     4.47853417015168E+009     1.36437246956768E+016     1.41392336686235E+013     6.89978870580530E+004     0.00000000000000E+000
