Epsilon_alpha,Time [Days]
9.646287101013848e-76,1.1583612729184723e-05
9.646287100036402e-76,1.1603997282876524e-05
9.646287099057236e-76,1.1624417708799113e-05
9.646287098076346e-76,1.1644874070079554e-05
9.646287097093729e-76,1.1665366429955998e-05
9.646287096109383e-76,1.1685894851777873e-05
9.64628709512331e-76,1.17064593990061e-05
9.646287094135497e-76,1.1727060135213267e-05
9.646287093145944e-76,1.174769712408384e-05
9.646287092154653e-76,1.1768370429414356e-05
9.646287091161616e-76,1.178908011511362e-05
9.646287090166831e-76,1.1809826245202895e-05
9.646287089170296e-76,1.1830608883816117e-05
9.64628708817201e-76,1.185142809520008e-05
9.646287087171965e-76,1.187228394371463e-05
9.646287086170159e-76,1.1893176493832886e-05
9.646287085166591e-76,1.1914105810141414e-05
9.646287084161257e-76,1.193507195734044e-05
9.646287083154154e-76,1.1956075000244054e-05
9.646287082145278e-76,1.1977115003780396e-05
9.646287081134628e-76,1.199819203299187e-05
9.646287080122199e-76,1.2019306153035337e-05
9.646287079107986e-76,1.2040457429182324e-05
9.64628707809199e-76,1.2061645926819215e-05
9.646287077074209e-76,1.2082871711447465e-05
9.646287076054635e-76,1.2104134848683794e-05
9.646287075033265e-76,1.212543540426039e-05
9.646287074010099e-76,1.2146773444025123e-05
9.64628707298513e-76,1.2168149033941732e-05
9.64628707195836e-76,1.2189562240090043e-05
9.646287070929784e-76,1.221101312866616e-05
9.646287069899396e-76,1.2232501765982687e-05
9.646287068867194e-76,1.2254028218468921e-05
9.646287067833179e-76,1.2275592552671052e-05
9.646287066797341e-76,1.2297194835252386e-05
9.646287065759681e-76,1.2318835132993536e-05
9.646287064720196e-76,1.2340513512792635e-05
9.646287063678882e-76,1.2362230041665543e-05
9.646287062635733e-76,1.2383984786746046e-05
9.64628706159075e-76,1.2405777815286084e-05
9.646287060543928e-76,1.2427609194655932e-05
9.646287059495263e-76,1.2449478992344429e-05
9.646287058444754e-76,1.2471387275959179e-05
9.646287057392397e-76,1.2493334113226754e-05
9.646287056338185e-76,1.2515319571992915e-05
9.64628705528212e-76,1.2537343720222815e-05
9.646287054224197e-76,1.255940662600121e-05
9.646287053164412e-76,1.2581508357532673e-05
9.64628705210276e-76,1.2603648983141796e-05
9.646287051039239e-76,1.2625828571273411e-05
9.646287049973851e-76,1.2648047190492797e-05
9.646287048906586e-76,1.2670304909485892e-05
9.646287047837443e-76,1.2692601797059505e-05
9.646287046766417e-76,1.2714937922141526e-05
9.646287045693508e-76,1.2737313353781155e-05
9.646287044618711e-76,1.2759728161149091e-05
9.646287043542021e-76,1.278218241353776e-05
9.646287042463436e-76,1.280467618036153e-05
9.646287041382956e-76,1.2827209531156924e-05
9.646287040300573e-76,1.2849782535582828e-05
9.646287039216284e-76,1.2872395263420715e-05
9.646287038130087e-76,1.289504778457486e-05
9.646287037041979e-76,1.2917740169072548e-05
