    time    temp    dens
   6.45939765912779E-01   8.23030958642624E-01   1.46601657728720E+03
     nin     zin       y       x
  1    0     8.52791623920960E-02   8.52791623920960E-02
  0    1     2.88020807086581E-11   2.88020807086581E-11
  1    1     6.62395878512435E-10   1.32479175702487E-09
  2    1     5.85416721755279E-08   1.75625016526584E-07
  1    2     5.46856211360407E-20   1.64056863408122E-19
  2    2     1.53641129869976E-04   6.14564519479905E-04
  4    2     9.58065474054838E-08   5.74839284432903E-07
  3    3     1.85579901525580E-18   1.11347940915348E-17
  4    3     1.84741551738272E-12   1.29319086216790E-11
  5    3     2.14665989413145E-12   1.71732791530516E-11
  6    3     2.16575479777292E-06   1.94917931799563E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.41433091396056E-11   1.27289782256450E-10
  6    4     2.91931382455033E-07   2.91931382455033E-06
  7    4     7.09431480705499E-12   7.80374628776049E-11
  8    4     2.51296731871250E-08   3.01556078245500E-07
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     4.32596410991225E-13   4.75856052090348E-12
  7    5     3.70353758889998E-12   4.44424510667998E-11
  8    5     5.33828635744536E-08   6.93977226467896E-07
  9    5     5.45748671807653E-10   7.64048140530714E-09
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     5.99497722237735E-15   7.19397266685282E-14
  7    6     2.68967693570703E-12   3.49658001641914E-11
  8    6     1.29430067569273E-10   1.81202094596983E-09
  9    6     6.47700206884825E-11   9.71550310327238E-10
 10    6     1.06113249527086E-05   1.69781199243338E-04
 11    6     1.25633500087885E-08   2.13576950149405E-07
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.32742605850927E-19   1.85839648191298E-18
  8    7     3.93783143928226E-11   5.90674715892338E-10
  9    7     9.08840029499559E-11   1.45414404719929E-09
 10    7     3.29977905146766E-10   5.60962438749502E-09
 11    7     2.97055609728611E-10   5.34700097511501E-09
 12    7     5.06011453867242E-10   9.61421762347761E-09
 13    7     1.99961037492871E-06   3.99922074985743E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     5.04982669557188E-17   8.07972271291501E-16
  9    8     2.51702851340197E-19   4.27894847278335E-18
 10    8     1.84516541635733E-15   3.32129774944319E-14
 11    8     1.79680057637648E-12   3.41392109511531E-11
 12    8     8.11805381221775E-11   1.62361076244355E-09
 13    8     5.61369617141976E-09   1.17887619599815E-07
 14    8     3.74611568804499E-06   8.24145451369897E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.07114800094320E-18   2.03518120179207E-17
 11    9     1.45040816234913E-18   2.90081632469826E-17
 12    9     8.18635156301217E-14   1.71913382823256E-12
 13    9     5.77690344900694E-11   1.27091875878153E-09
 14    9     3.21641130394421E-12   7.39774599907169E-11
 15    9     9.43256220526325E-12   2.26381492926318E-10
 16    9     8.74487411816732E-08   2.18621852954183E-06
 17    9     1.09032806390916E-09   2.83485296616383E-08
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     5.29673634407511E-22   1.11231463225577E-20
 12   10     4.61540489661534E-18   1.01538907725537E-16
 13   10     8.40016387599153E-17   1.93203769147805E-15
 14   10     3.45417915348935E-13   8.29002996837444E-12
 15   10     1.10780245778226E-11   2.76950614445566E-10
 16   10     1.60449520389485E-11   4.17168753012661E-10
 17   10     3.14137522271433E-12   8.48171310132869E-11
 18   10     2.01337021553649E-11   5.63743660350217E-10
 19   10     1.40268069400010E-12   4.06777401260030E-11
 20   10     9.88984505770717E-12   2.96695351731215E-10
 21   10     4.08693638430388E-12   1.26695027913420E-10
 22   10     4.80526034754173E-09   1.53768331121335E-07
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
