# 1:iteration 2:time[s], 3:T[GK], 4:rho[g/cm3], 5:Ye 
# 6:R[km], 7:Y_n, 8:Y_p, 9:Y_alpha, 10:Y_lights 
# 11:Y_heavies 12:<Z> 13:<A> 14:entropy [kB/baryon] (15:Sn [MeV])
       0  2.3257098374225478E-05   1.0000000009999999E+01   7.4968680708957666E+12   3.4880000000000362E-02   5.0284375932656758E+01   8.7869941962323961E-01   5.9789509265503871E-17   3.8228192592986461E-15   6.5125745210904710E-10   1.0602177224488477E-03   3.9647192816683101E-02   1.1366741059828773E+00   9.0726348276619680E-03
      10  2.3259144374225478E-05   9.9999189665781696E+00   7.4967691823195273E+12   3.4880002650410552E-02   5.0284465813608314E+01   8.7869942301160886E-01   5.9776371451225063E-17   3.8221463472546495E-15   6.5116494444812780E-10   1.0602166503628882E-03   3.9647195724954412E-02   1.1366741029903331E+00   9.0726015880137015E-03
      20  2.5000000000000001E-05   9.9311999999999987E+00   7.4130999999999951E+12   3.4882256445150209E-02   5.0360999999999990E+01   8.7870218879080120E-01   4.9548879453220271E-17   3.2886449266849817E-15   5.7678045169558965E-10   1.0593207247867609E-03   3.9649673286442991E-02   1.1366716871882674E+00   9.0443631857996497E-03
      30  9.4272259071858497E-05   7.3509181674577562E+00   4.9600646701672646E+12   3.4972492120797047E-02   5.3630000789048985E+01   8.7868660122774089E-01   2.3154579642973998E-21   9.3505880311653508E-19   9.6461677115969177E-13   1.0401461765786294E-03   3.9753812446815966E-02   1.1367166031378069E+00   7.6645265927454105E-03
      40  1.0734369015802389E-04   6.9839641168297151E+00   4.6435087950018613E+12   3.4989745481531657E-02   5.4292956347120615E+01   8.7866570963164281E-01   3.0479744614743690E-22   1.7390148370930830E-19   2.6349097007019795E-13   1.0391463310165632E-03   3.9774414389507906E-02   1.1367448903137189E+00   7.4457043192070801E-03
      50  1.0734369220878268E-04   6.9839640598599493E+00   4.6435087517451260E+12   3.4989745484256901E-02   5.4292956452161413E+01   8.7866573030267681E-01   3.0583790786866574E-22   1.7382449246270250E-19   2.6348779494560118E-13   1.0391463310165639E-03   3.9774413457998904E-02   1.1367448636028374E+00   7.4457042820942187E-03
      60  1.0734427728057684E-04   6.9839478066721261E+00   4.6434964108615332E+12   3.4989746261764758E-02   5.4292986419813936E+01   8.7866573153783278E-01   3.0546866919276430E-22   1.7355825899859087E-19   2.6274489953350962E-13   1.0391463310165661E-03   3.9774414285981469E-02   1.1367448620067844E+00   7.4456936345708878E-03
      70  1.0768263517234025E-04   6.9745541125070325E+00   4.6363791444652939E+12   3.4990195890572125E-02   5.4310320041365856E+01   8.7866538649663128E-01   2.9665253645302515E-22   1.6779912365616640E-19   2.5487761308670492E-13   1.0391463310134598E-03   3.9774940999897555E-02   1.1367453078649221E+00   7.4395303387908718E-03
      80  1.0942463010812464E-04   6.9263985602828360E+00   4.6003032821074521E+12   3.4992510253565659E-02   5.4399647733430697E+01   8.7866361634660872E-01   2.5656892551065880E-22   1.4422932348119274E-19   2.2767231043329691E-13   1.0391463310169833E-03   3.9777651882150412E-02   1.1367475952399884E+00   7.4076750469471968E-03
      90  1.1396334990115392E-04   6.8031084484776860E+00   4.5094076274143438E+12   3.4998536385349908E-02   5.4633079275116572E+01   8.7865905660776067E-01   1.6101694462197374E-22   9.4574486766520857E-20   1.6585598033672537E-13   1.0391463310425342E-03   3.9784708287937731E-02   1.1367534873448328E+00   7.3250144146492311E-03
     100  1.2444918627482835E-04   6.5375149465324531E+00   4.2988945074356587E+12   3.5012437472161435E-02   5.5176215278628469E+01   8.7864888493943427E-01   4.4844199614434536E-23   3.3716427235405930E-20   7.6128487643616871E-14   1.0391463311462694E-03   3.9800970602712496E-02   1.1367666314238090E+00   7.1535796270858053E-03
     110  1.3587287304377989E-04   6.2874715149301199E+00   4.0409104570810605E+12   3.5027549212090413E-02   5.5775735558491924E+01   8.7863865293237498E-01   1.1005966416509465E-23   1.1580826424528145E-20   3.3521094325104376E-14   1.0391463311667291E-03   3.9818612270781248E-02   1.1367798537699159E+00   7.0250780073615919E-03
     120  1.5100000000000001E-04   5.9978999999999996E+00   3.7153999999999951E+12   3.5047507523526346E-02   5.6580000000000005E+01   8.7862656985041254E-01   1.7336352349657744E-24   2.8749451715321689E-21   1.1526014392129641E-14   1.0391463312030850E-03   3.9841847736953311E-02   1.1367954685688866E+00   6.8940890147468920E-03
     130  1.7032208623101903E-04   5.6771326143637468E+00   3.4093924026119844E+12   3.5072913296882162E-02   5.7578741011660085E+01   8.7861280175281631E-01   1.6206237518251963E-25   4.5502816501055217E-22   2.9482661894472313E-15   1.0391463312493738E-03   3.9871352951895339E-02   1.1368132614173305E+00   6.7178282702414598E-03
     140  1.8645802277061891E-04   5.4208658156211218E+00   3.1744221062029009E+12   3.5094054998806287E-02   5.8447011478974837E+01   8.7860359150761991E-01   1.9554548556532101E-26   8.1050066721348846E-23   8.7481996652286491E-16   1.0391463310302988E-03   3.9895804841218942E-02   1.1368251643082798E+00   6.5713298709919529E-03
     150  2.0611609966634200E-04   5.1339803061138136E+00   2.8878952068845439E+12   3.5119715696109013E-02   5.9540360172427611E+01   8.7859601851925240E-01   1.5808304016058767E-27   9.0789897199612693E-24   2.1231689462085398E-16   1.0391463311612136E-03   3.9925320291261071E-02   1.1368349515040632E+00   6.4256521511895535E-03
     160  2.2699999999999999E-04   4.8864999999999998E+00   2.5704000000000034E+12   3.5146852645439396E-02   6.0723000000000013E+01   8.7859281176911785E-01   2.0567471798638732E-28   1.1518547735413011E-24   7.4399802592536907E-17   1.0391463310038260E-03   3.9956316186319056E-02   1.1368390958678354E+00   6.3611555555806330E-03
     170  2.5200000000000000E-04   4.5814000000000004E+00   2.2908999999999971E+12   3.5179158779529776E-02   6.2160999999999994E+01   8.7859281805563860E-01   2.7205979787102780E-29   1.0000000000000000E-99   3.8561382785273053E-17   1.0391463310847474E-03   3.9993042776766956E-02   1.1368390877304055E+00   6.2006083409647051E-03
     180  2.7699021074728428E-04   4.3153029048704825E+00   2.0417989825330862E+12   3.5211243087943586E-02   6.3628418442988405E+01   8.7859750995792874E-01   6.0259974670122960E-30   1.0000000000000000E-99   2.9835178486144788E-17   1.0391463306644632E-03   4.0029303958873955E-02   1.1368330238559630E+00   6.0722393666068474E-03
     190  2.8409029923774762E-04   4.2393163188869787E+00   1.9678835478027910E+12   3.5220318173651850E-02   6.4032182645967481E+01   8.7860025517612694E-01   3.9489272539768807E-30   1.0000000000000000E-99   2.8550156514182848E-17   1.0391463308096092E-03   4.0039495858547158E-02   1.1368294759906981E+00   6.0400356382818180E-03
     200  3.0497659190347235E-04   4.0282322154107923E+00   1.7611619431658154E+12   3.5246895739756728E-02   6.5238671897155314E+01   8.7861025131641035E-01   1.1715618807780781E-30   1.0000000000000000E-99   2.5988411450168263E-17   1.0391463303501933E-03   4.0069254675839404E-02   1.1368165572419731E+00   5.9583770894159260E-03
     210  3.2713718799774489E-04   3.8531771748012762E+00   1.5911951116454380E+12   3.5274898748235944E-02   6.6584060466826401E+01   8.7861921848718494E-01   3.9362999867385590E-31   1.0000000000000000E-99   2.4218426555061475E-17   1.0391463305854615E-03   4.0100680172061483E-02   1.1368049686391388E+00   5.8985351529526626E-03
     220  3.4775463450342000E-04   3.6665621095927747E+00   1.4448627844336582E+12   3.5300762820269352E-02   6.7850175964278222E+01   8.7863033772668964E-01   1.0843171241872929E-31   1.3190597302068242E-25   2.3032256247722607E-17   1.0391463306613890E-03   4.0129575323506202E-02   1.1367905991501681E+00   5.7988137669675848E-03
     230  3.6990784439014997E-04   3.5010650525940776E+00   1.3283581344101099E+12   3.5328340704977340E-02   6.9223152939270605E+01   8.7863936615184957E-01   3.0473183008495561E-32   2.7455986101447708E-25   2.2069528421684537E-17   1.0391463309330994E-03   4.0160513419007504E-02   1.1367789319235164E+00   5.6970574476162324E-03
     240  3.9412063746047555E-04   3.3157838025198649E+00   1.1949189343191338E+12   3.5358234327555818E-02   7.0750523332172463E+01   8.7865091694552155E-01   6.4842613245845191E-33   7.0853669558125724E-25   2.1253632430434507E-17   1.0391463308737823E-03   4.0193968084468859E-02   1.1367640054040538E+00   5.5921712606814703E-03
     250  4.1957366950407774E-04   3.1560119622826295E+00   1.0817033497612579E+12   3.5389368348027229E-02   7.2332914980329690E+01   8.7865957258768768E-01   1.4852181422506092E-33   1.7623058064809125E-24   2.0598750049460665E-17   1.0391463308123607E-03   4.0228964288517861E-02   1.1367528203911408E+00   5.5052296450081688E-03
     260  4.4149131645852054E-04   3.0312204728599959E+00   1.0002303628359510E+12   3.5415953037130320E-02   7.3717033982212413E+01   8.7866504152787095E-01   4.1931742233982716E-34   3.6440204815080129E-24   2.0141204320793871E-17   1.0391463309850578E-03   4.0258934225754314E-02   1.1367457534477405E+00   5.4298338908065676E-03
     270  4.6219450197152969E-04   2.9107643375665271E+00   9.2659111854355957E+11   3.5440875472611565E-02   7.5057432033899474E+01   8.7866955050792572E-01   1.1140629163391074E-34   7.1660449417475899E-24   1.9781548452491096E-17   1.0391463311282634E-03   4.0287058204558822E-02   1.1367399270309055E+00   5.3508977703133672E-03
     280  4.8334784109661571E-04   2.7973382777457192E+00   8.5712065244425391E+11   3.5466152712629755E-02   7.6438226775839723E+01   8.7867271286985982E-01   2.8995163325230225E-35   1.2785327568291329E-23   1.9473058964744187E-17   1.0391463311611685E-03   4.0315646926530162E-02   1.1367358407148067E+00   5.2799743445436477E-03
     290  5.0881489778703440E-04   2.6788678850297711E+00   7.8032404985498279E+11   3.5496339577261497E-02   7.8114232767455348E+01   8.7867451126492946E-01   6.4033104569132431E-36   2.0884242517077819E-23   1.9163528448635868E-17   1.0391463311842804E-03   4.0349878930216930E-02   1.1367335168895520E+00   5.2198499965514641E-03
     300  5.3140203727155438E-04   2.5594487376287551E+00   7.1820925974075500E+11   3.5522896839896179E-02   7.9606469816272877E+01   8.7867543024267714E-01   1.1765400459753231E-36   2.6756518785703761E-23   1.8935515243598534E-17   1.0391463312146491E-03   4.0380025278474452E-02   1.1367323294229656E+00   5.1291603808956525E-03
     310  5.5634537021053115E-04   2.4607862335392676E+00   6.5745760045163696E+11   3.5551993634941721E-02   8.1209218097114288E+01   8.7867411829913022E-01   2.6462120046729106E-37   3.2724239048472073E-23   1.8723584591306354E-17   1.0391463312945486E-03   4.0413160815390752E-02   1.1367340246745770E+00   5.0815221346919588E-03
     320  5.8199279194362866E-04   2.3634830019771984E+00   5.9882601109360596E+11   3.5581670185301756E-02   8.2926603008550316E+01   8.7867167369382659E-01   5.4022454012514588E-38   3.6454836819849761E-23   1.8540049426572317E-17   1.0391463313377588E-03   4.0447007556737691E-02   1.1367371835193898E+00   9.4642453429725614E-03
     330  6.0549394569943394E-04   2.2680475722166760E+00   5.6143758259473486E+11   3.5608654320601160E-02   8.4505970682836846E+01   8.7866814310113905E-01   9.3559321615295941E-39   3.5237479341761712E-23   1.8395640999177543E-17   1.0391463313448263E-03   4.0477843878698579E-02   1.1367417456674644E+00   1.1722387964769725E-02
     340  6.3254559786899160E-04   2.1733696015663382E+00   5.0891072930867853E+11   3.5639472427226454E-02   8.6322498921441550E+01   8.7866339187810016E-01   1.5053719632547118E-39   3.5014716308592144E-23   1.8253632873906418E-17   1.0391463313844972E-03   4.0513094914749005E-02   1.1367478851482307E+00   4.2077483736086010E-02
     350  6.6426394356537992E-04   2.0525888360063473E+00   4.6475419097686609E+11   3.5675285469471331E-02   8.8407104431659434E+01   8.7865627433865068E-01   1.0797570447853726E-40   2.9929076013109885E-23   1.8113321345378100E-17   1.0391463313846425E-03   4.0554133432112970E-02   1.1367570824759432E+00   4.6400470510316330E-02
     360  6.8467433912947919E-04   1.9791033535799547E+00   4.3167018939785571E+11   3.5698154627728768E-02   8.9788433734308413E+01   8.7865127913040386E-01   2.1580284946817601E-41   2.7407664698398404E-23   1.8036357958675083E-17   1.0391463313803159E-03   4.0580360538753649E-02   1.1367635374028766E+00   6.3349801811349041E-02
