    time    temp    dens
   2.57662554557194E-01   1.03735171222680E+00   2.30972897172399E+04
     nin     zin       y       x
 21   15     1.00000000000000E-99   1.00000000000000E-99
 22   15     1.63017295087175E-22   6.03163991822547E-21
 23   15     9.54616675916942E-23   3.62754336848438E-21
 24   15     7.17745891981121E-22   2.79920897872637E-20
 25   15     2.31721103751574E-21   9.26884415006294E-20
 26   15     1.78362631413806E-14   7.31286788796604E-13
 27   15     4.86848815246125E-15   2.04476502403372E-13
 28   15     9.08629653027539E-08   3.90710750801842E-06
 29   15     1.01658434731720E-15   4.47297112819568E-14
 30   15     2.95329342009068E-11   1.32898203904081E-09
 31   15     1.43980604537363E-15   6.62310780871869E-14
 32   15     2.85095527637355E-10   1.33994897989557E-08
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
 14   16     1.00000000000000E-99   1.00000000000000E-99
 15   16     1.00000000000000E-99   1.00000000000000E-99
 16   16     1.00000000000000E-99   1.00000000000000E-99
 17   16     1.00000000000000E-99   1.00000000000000E-99
 18   16     1.00000000000000E-99   1.00000000000000E-99
 19   16     1.00000000000000E-99   1.00000000000000E-99
 20   16     1.00000000000000E-99   1.00000000000000E-99
 21   16     1.00000000000000E-99   1.00000000000000E-99
 22   16     1.00000000000000E-99   1.00000000000000E-99
 23   16     1.00000000000000E-99   1.00000000000000E-99
 24   16     7.88192719576194E-23   3.15277087830478E-21
 25   16     2.26969509586503E-17   9.30574989304663E-16
 26   16     1.27559226022968E-14   5.35748749296465E-13
 27   16     2.23172549608876E-14   9.59641963318168E-13
 28   16     2.34997715928275E-13   1.03398995008441E-11
 29   16     2.88902285325649E-14   1.30006028396542E-12
 30   16     5.51277074314968E-11   2.53587454184885E-09
 31   16     4.53574203423639E-14   2.13179875609110E-12
 32   16     9.07149581015724E-09   4.35431798887548E-07
 33   16     6.09337322469725E-15   2.98575288010165E-13
 34   16     7.04492214999921E-11   3.52246107499960E-09
 35   16     2.03974271188383E-25   1.04026878306076E-23
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     1.00000000000000E-99   1.00000000000000E-99
 10   17     1.00000000000000E-99   1.00000000000000E-99
 11   17     1.00000000000000E-99   1.00000000000000E-99
 12   17     1.00000000000000E-99   1.00000000000000E-99
 13   17     1.00000000000000E-99   1.00000000000000E-99
 14   17     1.00000000000000E-99   1.00000000000000E-99
 15   17     1.00000000000000E-99   1.00000000000000E-99
 16   17     1.00000000000000E-99   1.00000000000000E-99
 17   17     1.00000000000000E-99   1.00000000000000E-99
 18   17     1.00000000000000E-99   1.00000000000000E-99
 19   17     1.00000000000000E-99   1.00000000000000E-99
 20   17     1.00000000000000E-99   1.00000000000000E-99
 21   17     1.00000000000000E-99   1.00000000000000E-99
 22   17     1.00000000000000E-99   1.00000000000000E-99
 23   17     1.00000000000000E-99   1.00000000000000E-99
 24   17     1.00000000000000E-99   1.00000000000000E-99
 25   17     4.95271055176041E-24   2.08013843173937E-22
 26   17     2.93839622245695E-22   1.26351037565649E-20
 27   17     7.33532528941021E-22   3.22754312734049E-20
 28   17     1.14485011567539E-17   5.15182552053927E-16
 29   17     6.60174913238984E-17   3.03680460089933E-15
 30   17     4.56978054010116E-14   2.14779685384755E-12
 31   17     3.08095587055745E-15   1.47885881786757E-13
 32   17     1.82304718006018E-12   8.93293118229488E-11
 33   17     2.07575590452717E-14   1.03787795226358E-12
 34   17     4.12678452609036E-09   2.10466010830609E-07
 35   17     6.79128466078406E-16   3.53146802360771E-14
 36   17     7.39453578525548E-16   3.91910396618541E-14
 37   17     4.42081109048607E-24   2.38723798886248E-22
 38   17     1.27227724542205E-25   6.99752484982127E-24
 39   17     1.00000000000000E-99   1.00000000000000E-99
 40   17     1.00000000000000E-99   1.00000000000000E-99
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     1.00000000000000E-99   1.00000000000000E-99
 10   18     1.00000000000000E-99   1.00000000000000E-99
 11   18     1.00000000000000E-99   1.00000000000000E-99
 12   18     1.00000000000000E-99   1.00000000000000E-99
 13   18     1.00000000000000E-99   1.00000000000000E-99
 14   18     1.00000000000000E-99   1.00000000000000E-99
 15   18     1.00000000000000E-99   1.00000000000000E-99
 16   18     1.00000000000000E-99   1.00000000000000E-99
 17   18     1.00000000000000E-99   1.00000000000000E-99
 18   18     1.00000000000000E-99   1.00000000000000E-99
 19   18     1.00000000000000E-99   1.00000000000000E-99
 20   18     1.00000000000000E-99   1.00000000000000E-99
 21   18     1.00000000000000E-99   1.00000000000000E-99
 22   18     1.00000000000000E-99   1.00000000000000E-99
 23   18     1.00000000000000E-99   1.00000000000000E-99
 24   18     1.00000000000000E-99   1.00000000000000E-99
 25   18     1.00000000000000E-99   1.00000000000000E-99
