    time    temp    dens
   2.47658339999875E-01   1.04032335266156E+00   2.60109415826675E+04
     nin     zin       y       x
  1    0     6.54411516298922E-01   6.54411516298922E-01
  0    1     1.67452288907928E-12   1.67452288907928E-12
  1    1     4.25297802553978E-11   8.50595605107956E-11
  2    1     5.13771134091881E-08   1.54131340227564E-07
  1    2     6.46388366880651E-23   1.93916510064195E-22
  2    2     7.15266946945270E-05   2.86106778778108E-04
  4    2     1.44303059123807E-07   8.65818354742843E-07
  3    3     1.78003346636260E-20   1.06802007981756E-19
  4    3     1.41026561191473E-13   9.87185928340309E-13
  5    3     1.60299693918295E-13   1.28239755134636E-12
  6    3     1.65368303499815E-06   1.48831473149833E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     8.73712645914439E-14   7.86341381322996E-13
  6    4     1.07718753245670E-09   1.07718753245670E-08
  7    4     5.74522606763943E-13   6.31974867440338E-12
  8    4     1.38603369928771E-07   1.66324043914525E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     8.63689306770325E-15   9.50058237447357E-14
  7    5     2.03623440341432E-13   2.44348128409719E-12
  8    5     3.93133659022385E-07   5.11073756729101E-06
  9    5     2.21668086173611E-08   3.10335320643055E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     5.33145912106678E-18   6.39775094528014E-17
  7    6     7.45446285835358E-14   9.69080171585966E-13
  8    6     1.59109801973348E-12   2.22753722762687E-11
  9    6     1.85790782453334E-12   2.78686173680002E-11
 10    6     1.14258022301766E-05   1.82812835682826E-04
 11    6     1.48605552234510E-07   2.52629438798666E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     8.22147581056444E-22   1.15100661347902E-20
  8    7     2.46781888217489E-13   3.70172832326234E-12
  9    7     5.85881233146825E-13   9.37409973034920E-12
 10    7     2.18837037985574E-12   3.72022964575476E-11
 11    7     1.97155884126766E-12   3.54880591428179E-11
 12    7     7.98737749716275E-10   1.51760172446092E-08
 13    7     1.50804024693555E-06   3.01608049387110E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.71359898994404E-19   2.74175838391047E-18
  9    8     5.95260450402547E-22   1.01194276568433E-20
 10    8     1.44796907597174E-17   2.60634433674913E-16
 11    8     1.10045226823086E-14   2.09085930963864E-13
 12    8     3.55879539034254E-13   7.11759078068508E-12
 13    8     2.49508233799919E-11   5.23967290979831E-10
 14    8     5.35753262199892E-07   1.17865717683976E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     7.45502028662717E-21   1.41645385445916E-19
 11    9     8.77054560031948E-21   1.75410912006390E-19
 12    9     1.62225936515432E-17   3.40674466682407E-16
 13    9     4.91857588439937E-14   1.08208669456786E-12
 14    9     2.73873943325180E-15   6.29910069647914E-14
 15    9     8.03361214411507E-15   1.92806691458762E-13
 16    9     6.10915179460109E-09   1.52728794865027E-07
 17    9     3.35250724671329E-10   8.71651884145456E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     3.17326216895117E-22   6.98117677169258E-21
 13   10     7.55705067224250E-20   1.73812165461578E-18
 14   10     1.41559638287772E-16   3.39743131890653E-15
 15   10     2.16380793622507E-13   5.40951984056269E-12
 16   10     2.93012943667826E-13   7.61833653536348E-12
 17   10     8.01660057956249E-14   2.16448215648187E-12
 18   10     4.79597619475359E-13   1.34287333453101E-11
 19   10     3.47752262789389E-14   1.00848156208923E-12
 20   10     2.30249370555554E-13   6.90748111666661E-12
 21   10     1.04170773500274E-13   3.22929397850851E-12
 22   10     1.52286025424439E-08   4.87315281358204E-07
 23   10     2.59791786807891E-21   8.57312896466040E-20
 24   10     3.65109582369800E-21   1.24137258005732E-19
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     2.28234448397630E-22   5.70586120994075E-21
 15   11     8.32399134579591E-22   2.16423774990694E-20
 16   11     4.78744372805742E-20   1.29260980657550E-18
 17   11     8.93222660530387E-18   2.50102344948508E-16
 18   11     1.57089131516082E-16   4.55558481396637E-15
 19   11     1.95702734030499E-16   5.87108202091496E-15
 20   11     6.80094446652385E-14   2.10829278462239E-12
 21   11     2.98014136107978E-10   9.53645235545530E-09
 22   11     1.25304844233158E-11   4.13505985969423E-10
 23   11     1.94723995277938E-12   6.62061583944990E-11
 24   11     6.48218790907174E-09   2.26876576817511E-07
 25   11     3.77549556026270E-20   1.35917840169457E-18
 26   11     2.13294460530242E-21   7.89189503961895E-20
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
