# 1:Z 2:Y(Z)
    1     5.53672037839405E-07
    2     3.43778139589224E-04
    3     2.08927848911193E-08
    4     1.23979261328717E-06
    5     2.20433943458762E-08
    6     7.73039778869588E-07
    7     1.00299863774130E-05
    8     3.85485869228003E-07
    9     8.16238764080627E-07
   10     5.21215376057770E-06
   11     1.08006887713330E-09
   12     1.11566465651748E-07
   13     9.90214696823383E-10
   14     1.32495596305216E-08
   15     2.79124498090136E-09
   16     2.18381484392645E-08
   17     1.34512212318183E-08
   18     4.76224661523824E-08
   19     4.62196751274876E-09
   20     3.12593643434355E-08
   21     2.03699683008917E-08
   22     8.01370785644606E-09
   23     2.96696145913512E-09
   24     6.11359446123100E-09
   25     2.54697428573440E-10
   26     4.73425817970449E-09
   27     1.04523161355395E-09
   28     1.63420794289443E-08
   29     6.17561387582008E-09
   30     4.98584873079567E-08
   31     4.82596804390824E-08
   32     4.29751189960515E-07
   33     1.36405513063716E-07
   34     3.48581940171349E-06
   35     1.03595545790629E-06
   36     8.91466307513715E-06
   37     4.35000134826073E-06
   38     1.22224585502719E-05
   39     6.45672394487078E-06
   40     3.22924991535514E-05
   41     8.09526677792764E-08
   42     6.68149246905859E-05
   43     1.52225076949595E-05
   44     7.18518927255683E-05
   45     2.63863162311283E-05
   46     1.28798619137473E-04
   47     3.66426382796780E-05
   48     1.66548028908807E-04
   49     2.63163083361006E-05
   50     2.91639665093706E-04
   51     1.49078665660174E-04
   52     1.79241700498983E-04
   53     2.15138443119851E-04
   54     4.31122922053845E-04
   55     1.84990646698101E-04
   56     7.16739731698378E-05
   57     2.32062065082328E-05
   58     1.51721800430369E-04
   59     7.25816251277195E-05
   60     2.55660707289017E-04
   61     4.35044343902815E-05
   62     1.74073219770221E-04
   63     5.73261777910454E-05
   64     1.36429627937251E-04
   65     2.81694559488817E-05
   66     1.30208672721089E-04
   67     2.14528374245031E-05
   68     7.88016131746850E-05
   69     2.16261130342951E-05
   70     6.73720493396782E-05
   71     1.07663945343361E-05
   72     6.95185495687744E-05
   73     1.06473002934538E-05
   74     1.61230428939514E-05
   75     6.76640676346903E-06
   76     4.19805820764157E-04
   77     2.38013013098606E-04
   78     7.72690033419082E-04
   79     1.86869504557889E-04
   80     5.96542613450814E-05
   81     7.98519531659575E-07
   82     4.39064312373075E-05
   83     1.27480473928634E-05
   84     1.81211437208801E-07
   85     2.83950286396074E-18
   86     4.45087499313296E-12
   87     4.74156446010780E-13
   88     2.71662327714715E-05
   89     9.29426256846620E-06
   90     6.12587330696389E-05
   91     1.50262119972121E-05
   92     2.14078540868484E-04
   93     5.51726855272608E-05
   94     2.03842632934765E-04
   95     2.17583535449677E-05
   96     7.62828334763083E-05
   97     2.08467333326766E-05
   98     6.95846873004193E-05
   99     6.58084902954551E-07
  100     3.58422945210077E-10
  101     1.62757381178056E-15
  102     0.00000000000000E+00
  103     0.00000000000000E+00
  104     0.00000000000000E+00
  105     0.00000000000000E+00
  106     0.00000000000000E+00
  107     0.00000000000000E+00
  108     0.00000000000000E+00
  109     0.00000000000000E+00
  110     0.00000000000000E+00
  111     0.00000000000000E+00
