# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     8.65883476884729E-15   8.65883476884729E-15
    1      1      0     9.01219001431693E-09   9.01219001431693E-09
    2      1      1     8.30639138377112E-16   1.66127827675422E-15
    3      1      2     2.53346879593872E-09   7.60040638781616E-09
    3      2      1     2.02685293799576E-10   6.08055881398727E-10
    4      2      2     2.72273025034860E-04   1.08909210013944E-03
    6      3      3     6.91063926670979E-09   4.14638356002587E-08
    7      3      4     8.41624307857793E-10   5.89137015500455E-09
    7      4      3     6.04063604515752E-18   4.22844523161026E-17
    9      4      5     6.98375261021698E-07   6.28537734919529E-06
   10      4      6     6.21820665587092E-08   6.21820665587092E-07
   10      5      5     1.61593147465068E-12   1.61593147465068E-11
   11      5      6     3.65075092631376E-09   4.01582601894514E-08
   12      6      6     4.61846686391951E-07   5.54216023670342E-06
   13      6      7     4.87304018787009E-08   6.33495224423112E-07
   14      6      8     7.06193370227079E-08   9.88670718317911E-07
   14      7      7     3.09671336788471E-10   4.33539871503859E-09
   15      7      8     1.08915701025338E-05   1.63373551538007E-04
   16      8      8     2.08724124324681E-07   3.33958598919490E-06
   17      8      9     2.20506611428823E-09   3.74861239428999E-08
   18      8     10     8.28461537317735E-07   1.49123076717192E-05
   19      9     10     1.13139110271475E-06   2.14964309515802E-05
   20     10     10     6.22869760697372E-08   1.24573952139474E-06
   21     10     11     1.02673259286958E-07   2.15613844502612E-06
   22     10     12     2.88278294408264E-06   6.34212247698180E-05
   23     11     12     7.15685873738240E-10   1.64607750959795E-08
   24     12     12     1.61406045115016E-08   3.87374508276039E-07
   25     12     13     6.75008628365219E-08   1.68752157091305E-06
   26     12     14     2.98988378108657E-09   7.77369783082509E-08
   27     13     14     6.04825947981979E-10   1.63303005955134E-08
   28     14     14     1.67672276835104E-09   4.69482375138291E-08
   29     14     15     8.92793734450202E-10   2.58910182990558E-08
   30     14     16     1.82399550046626E-09   5.47198650139878E-08
   31     15     16     3.31805079329331E-09   1.02859574592093E-07
   32     14     18     1.09681900671768E-08   3.50982082149658E-07
   32     15     17     2.79381833182658E-12   8.94021866184505E-11
   32     16     16     6.54166276546929E-11   2.09333208495017E-09
   33     15     18     1.79551387638858E-14   5.92519579208230E-13
   33     16     17     1.04677019937089E-08   3.45434165792393E-07
   34     16     18     1.33181275463980E-08   4.52816336577532E-07
   35     16     19     1.35668917134510E-10   4.74841209970785E-09
   35     17     18     6.77948901246742E-09   2.37282115436360E-07
   36     16     20     2.21230222221176E-09   7.96428799996235E-08
   36     17     19     1.56730929769115E-18   5.64231347168813E-17
   37     17     20     1.45404886639578E-08   5.37998080566439E-07
   38     18     20     2.27365457706641E-10   8.63988739285235E-09
   39     18     21     1.11923661115664E-10   4.36502278351090E-09
   39     19     20     3.95387477190228E-13   1.54201116104189E-11
   40     18     22     2.82628249699588E-09   1.13051299879835E-07
