#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 1.0734369013362048E-04    6.9839641175076368E+00    1.0441595584516667E+17    4.9751019735899307E+06    7.5925266376582611E-12    7.6179076709144952E-12    5.0316898495211994E+05    5.3851512381275622E+06    1.8767459145405500E+01    1.7395307986554234E+00    1.1770792807648657E+01    1.1878482098093690E+01    5.4035142058473053E+10    5.7922947902048157E+11    3.0685246673437720E-04    1.0441595584516667E+17    1.0441595584516667E+17    1.0441595584516667E+17    1.0441595584516667E+17
 1.0734369015804777E-04    6.9839641168290498E+00    1.0441595584516666E+17    4.9815791433591498E+06    7.6131305562610829E-12    7.6230203484863263E-12    5.0315603020717064E+05    5.3864422058746573E+06    1.8760625459335614E+01    1.7394955430807910E+00    1.1786064362511977E+01    1.1884429541794949E+01    5.4033391624778740E+10    5.7998499356002686E+11    3.0685150077737814E-04    1.0441595584516666E+17    1.0441595584516666E+17    1.0441595584516666E+17    1.0441595584516666E+17
 1.0734369024803217E-04    6.9839641143292974E+00    1.0441595584516666E+17    4.9834595494147539E+06    7.6282144780174915E-12    7.6266838487062901E-12    5.0311110403912031E+05    5.3895383884562813E+06    1.8731915994711649E+01    1.7393490326987733E+00    1.1790474191902181E+01    1.1891854988135156E+01    5.4028685151644356E+10    5.8020415455776611E+11    3.0685077480440987E-04    1.0441595584516666E+17    1.0441595584516666E+17    1.0441595584516666E+17    1.0441595584516666E+17
 1.0734369221256955E-04    6.9839640597547490E+00    1.0441595584516666E+17    4.9738843108427338E+06    7.6248824586079140E-12    7.6246779080896642E-12    5.0291570170199615E+05    5.3996041240982497E+06    1.8643137480972438E+01    1.7386811188380114E+00    1.1767825530093470E+01    1.1891434456820337E+01    5.4009825953354454E+10    5.7908742669098633E+11    3.0685112767685132E-04    1.0441595584516666E+17    1.0441595584516666E+17    1.0441595584516666E+17    1.0441595584516666E+17
 1.0734371157706824E-04    6.9839635218119600E+00    1.0441595584516662E+17    4.8808966711440571E+06    7.6244611658362568E-12    7.6244614136279141E-12    5.0221024123722396E+05    5.4004055849006251E+06    1.8639444529133002E+01    1.7362426292618909E+00    1.1547824775822582E+01    1.1889701283755720E+01    5.3934300525806442E+10    5.6826125938287354E+11    3.0685117889124233E-04    1.0441595584516662E+17    1.0441595584516662E+17    1.0441595584516662E+17    1.0441595584516662E+17
 1.0734427926757661E-04    6.9839477514736927E+00    1.0441595584516568E+17    3.0349790085440842E+06    7.6242358665770447E-12    7.6242361561492312E-12    4.8632465536661795E+05    5.3998395062803272E+06    1.8637718571672668E+01    1.6813253463410838E+00    7.1805278335975151E+00    1.1889969671752976E+01    5.2228797242532829E+10    3.5335855673440283E+11    3.0685124753507492E-04    1.0441595584516568E+17    1.0441595584516568E+17    1.0441595584516568E+17    1.0441595584516568E+17
 1.0736244536384408E-04    6.9834431176088794E+00    1.0441595584523558E+17    1.5315865450337376E+06    7.6170350937185484E-12    7.6170353827483064E-12    4.6381518648740178E+05    5.3818304896289222E+06    1.8582599096066641E+01    1.6035763126050744E+00    3.6232880762066788E+00    1.1899110810148407E+01    4.9826887876640694E+10    1.7844256602671240E+11    3.0685344097507140E-04    1.0441595584523558E+17    1.0441595584523558E+17    1.0441595584523558E+17    1.0441595584523558E+17
 1.0754459673665695E-04    6.9783849964925073E+00    1.0441595584490080E+17    1.5298316538365975E+06    7.5456250794616309E-12    7.5456253631128812E-12    4.6409860254663340E+05    5.2170716644956032E+06    1.8078119314426839E+01    1.6052647750688991E+00    3.6156522095328585E+00    1.1991174972656298E+01    5.0012716214389877E+10    1.7945133678826453E+11    3.0687544617380788E-04    1.0441595584490080E+17    1.0441595584490080E+17    1.0441595584490080E+17    1.0441595584490080E+17
 1.0785962356885802E-04    6.9696452308141632E+00    1.0441595584550410E+17    1.5286497724805390E+06    7.4254190984660929E-12    7.4254193731612988E-12    4.6477278253894270E+05    4.9894460938858595E+06    1.7382008990372061E+01    1.6088188780511399E+00    3.6067720327675015E+00    1.2153608272224675E+01    5.0354427449427834E+10    1.8142350855897394E+11    3.0691355272843216E-04    1.0441595584550410E+17    1.0441595584550410E+17    1.0441595584550410E+17    1.0441595584550410E+17
 1.0836787649599876E-04    6.9555678336122355E+00    1.0441595584476126E+17    1.5280573811906674E+06    7.2398312015795225E-12    7.2398314627274326E-12    4.6623114201933070E+05    4.7359352122887867E+06    1.6614679390486206E+01    1.6158312836064193E+00    3.5953872049543345E+00    1.2425270871557975E+01    5.0947654205235764E+10    1.8479509742394522E+11    3.0697516381092730E-04    1.0441595584476126E+17    1.0441595584476126E+17    1.0441595584476126E+17    1.0441595584476126E+17
 1.0918877687556228E-04    6.9328962470851696E+00    1.0441595584506664E+17    1.5301398558754341E+06    6.9600754167615971E-12    6.9600756581300629E-12    4.6939296826366923E+05    4.5232821442163326E+06    1.6005148786625284E+01    1.6299467332856465E+00    3.5837077474423915E+00    1.2892832967018427E+01    5.1999995353240669E+10    1.9071146930569748E+11    3.0707501861531835E-04    1.0441595584506664E+17    1.0441595584506664E+17    1.0441595584506664E+17    1.0441595584506664E+17
 1.1051701991751784E-04    6.8964063969008675E+00    1.0441595584482078E+17    1.5400511306697589E+06    6.5532603822540057E-12    6.5532605962351709E-12    4.7607502081118955E+05    4.4897692314983429E+06    1.6044326196372172E+01    1.6582318459179091E+00    3.5788776250029941E+00    1.3739236211699289E+01    5.3896627606328308E+10    2.0142572652472070E+11    3.0723749618169163E-04    1.0441595584482078E+17    1.0441595584482078E+17    1.0441595584482078E+17    1.0441595584482078E+17
 1.1267231175352662E-04    6.8377981386101272E+00    1.0441595584258475E+17    1.5685368946568344E+06    5.9916799928055407E-12    5.9916801716513853E-12    4.8937741273070476E+05    4.9270466317318724E+06    1.7802779099583223E+01    1.7127649471678776E+00    3.5962873317585853E+00    1.5405443374178224E+01    5.7316603128667587E+10    2.2147991208686554E+11    3.0750358316341425E-04    1.0441595584258475E+17    1.0441595584258475E+17    1.0441595584258475E+17    1.0441595584258475E+17
 1.1583299574463244E-04    6.7535123372735404E+00    1.0441595583798216E+17    1.6260246990554221E+06    5.3335163752995032E-12    5.3335165168519148E-12    5.1089222186468099E+05    6.4127238321857639E+06    2.3438403870387056E+01    1.7999448674101011E+00    3.6495397452368183E+00    1.8701041201577706E+01    6.2714117637946877E+10    2.5587177626642889E+11    3.0789948446218867E-04    1.0441595583798216E+17    1.0441595583798216E+17    1.0441595583798216E+17    1.0441595583798216E+17
 1.1944137025794596E-04    6.6602908973858490E+00    1.0441595583938422E+17    1.6985080623328798E+06    4.7508113592448908E-12    4.7508114712528303E-12    5.3503476953463221E+05    9.5319794199455585E+06    3.5192561158866916E+01    1.8981552875534007E+00    3.7144496531826294E+00    2.4129767215073809E+01    6.9004294774937866E+10    3.0057670318815729E+11    3.0836035679196206E-04    1.0441595583938422E+17    1.0441595583938422E+17    1.0441595583938422E+17    1.0441595583938422E+17
