time_days,Bi212 top 6
1.463314208769577e-05,2.0517778490959183e-05
1.4658893345508223e-05,2.165350406837868e-05
1.4684689920127891e-05,2.2843448447262412e-05
1.4710531891302839e-05,2.4089699732379928e-05
1.4736419338921472e-05,2.539439754909614e-05
1.4762352343012788e-05,2.6764784789343676e-05
1.4788330983746608e-05,2.819960211649296e-05
1.4814355341433845e-05,2.970034972815883e-05
1.4840425496526739e-05,3.126940942533591e-05
1.4866541529619105e-05,3.290921976910336e-05
1.4892703521446595e-05,3.462227728889541e-05
1.4918911552886926e-05,3.641361494582506e-05
1.494516570496016e-05,3.8291634306264445e-05
1.4971466058828923e-05,4.025166720016898e-05
1.4997812695798674e-05,4.229648610955163e-05
1.5024205697317954e-05,4.44289300166618e-05
1.5050645144978636e-05,4.6657351164744064e-05
1.507713112051618e-05,4.899860493482071e-05
1.5103663705809878e-05,5.1438028156688384e-05
1.5130242982883115e-05,5.399396076498013e-05
1.515686903390362e-05,5.666521760914266e-05
1.5183541941183719e-05,5.9452412080928204e-05
1.5210261787180595e-05,6.235093676838276e-05
1.5237028654496532e-05,6.536442827094558e-05
1.526384262587918e-05,6.850451416462584e-05
1.5290703784221806e-05,7.17993603893097e-05
1.5317612212563552e-05,7.522356142945845e-05
1.5344567994089693e-05,7.87812931178576e-05
1.537157121213189e-05,8.247685087482725e-05
1.5398621950168458e-05,8.631590064126883e-05
1.5425720291824604e-05,9.034517057019174e-05
1.5452866320872705e-05,9.452892258970632e-05
1.5480060121232558e-05,9.88720648195407e-05
1.5507301776971646e-05,0.00010337964412454183
1.553459137230538e-05,0.00010805684999609454
1.5561928991597396e-05,0.00011294109304694778
1.5589314719359768e-05,0.00011802597459538365
1.5616748640253303e-05,0.00012330022470577551
1.5644230839087796e-05,0.00012876974205571412
1.5671761400822287e-05,0.0001344405893168419
1.5699340410565326e-05,0.0001403205618300861
1.5726967953575235e-05,0.00014646939680500792
1.5754644115260378e-05,0.0001528421912341454
1.578236898117941e-05,0.00015944580388031903
1.581014263704156e-05,0.00016628728069028752
1.5837965168706887e-05,0.00017337385960609846
1.5865836662186538e-05,0.0001807216182815179
1.589375720364303e-05,0.0001884142170152143
1.5921726879390505e-05,0.0001963641851938554
1.5949745775894994e-05,0.00020457832692851306
1.5977813979774703e-05,0.00021306361537926547
1.6005931577800252e-05,0.0002219274318693835
1.6034098656894976e-05,0.00023110281532605126
1.606231530413516e-05,0.00024057903045235495
1.609058160675034e-05,0.0002503640033244658
1.6118897652123545e-05,0.00026052712089735347
1.614726352779159e-05,0.0002710884630238763
1.6175679321445325e-05,0.00028200156987407234
1.620414512092993e-05,0.00029325461904914865
1.623266101424517e-05,0.00030490289752070713
1.626122708954567e-05,0.0003170353520770246
1.628984343514118e-05,0.00032954362739969064
1.6318510139496877e-05,0.00034243691159879265
1.6347227291233596e-05,0.00035575998223579593
1.6375994979128136e-05,0.0003696387571446392
1.6404813292113533e-05,0.0003839422624546224
1.643368231927931e-05,0.00039868089417474813
1.6462602149871783e-05,0.00041386641605721877
1.6491572873294313e-05,0.0004297186570027795
1.6520594579107596e-05,0.0004460427835500933
1.6549667357029935e-05,0.00046284973168984753
1.657879129693752e-05,0.0004801506835433342
1.6607966488864708e-05,0.000498181321443738
1.6637193023004285e-05,0.0005167535887082787
1.666647098970777e-05,0.0005358687288184416
1.669580047948568e-05,0.0005555393369371627
1.6725181583007802e-05,0.0005759813486395126
1.6754614391103493e-05,0.0005970667707501251
1.6784098994761946e-05,0.0006187614161507531
1.681363548513248e-05,0.00064107942226708
1.684322395352481e-05,0.000664185160453497
1.6872864491409343e-05,0.0006880741560874578
1.6902557190417454e-05,0.0007126455058746735
1.693230214234177e-05,0.0007379340889269385
1.696209943913645e-05,0.0007640560506770896
1.699194917291748e-05,0.0007911155606230207
1.702185143596294e-05,0.0008189502964350118
1.7051806320713316e-05,0.0008475514876785968
1.7081813919771754e-05,0.0008773055063189983
1.7111874325904366e-05,0.0009076618825279674
1.7141987632040526e-05,0.0009391008036073953
1.7172153931273124e-05,0.0009715300421119359
1.7202373316858887e-05,0.0010046140641258243
1.7232645882218657e-05,0.0010391081560337475
1.7262971720937657e-05,0.0010744286920054869
1.7293350926765828e-05,0.0011105673156712314
1.7323783593618072e-05,0.0011482395076793206
1.7354269815574566e-05,0.0011866821821677534
1.738480968688105e-05,0.0012262260653526963
1.741540330194912e-05,0.0012672026307930864
1.744605075535651e-05,0.0013090162020652852
1.747675214184739e-05,0.0013522140611457827
1.750750755633267e-05,0.00139675295962762
1.7538317093890273e-05,0.0014422003899325561
1.7569180849765445e-05,0.0014893124815599044
1.7600098919371037e-05,0.0015376895275252985
1.763107139828782e-05,0.0015870524226746132
1.766209838226475e-05,0.0016383519768946068
1.7693179967219294e-05,0.0016908610671485952
1.7724316249237706e-05,0.001744439448468543
1.7755507324575337e-05,0.0018002130179394136
1.7786753289656925e-05,0.0018571669637237548
1.7818054241076895e-05,0.0019153403755134614
1.7849410275599655e-05,0.001975827914185525
1.7880821490159905e-05,0.002037559284850493
1.7912287981862922e-05,0.0021006666163804963
1.7943809847984877e-05,0.0021661828533128527
1.7975387185973116e-05,0.0022330448308528305
1.800702009344648e-05,0.002301407741526819
1.8038708668195597e-05,0.002372319960695287
1.807045300818318e-05,0.002444687204538387
1.8102253211544347e-05,0.002518641899596044
1.81341093765869e-05,0.0025953393780018506
1.8166021601791657e-05,0.002673608899584077
1.8197989985812724e-05,0.002753506473658991
1.8230014627477838e-05,0.002836401360354185
1.826209562578863e-05,0.002920993407166918
1.8294233079920973e-05,0.003007303432219507
1.8326427089225256e-05,0.0030967283918798875
1.835867775322671e-05,0.0031880873408346544
1.83909851716257e-05,0.003281300405459165
1.842334944429806e-05,0.0033776073194930756
1.8455770671295368e-05,0.0034762025789339865
1.848824895284528e-05,0.0035767970847167983
1.8520784389351827e-05,0.0036803915049345762
1.855337708139574e-05,0.0037867184279695514
1.858602712973474e-05,0.003895199102436695
1.861873463530386e-05,0.004006503002323462
1.8651499699215764e-05,0.004121083808551508
1.868432242276106e-05,0.004237982630614065
1.8717202907408585e-05,0.004357434750128634
1.8750141254805753e-05,0.004480819456477105
1.8783137566778864e-05,0.0046067560810267956
1.881619194533339e-05,0.004735116460757054
1.8849304492654335e-05,0.004867766513741937
1.8882475311106503e-05,0.005003179264363614
1.891570450323486e-05,0.005141206887659539
1.894899217176482e-05,0.005283402920715409
1.8982338419602568e-05,0.005428917209228885
1.9015743349835387e-05,0.005577248875595591
1.9049207065731976e-05,0.005729491339731523
1.9082729670742757e-05,0.005885763748719665
1.9116311268500214e-05,0.006045067705974533
1.9149951962819184e-05,0.006207874718328412
1.9183651857697217e-05,0.0063755938182166235
1.9217411057314864e-05,0.006546570657965045
1.925122966603602e-05,0.0067209160157628125
1.9285107788408223e-05,0.006901222583469427
1.9319045529163016e-05,0.007084654410639659
1.9353042993216232e-05,0.007271862083506106
1.9387100285668332e-05,0.007464746069401565
1.9421217511804743e-05,0.007660503605715187
1.9455394777096165e-05,0.007861769034589223
1.9489632187198904e-05,0.008067789486520127
1.9523929847955194e-05,0.008276963866745478
1.955828786539355e-05,0.00849329215483024
1.959270634572905e-05,0.008712353008193589
1.96271853953637e-05,0.008937658641891149
1.9661725120886754e-05,0.009167633570211024
1.969632562907503e-05,0.009401552416477707
1.9730987026893265e-05,0.009642872532144305
1.9765709421494417e-05,0.0098873072664033
1.980049292022002e-05,0.01013876204635856
1.9835337630600506e-05,0.010395197952493291
1.987024366035553e-05,0.010656011373593854
1.990521111739433e-05,0.010924911589631353
1.9940240109816014e-05,0.011197353574273537
1.9975330745909946e-05,0.011477187316702407
2.001048313415604e-05,0.011762801852762753
2.0045697383225124e-05,0.012052782055484419
2.0080973601979257e-05,0.01235206574528743
2.0116311899472072e-05,0.012655673992186079
2.0151712384949117e-05,0.012967264118943713
2.018717516784819e-05,0.013284887356954036
2.0222700357799672e-05,0.013608524544551612
2.0258288064626875e-05,0.013940709613989959
2.029393839834637e-05,0.014276734275697851
2.0329651469168346e-05,0.014624043196936365
2.0365427387496923e-05,0.014974601914824486
2.0401266263930524e-05,0.015335812189795189
2.043716820926219e-05,0.015702329461528497
2.0473133334479947e-05,0.01607696260953478
2.0509161750767124e-05,0.016460041494647564
2.054525356950272e-05,0.016848462689017907
2.0581408902261733e-05,0.017248722244709483
2.06176278608155e-05,0.01765299253237596
2.065391055713207e-05,0.018069378660407524
2.069025710337652e-05,0.01849175793944133
2.072666761191132e-05,0.018923040693459747
2.0763142195296676e-05,0.019364191315081106
2.079968096629086e-05,0.01981076158449367
2.0836284037850598e-05,0.020271362719707246
2.0872951523131384e-05,0.020736861257267057
2.090968353548784e-05,0.021214366010113398
2.094648018847407e-05,0.02170034237018055
2.0983341595844017e-05,0.022194319128603573
2.1020267871551796e-05,0.02270149804036438
2.1057259129752065e-05,0.023214235532146077
2.1094315484800364e-05,0.02374148823536757
2.1131437051253486e-05,0.024276793557033657
2.11686239438698e-05,0.02482236919534091
2.1205876277609652e-05,0.025380522169518513
2.1243194167635668e-05,0.025944903364834935
2.1280577729313153e-05,0.026526700937866216
2.1318027078210427e-05,0.027114612168722296
2.1355542330099182e-05,0.027718817474506784
2.1393123600954853e-05,0.028330478299911442
2.143077100695695e-05,0.028956886040864133
2.1468484664489455e-05,0.02959310854894983
2.1506264690141143e-05,0.030242385970043983
2.1544111200705977e-05,0.030904003428269152
2.1582024313183443e-05,0.03157683574925992
2.1620004144778924e-05,0.032264702968809233
2.165805081290406e-05,0.03296179395858131
2.169616443517711e-05,0.03367678766192948
2.173434512942332e-05,0.03439886023763878
2.1772593013675276e-05,0.03514187942606876
2.1810908206173288e-05,0.035889676278291
2.184929082536573e-05,0.036661642598504136
2.1887740989909428e-05,0.03743763718402241
2.1926258818670028e-05,0.038237784952227946
2.196484443072234e-05,0.039043882639678694
2.200349794535072e-05,0.03987205873778957
2.2042219482049458e-05,0.04070923018222784
2.2081009160523107e-05,0.04156626174979036
2.211986710068689e-05,0.04243658537636524
2.215879342266704e-05,0.04332602763962017
2.219778824680121e-05,0.04422681037661765
2.2236851693638804e-05,0.04514955721102823
2.227598388394137e-05,0.04608185077118518
2.231518493868297e-05,0.04703881145706037
2.2354454979050572e-05,0.04800369886950973
2.239379412644438e-05,0.048995798205337296
2.243320250247826e-05,0.04999439430699098
2.2472680228980078e-05,0.051022572728561505
2.25122274279921e-05,0.05205602465822955
2.2551844221771356e-05,0.053121238359345284
2.259153073279003e-05,0.054190726050339394
2.263128708373582e-05,0.0552939471050393
2.2671113397512335e-05,0.05640076881485168
2.2711009797239476e-05,0.057544881925056746
2.275097640625379e-05,0.0586910084341265
2.2791013348108893e-05,0.05987415652992737
2.2831120746575806e-05,0.06106237237199986
2.2871298725643382e-05,0.06228409941518606
2.2911547409518662e-05,0.06351554985962467
2.2951866922627256e-05,0.06477709462271217
2.299225738961375e-05,0.06605294505243149
2.303271893534206e-05,0.06735558255664527
2.3073251684895866e-05,0.06867701863242673
2.311385576357894e-05,0.07002206080360392
2.3154531296915577e-05,0.07139028862933174
2.319527841065096e-05,0.07277908495415204
2.323609723075157e-05,0.07419533124286415
2.3276987883405547e-05,0.07562926942537775
2.331795049502312e-05,0.0770947816660969
2.3358985192236936e-05,0.07857528828452867
2.340009210190252e-05,0.08009133490988263
2.3441271351098625e-05,0.08161987607369783
2.348252306712764e-05,0.0831877466283193
2.352384737751597e-05,0.08476582863552808
2.356524441001445e-05,0.08638683394522823
2.360671429259873e-05,0.08801600393991198
2.3648257153469652e-05,0.08969147628167524
2.368987312105369e-05,0.09137332291174496
2.3731562324003314e-05,0.09310461618454122
2.377332489119738e-05,0.09484077025971485
2.3815160951741564e-05,0.09662926015614387
2.3857070634968722e-05,0.09842139530613507
2.3899054070439328e-05,0.10026847948491212
2.3941111387941846e-05,0.10211881414404438
2.3983242717493135e-05,0.10402541107713542
2.4025448189338864e-05,0.10593586542898281
2.406772793395391e-05,0.10790325828983445
2.411008208204275e-05,0.10987527698412851
2.4152510764539867e-05,0.11190529176471939
2.4195014112610184e-05,0.11394034197960252
2.423759225764943e-05,0.11603485026328991
2.4280245331284562e-05,0.11813442188170854
2.432297346537418e-05,0.12029534150309776
2.436577679200893e-05,0.12246099023115346
2.4408655443511902e-05,0.12469024299515853
2.445160955243904e-05,0.12692484249881866
2.449463925157958e-05,0.1292231028825809
2.453774467395642e-05,0.13152869307236714
2.458092595282656e-05,0.13389754078040306
2.462418322168151e-05,0.13627621032062218
2.4667516614247678e-05,0.1387172486181042
2.4710926264486812e-05,0.1411722170862186
2.4754412306596417e-05,0.14369531969006624
2.479797487501014e-05,0.1462228624247657
2.4841614104398208e-05,0.1488255074413281
2.4885330129667835e-05,0.15143733966718595
2.4929123085963664e-05,0.15411181234872767
2.4972993108668144e-05,0.15681005024394604
2.5016940333401967e-05,0.1595583230917135
2.50609648960245e-05,0.16234511852012667
2.5105066932634193e-05,0.16516921793262132
2.5149246579568995e-05,0.16804675872961367
2.5193503973406784e-05,0.1709487661127026
2.5237839250965777e-05,0.17391927637018076
2.528225254930499e-05,0.17690132925454347
2.53267440057246e-05,0.1799670696044434
2.537131375776643e-05,0.1830382050136998
2.5415961943214326e-05,0.1861946306660901
2.5460688700094627e-05,0.18936346524954767
2.5505494166676547e-05,0.19260654727094473
2.5550378481472645e-05,0.19587541969266592
2.5595341783239217e-05,0.19920750403243687
2.5640384210976746e-05,0.20257879040266952
2.5685505903930336e-05,0.20600228388105715
2.5730707001590115e-05,0.20947839803347168
2.5775987643691707e-05,0.2129957694874072
2.5821347970216618e-05,0.216579163254813
2.586678812139271e-05,0.22019294468857414
2.591230823769461e-05,0.22388610817706348
2.5957908459844144e-05,0.22759889591736904
2.600358892881079e-05,0.23140435777907162
2.60493497858121e-05,0.23521881363423672
2.6095191172314134e-05,0.2391391413386863
2.6141113230031904e-05,0.2430663679968136
2.6187116100929816e-05,0.2470957938656439
2.6233199927222104e-05,0.25114069965031366
2.627936485137326e-05,0.2552797575365628
2.6325611016098486e-05,0.2594449930174822
2.6371938564364142e-05,0.2636965831317706
2.641834763938817e-05,0.2679848385726509
2.6464838384640546e-05,0.2723519314736777
2.651141094384373e-05,0.27676593709948366
2.6558065460973097e-05,0.2812515748664076
2.660480208025738e-05,0.28579410112973486
2.6651620946179152e-05,0.2904013985365395
2.6698522203475216e-05,0.2950752563831605
2.674550599713709e-05,0.2998074020746539
2.6792572472411456e-05,0.30461544320824735
2.683972177480059e-05,0.3094757008773974
2.6886954050062825e-05,0.31442081802363187
2.693426944421299e-05,0.31941252758993266
2.698166810352289e-05,0.32449765475988485
2.7029150174521715e-05,0.32962423354843784
2.7076715803996534e-05,0.33485234630146804
2.7124365138992704e-05,0.3401172902224872
2.7172098326814386e-05,0.34549140592855554
2.721991551502494e-05,0.35089969102577107
2.7267816851447416e-05,0.35643068629668784
2.7315802484165004e-05,0.3619753223475523
2.7363872561521476e-05,0.3676664478964733
2.7412027232121673e-05,0.3733675886314958
2.7460266644831938e-05,0.37920570911019835
2.75085909487806e-05,0.38507055991080724
2.7557000293358417e-05,0.39105561978307535
2.7605494828219033e-05,0.39708752045984197
2.7654074703279468e-05,0.40322346252364744
2.7702740068720553e-05,0.4094257949714412
2.775149107498741e-05,0.41571665400660834
2.78003278727899e-05,0.42209284247135515
2.7849250613103136e-05,0.4285427462746531
2.789825944716787e-05,0.4350962576211857
2.7947354526491052e-05,0.44170942803939245
2.799653600284621e-05,0.4484437720206542
2.8045804028273993e-05,0.45522452598162644
2.809515875508259e-05,0.4621432555090272
2.8144600335848236e-05,0.4690960060507428
2.8194128923415653e-05,0.4762027174658103
2.8243744670898547e-05,0.4833319747634601
2.829344773168007e-05,0.49063030811068076
2.83432382594133e-05,0.49794148499229085
2.83931164080217e-05,0.505434319802576
2.8443082331699623e-05,0.5129411463352411
2.8493136184912756e-05,0.5206231883380334
2.8543278122398624e-05,0.5283293993563868
2.859350829916705e-05,0.5362054942487253
2.8643826870500645e-05,0.5441148691943406
2.869423399195529e-05,0.5521899640981814
2.8744729819360607e-05,0.5603063272977422
2.8795314508820437e-05,0.5685854717778057
