Epsilon_beta,Time [Days]
1.2862932614460957e+17,1.1581889009869677e-05
1.2790207299559824e+17,1.160227070288277e-05
1.2716769646812818e+17,1.1622688263396381e-05
1.2642696959141078e+17,1.1643141754529784e-05
1.2568047027161552e+17,1.1663631239513322e-05
1.2492902007213594e+17,1.168415678168862e-05
1.241733343365965e+17,1.1704718444508758e-05
1.2341394196489192e+17,1.1725316291538495e-05
1.2265144383045296e+17,1.1745950386454436e-05
1.2188645395268373e+17,1.1766620793045252e-05
1.211194914287309e+17,1.178732757521187e-05
1.2035104284885774e+17,1.1808070796967665e-05
1.195815659849427e+17,1.1828850522438664e-05
1.1881153071828874e+17,1.1849666815863737e-05
1.1804132339775262e+17,1.1870519741594814e-05
1.1727128604260955e+17,1.1891409364097055e-05
1.165017529433796e+17,1.1912335747949075e-05
1.1573307031735446e+17,1.1933298957843133e-05
1.1496566859162643e+17,1.1954299058585331e-05
1.1419970093115768e+17,1.1975336115095818e-05
1.1343542647901555e+17,1.199641019240898e-05
1.1267308950568438e+17,1.2017521355673667e-05
1.1191301990493674e+17,1.2038669670153358e-05
1.1115549418557448e+17,1.2059855201226398e-05
1.1040057884054398e+17,1.2081078014386175e-05
1.0964846228276077e+17,1.2102338175241337e-05
1.0889932245236382e+17,1.2123635749515981e-05
1.0815345210215792e+17,1.2144970803049875e-05
1.0741105291478224e+17,1.2166343401798645e-05
1.0667218152081435e+17,1.2187753611833987e-05
1.0593685064099491e+17,1.2209201499343867e-05
1.0520530500072176e+17,1.2230687130632732e-05
1.0447789115650163e+17,1.2252210572121708e-05
1.0375458593808326e+17,1.2273771890348808e-05
1.0303558383872981e+17,1.2295371151969139e-05
1.0232059987776309e+17,1.2317008423755106e-05
1.0161029574865218e+17,1.2338683772596625e-05
1.0090392682575808e+17,1.2360397265501313e-05
1.0020266385747403e+17,1.2382148969594712e-05
9.95054034266579e+16,1.2403938952120499e-05
9.881332893090085e+16,1.2425767280440676e-05
9.812551913029363e+16,1.2447634022035786e-05
9.744284610118118e+16,1.246953924450513e-05
9.676472004697389e+16,1.249148301556697e-05
9.609169347053018e+16,1.2513465403058733e-05
9.542344764472854e+16,1.2535486474937229e-05
9.476033669349037e+16,1.2557546299278855e-05
9.410238274133915e+16,1.2579644944279813e-05
9.344905807981315e+16,1.2601782478256311e-05
9.280154638397466e+16,1.262395896964478e-05
9.215867000581061e+16,1.2646174487002088e-05
9.152103583631502e+16,1.2668429099005746e-05
9.088876151694016e+16,1.2690722874454123e-05
9.026117896981269e+16,1.271305588226666e-05
8.963949146616981e+16,1.273542819148408e-05
8.90226179530715e+16,1.2757839871268606e-05
8.841102406833813e+16,1.278029099090417e-05
8.780490740690186e+16,1.2802781619796623e-05
8.720352974602827e+16,1.2825311827473973e-05
8.660821406967133e+16,1.2847881683586564e-05
8.601779372769171e+16,1.287049125790732e-05
8.543249627154813e+16,1.2893140620331946e-05
8.48529404540682e+16,1.2915829840879158e-05
8.427816381435563e+16,1.2938558989690875e-05
8.370903146938066e+16,1.2961328137032467e-05
8.314527125749354e+16,1.2984137353292944e-05
8.258641845633125e+16,1.3006986708985192e-05
8.203313723596488e+16,1.3029876274746181e-05
8.148519876188162e+16,1.3052806121337195e-05
8.094212588636163e+16,1.3075776319644034e-05
8.040451998263955e+16,1.3098786940677248e-05
7.987253778127541e+16,1.3121838055572345e-05
7.934557360227088e+16,1.3144929735590026e-05
7.882360703403486e+16,1.3168062052116383e-05
7.83066164896384e+16,1.3191235076663149e-05
7.779517649552163e+16,1.3214448880867883e-05
7.728891381065349e+16,1.3237703536494226e-05
7.678761749266563e+16,1.3260999115432103e-05
7.629124073312347e+16,1.3284335689697951e-05
7.57997562186369e+16,1.330771333143494e-05
7.531349758715782e+16,1.3331132112913196e-05
7.483246918962322e+16,1.3354592106530025e-05
7.435624057033917e+16,1.337809338481014e-05
7.38847802160056e+16,1.3401636020405882e-05
7.341805575320691e+16,1.3425220086097441e-05
7.29561679667924e+16,1.3448845654793088e-05
7.249963383865875e+16,1.34725127995294e-05
7.2047789764340504e+16,1.349622159347147e-05
7.160058814039238e+16,1.3519972109913168e-05
7.115799404179087e+16,1.3543764422277326e-05
7.071997185291394e+16,1.3567598604115993e-05
7.028648529533671e+16,1.3591474729110654e-05
6.985787068297029e+16,1.361539287107246e-05
6.943396286027255e+16,1.363935310394245e-05
6.901446901205276e+16,1.3663355501791783e-05
6.85993502725742e+16,1.3687400138821973e-05
6.818856725880113e+16,1.3711487089365112e-05
6.778226070499916e+16,1.3735616427884092e-05
6.73802523797122e+16,1.3759788228972857e-05
6.6982699669306104e+16,1.3784002567356613e-05
6.658957832990721e+16,1.380825951789207e-05
6.620061934676492e+16,1.3832559155567663e-05
6.5815777077320824e+16,1.3856901555503803e-05
6.543500555834131e+16,1.3881286792953086e-05
6.505850822852663e+16,1.3905714943300544e-05
6.468603221379489e+16,1.3930186082063866e-05
6.4317531453818024e+16,1.3954700284893642e-05
6.395295955096978e+16,1.3979257627573583e-05
6.359226979587006e+16,1.400385818602077e-05
6.32354151970931e+16,1.402850203628588e-05
6.288234851197744e+16,1.4053189254553426e-05
6.2533022277517816e+16,1.4077919917141983e-05
6.218738884094185e+16,1.4102694100504435e-05
6.184540038980043e+16,1.4127511881228208e-05
6.150700898146635e+16,1.4152373336035507e-05
6.117216657198889e+16,1.4177278541783544e-05
6.084105454623085e+16,1.4202227575464792e-05
6.051338392091581e+16,1.4227220514207215e-05
6.0189108666184744e+16,1.4252257435274499e-05
5.9868182634604264e+16,1.42773384160663e-05
5.955063827170425e+16,1.430246353411849e-05
5.9236311947897096e+16,1.432763286710337e-05
5.892516860994139e+16,1.4352846492829945e-05
5.8617170242424664e+16,1.4378104489244141e-05
5.831227637148351e+16,1.4403406934429051e-05
5.8010444493594024e+16,1.4428753906605179e-05
5.771163044754741e+16,1.4454145484130684e-05
5.741578873781067e+16,1.4479581745501612e-05
5.712287281552651e+16,1.4505062769352152e-05
5.683283532270524e+16,1.453058863445487e-05
5.654562830461108e+16,1.4556159419720954e-05
5.6261203394752056e+16,1.4581775204200458e-05
5.597951195489035e+16,1.4607436067082557e-05
5.570050498536539e+16,1.463314208769577e-05
5.54241336240732e+16,1.4658893345508223e-05
5.51503492065153e+16,1.4684689920127891e-05
5.487910328192087e+16,1.4710531891302839e-05
5.4610347701901144e+16,1.4736419338921472e-05
5.4344273702199016e+16,1.4762352343012788e-05
5.40806418733228e+16,1.4788330983746608e-05
5.3819363155592904e+16,1.4814355341433845e-05
5.356039021481441e+16,1.4840425496526739e-05
5.330367641634797e+16,1.4866541529619105e-05
5.304917585384334e+16,1.4892703521446595e-05
5.2796927488484664e+16,1.4918911552886926e-05
5.254706333741545e+16,1.494516570496016e-05
5.229927702357551e+16,1.4971466058828923e-05
5.205352531422589e+16,1.4997812695798674e-05
5.180976585398918e+16,1.5024205697317954e-05
5.156809851749101e+16,1.5050645144978636e-05
5.1328796216398056e+16,1.507713112051618e-05
5.109135596087921e+16,1.5103663705809878e-05
5.085606744942687e+16,1.5130242982883115e-05
5.06227462093498e+16,1.515686903390362e-05
5.039127157840533e+16,1.5183541941183719e-05
5.016144654419902e+16,1.5210261787180595e-05
4.99332487009788e+16,1.5237028654496532e-05
4.970678547342081e+16,1.526384262587918e-05
4.9482385117609304e+16,1.5290703784221806e-05
4.925950732465191e+16,1.5317612212563552e-05
4.903813053481532e+16,1.5344567994089693e-05
4.881823302299338e+16,1.537157121213189e-05
4.859980881756396e+16,1.5398621950168458e-05
4.8383337275962904e+16,1.5425720291824604e-05
4.81682477148909e+16,1.5452866320872705e-05
4.795451948771471e+16,1.5480060121232558e-05
4.774213187534554e+16,1.5507301776971646e-05
4.753106411158892e+16,1.553459137230538e-05
4.7321594056561976e+16,1.5561928991597396e-05
4.711354350990712e+16,1.5589314719359768e-05
4.690672455262344e+16,1.5616748640253303e-05
4.6701117741975336e+16,1.5644230839087796e-05
4.649670366317902e+16,1.5671761400822287e-05
4.629347437636143e+16,1.5699340410565326e-05
4.609177562783637e+16,1.5726967953575235e-05
4.589118934819448e+16,1.5754644115260378e-05
4.569169757153131e+16,1.578236898117941e-05
4.549328242004791e+16,1.581014263704156e-05
4.529592612231032e+16,1.5837965168706887e-05
4.509965812524986e+16,1.5865836662186538e-05
4.490484444364328e+16,1.589375720364303e-05
4.471093302616245e+16,1.5921726879390505e-05
4.4517914968825304e+16,1.5949745775894994e-05
4.4325780983304664e+16,1.5977813979774703e-05
4.413494628006728e+16,1.6005931577800252e-05
4.3945030200831176e+16,1.6034098656894976e-05
4.375594107112731e+16,1.606231530413516e-05
4.356767009094873e+16,1.609058160675034e-05
4.338042552899871e+16,1.6118897652123545e-05
4.3194200702261384e+16,1.614726352779159e-05
4.300877399874026e+16,1.6175679321445325e-05
4.282406996541311e+16,1.620414512092993e-05
4.264022282928874e+16,1.623266101424517e-05
4.2457428731895656e+16,1.626122708954567e-05
4.227531394435121e+16,1.628984343514118e-05
4.209387370878538e+16,1.6318510139496877e-05
4.191319135508756e+16,1.6347227291233596e-05
4.173352213636688e+16,1.6375994979128136e-05
4.155448844657208e+16,1.6404813292113533e-05
4.13760857842684e+16,1.643368231927931e-05
4.119831174151479e+16,1.6462602149871783e-05
4.10215811696625e+16,1.6491572873294313e-05
4.084543088680206e+16,1.6520594579107596e-05
4.066985766091241e+16,1.6549667357029935e-05
4.049485798750086e+16,1.657879129693752e-05
4.032081237906577e+16,1.6607966488864708e-05
4.014733421434526e+16,1.6637193023004285e-05
3.997440060293854e+16,1.666647098970777e-05
3.9802008432913176e+16,1.669580047948568e-05
3.9630453597801016e+16,1.6725181583007802e-05
3.945949186581384e+16,1.6754614391103493e-05
3.928904640266903e+16,1.6784098994761946e-05
3.9119114553751064e+16,1.681363548513248e-05
3.8949884833011016e+16,1.684322395352481e-05
