    time    temp    dens
   1.02481389369003E-02   1.93549016820256E+00   4.21477571840702E+08
     nin     zin       y       x
  1    0     2.55529646470532E-01   2.55529646470532E-01
  0    1     1.07704194267421E-20   1.07704194267421E-20
  1    1     1.66843613669721E-19   3.33687227339442E-19
  2    1     1.79677408231297E-12   5.39032224693890E-12
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     5.19589484061534E-12   2.07835793624614E-11
  4    2     1.24185152482861E-14   7.45110914897165E-14
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     2.00982014244953E-24   1.40687409971467E-23
  5    3     1.07540588077472E-23   8.60324704619780E-23
  6    3     5.99849324507132E-16   5.39864392056419E-15
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     4.41369588661941E-25   3.97232629795747E-24
  6    4     1.86649981997154E-21   1.86649981997154E-20
  7    4     2.05935588391131E-22   2.26529147230244E-21
  8    4     3.59531928757691E-17   4.31438314509229E-16
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.00000000000000E-99   1.00000000000000E-99
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.18335640093585E-19   1.53836332121660E-18
  9    5     1.11920051274191E-19   1.56688071783868E-18
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     1.00000000000000E-99   1.00000000000000E-99
  9    6     1.00000000000000E-99   1.00000000000000E-99
 10    6     1.21530441501109E-21   1.94448706401774E-20
 11    6     8.86579504382338E-22   1.50718515744997E-20
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
