    time    temp    dens
   7.85279475789371E+00   7.65988044298873E-02   8.15909906406256E-01
     nin     zin       y       x
  1    0     1.60243603589849E-10   1.60243603589849E-10
  0    1     1.65852677648689E-12   1.65852677648689E-12
  1    1     3.34761387933225E-16   6.69522775866451E-16
  2    1     1.89429663041307E-08   5.68288989123921E-08
  1    2     1.40388324887700E-15   4.21164974663099E-15
  2    2     2.75480141724332E-04   1.10192056689733E-03
  4    2     1.99189279826066E-10   1.19513567895640E-09
  3    3     1.53163147937846E-08   9.18978887627075E-08
  4    3     2.06138662393796E-09   1.44297063675657E-08
  5    3     7.42504028974247E-15   5.94003223179398E-14
  6    3     2.88623511089334E-12   2.59761159980401E-11
  3    4     7.16207285305784E-20   5.01345099714049E-19
  5    4     8.47957688503252E-07   7.63161919652927E-06
  6    4     3.68566877770039E-07   3.68566877770039E-06
  7    4     7.33907517650149E-13   8.07298269415164E-12
  8    4     1.07384650532590E-21   1.28861580639109E-20
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.32796194666836E-14   1.32796194666836E-13
  6    5     2.19967587549676E-08   2.41964346304644E-07
  7    5     5.84568590027544E-16   7.01482308033052E-15
  8    5     3.16723211937068E-24   4.11740175518189E-23
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.08214643477974E-25   1.19036107825772E-24
  6    6     6.93342223011942E-07   8.32010667614331E-06
  7    6     6.64792787081763E-08   8.64230623206292E-07
  8    6     5.55759044632242E-08   7.78062662485139E-07
  9    6     3.02743444520344E-12   4.54115166780516E-11
 10    6     1.44109037854441E-08   2.30574460567106E-07
 11    6     2.55667919626470E-17   4.34635463365000E-16
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.38075385055664E-19   5.69498000572363E-18
  7    7     3.64166223063924E-10   5.09832712289494E-09
  8    7     9.98637784938632E-06   1.49795667740795E-04
  9    7     8.71315881944265E-08   1.39410541111082E-06
 10    7     9.60363518008551E-09   1.63261798061454E-07
 11    7     5.61601963580214E-12   1.01088353444439E-10
 12    7     2.46000446212100E-13   4.67400847802990E-12
 13    7     3.14206712315032E-21   6.28413424630065E-20
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.77462707895282E-22   2.66194061842923E-21
  8    8     1.03092183385658E-07   1.64947493417053E-06
  9    8     1.85650485578082E-09   3.15605825482740E-08
 10    8     1.85500818893612E-07   3.33901474008502E-06
 11    8     6.55295141198226E-07   1.24506076827663E-05
 12    8     6.62338831333481E-07   1.32467766266696E-05
 13    8     3.44708452807774E-08   7.23887750896326E-07
 14    8     4.67395601330969E-07   1.02827032292813E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
