Epsilon_alpha,Time [Days]
4788.177018546009,1.9799167667811328e-05
4979.977470895992,1.983401018297033e-05
5177.938122105291,1.9868914013881742e-05
5382.21865772513,1.9903879268448834e-05
5592.982546276556,1.9938906054764772e-05
5812.376743061819,1.9973994481112945e-05
6039.742703870182,2.000914465596729e-05
6273.900938931052,2.0044356687992635e-05
6515.007749907067,2.0079630686045054e-05
6766.188859243681,2.0114966759172164e-05
7025.6312146522205,2.0150365016613498e-05
7292.7420735447195,2.0185825567800822e-05
7567.699083526625,2.0221348522358477e-05
7854.264871532803,2.025693399010373e-05
8149.719581423005,2.0292582081047098e-05
8453.817398075847,2.0328292905392692e-05
8766.759935112206,2.0364066573538566e-05
9092.604602920172,2.0399903196077047e-05
9428.409882244525,2.0435802883795086e-05
9773.93923094806,2.0471765747674594e-05
10129.420240250734,2.0507791898892786e-05
10498.750999671367,2.0543881448822528e-05
10879.678153804762,2.0580034509032685e-05
11271.526418263345,2.0616251191288456e-05
11674.551881747593,2.0652531607551716e-05
12091.90635913749,2.068887586998138e-05
12523.192152269905,2.0725284090933746e-05
12966.720803140031,2.0761756382962818e-05
13422.779498968514,2.079829285882069e-05
13893.041015740893,2.083489363145786e-05
14380.42018499145,2.0871558814023616e-05
14881.49822093621,2.0908288519866348e-05
15396.596081872794,2.0945082862533926e-05
15926.042198493577,2.0981941955774036e-05
16474.750052780444,2.1018865913534538e-05
17039.788631785777,2.105585484996382e-05
17620.48374512122,2.1092908879411145e-05
18217.201150348035,2.1130028116427016e-05
18831.611126958505,2.1167212675763498e-05
19467.59941589313,2.1204462672374628e-05
20122.272154535127,2.1241778221416717e-05
20793.64300120204,2.1279159438248734e-05
21483.676400194894,2.131660643843265e-05
22199.086856582144,2.1354119337733823e-05
22932.72922563679,2.1391698252121307e-05
23685.00197003357,2.1429343297768255e-05
24459.732920262002,2.146705459105226e-05
25260.511434415803,2.1504832248555708e-05
26081.594224423345,2.154267638706615e-05
26923.42642916587,2.158058712357666e-05
27790.644106521147,2.1618564575286202e-05
28685.80119415472,2.165660885959998e-05
29604.222424366617,2.1694720094129798e-05
30544.813472508493,2.1732898396694455e-05
31515.506528737973,2.1771143885320066e-05
32515.126017732273,2.1809456678240465e-05
33538.82169086361,2.184783689389754e-05
34587.29032120706,2.1886284650941622e-05
35677.53333206968,2.192480006823184e-05
36791.366099410836,2.1963383264836486e-05
37928.76930162635,2.200203436003339e-05
39111.05180333244,2.2040753473310294e-05
40316.74635359061,2.2079540724365203e-05
41551.12961391955,2.2118396233106778e-05
42830.16264713901,2.2157320119654683e-05
44134.55451670223,2.2196312504339977e-05
45472.255644706376,2.2235373507705477e-05
46855.15607940371,2.227450325050612e-05
48265.50955512067,2.2313701853709365e-05
49713.15847367194,2.2352969438495532e-05
51207.48406184959,2.2392306126258208e-05
52731.51188229716,2.2431712038604594e-05
54296.03827964625,2.2471187297355907e-05
55909.80603713779,2.251073202454774e-05
57555.91824321779,2.255034634243044e-05
59245.27821123117,2.2590030373469496e-05
60987.2616995615,2.2629784240345908e-05
62763.1817584097,2.266960806595657e-05
64585.84828296386,2.2709501973414653e-05
66464.07430369848,2.2749466086049982e-05
68380.4727105933,2.2789500527409404e-05
70349.71243765656,2.2829605421257206e-05
72374.90269063077,2.2869780891575457e-05
74433.65751834457,2.2910027062564418e-05
76564.05437327104,2.295034405864291e-05
78738.8969342496,2.2990732004448713e-05
80955.82232426417,2.3031191024838946e-05
83251.56389145122,2.307172124489044e-05
85585.67865421262,2.3112322789900147e-05
87979.49403363575,2.3152995785385516e-05
90442.39466955671,2.3193740357084866e-05
92946.70018081169,2.323455663095781e-05
95527.8424630898,2.327544473318561e-05
98169.23023681967,2.3316404790171592e-05
100855.27856275637,2.3357436928541518e-05
103634.58667085289,2.339854127514399e-05
106466.43523166105,2.343971795705084e-05
109351.55339591274,2.3480967101557506e-05
112339.38795560048,2.3522288836183462e-05
115373.51613442815,2.3563683288672572e-05
118483.32649489574,2.3605150586993513e-05
121678.22621488439,2.3646690859340164e-05
124922.56182608513,2.3688304234131988e-05
128270.48725381593,2.3729990840014447e-05
131685.47294529015,2.3771750805859402e-05
135160.69317177593,2.381358426076547e-05
138753.1755339096,2.3855491334058503e-05
142402.01872861033,2.38974721552919e-05
146136.454867759,2.3939526854247064e-05
149973.5291546389,2.3981655560933784e-05
153870.96429096267,2.4023858405590648e-05
157879.0642825222,2.4066135518685425e-05
161975.9790834428,2.410848703091549e-05
166137.52948747293,2.4150913073208216e-05
170434.25958080858,2.4193413776721376e-05
174815.32037296947,2.4235989272843562e-05
179282.78260379913,2.4278639693194584e-05
183878.91011327825,2.4321365169625868e-05
188525.9465765496,2.4364165834220877e-05
193342.12568724115,2.4407041819295516e-05
198216.95188437254,2.444999325739853e-05
203220.60564835795,2.449302028131194e-05
208331.39553975684,2.4536123024051412e-05
213528.08376236953,2.4579301618866713e-05
218884.11214731363,2.46225561992421e-05
224300.26617063518,2.4665886898896723e-05
229890.3031633505,2.470929385178506e-05
235565.50114517307,2.475277719209733e-05
241365.54175435638,2.4796337054259883e-05
247311.21755968046,2.4839973572935632e-05
253329.40974657863,2.488368688302449e-05
259553.40855927873,2.492747711966374e-05
265847.0719294591,2.49713444182285e-05
272308.74574631656,2.5015288914332105e-05
278896.1023263123,2.5059310743826556e-05
285594.2863721698,2.510341004280292e-05
292486.30993885524,2.514758694759175e-05
299457.3133109991,2.5191841594763527e-05
306635.42186647153,2.5236174121129055e-05
313937.46590457374,2.5280584663739906e-05
321393.754350668,2.5325073359888824e-05
329017.3741076228,2.536964034711018e-05
336759.7712197259,2.5414285763180366e-05
344717.1078426354,2.5459009746118214e-05
352753.67464608734,2.5503812434185474e-05
361057.19042825117,2.554869396588719e-05
369424.1639023673,2.559365447997215e-05
378058.61171255156,2.5638694115433317e-05
386789.7604871733,2.5683813011508242e-05
395742.8344262735,2.5729011307679518e-05
404851.4924550953,2.577428914367519e-05
414131.79793431563,2.5819646659469205e-05
423631.6378831089,2.586508399528182e-05
433247.9219065077,2.591060129158007e-05
443152.9583707904,2.5956198689078174e-05
453141.77201180055,2.600187632873798e-05
463438.7023431783,2.6047634351769396e-05
473853.2419811839,2.6093472899630834e-05
484512.6082993783,2.6139392114029653e-05
495376.01106945873,2.6185392136922584e-05
506422.60438277526,2.6231473110516157e-05
517733.016140308,2.6277635177267173e-05
529177.3213790378,2.6323878479883132e-05
540950.2663719734,2.6370203161322658e-05
552804.0085131555,2.6416609364795954e-05
565054.3270632667,2.646309723376525e-05
577392.553904053,2.6509666911945244e-05
590072.3286518533,2.655631854330353e-05
602911.5733527503,2.6603052272061055e-05
616031.9720077917,2.6649868242692588e-05
629389.1646608866,2.6696766599927123e-05
642961.5327215971,2.674374748874835e-05
656854.0038209562,2.6790811054395115e-05
670889.8650549757,2.683795744236183e-05
685335.3488217564,2.6885186798398978e-05
699891.256422414,2.6932499268513504e-05
714863.0433093378,2.6979894998969315e-05
729997.4715982567,2.702737413628771e-05
745467.5201174241,2.7074936827247825e-05
761200.1190557334,2.7122583218887114e-05
777182.2903793975,2.7170313458501772e-05
793536.5132100574,2.721812769364721e-05
810051.5732253094,2.7266026072138514e-05
827035.9715973366,2.731400874205088e-05
844143.4214816719,2.7362075851720107e-05
861731.3313444717,2.7410227549743015e-05
879497.8674715519,2.745846398497793e-05
897656.0192702981,2.7506785306545145e-05
916102.5650654298,2.7555191663827367e-05
934844.0556474406,2.7603683206470195e-05
953991.9627502938,2.7652260084382564e-05
973330.0562620956,2.770092244773722e-05
993201.1060994904,2.774967044697119e-05
1013238.5244289578,2.779850423278623e-05
1033832.322451129,2.7847423956149304e-05
1054583.6889115942,2.7896429768293048e-05
1075875.464212643,2.7945521820716243e-05
1097362.7453769564,2.799470026518427e-05
1119370.0162980924,2.804396525372958e-05
1141615.6753949458,2.8093316938652183e-05
1164356.2216847262,2.81427554725201e-05
1187383.2301883232,2.8192281008169842e-05
1210875.0947530281,2.8241893698706882e-05
1234706.9387234896,2.8291593697506122e-05
1258968.428022888,2.834138115821238e-05
1283629.1131343096,2.8391256234740846e-05
1308678.7972240744,2.8441219081277592e-05
1334192.853403204,2.8491269852279996e-05
1360049.565865383,2.854140870247728e-05
1386442.0517535063,2.859163578687094e-05
1413124.8895734027,2.8641951260735244e-05
1440421.3968603401,2.869235527961772e-05
1467949.7202662632,2.8742847999339612e-05
1496176.3779088503,2.8793429575996398e-05
1524569.8101804934,2.8844100165958238e-05
1553753.288509301,2.8894859925870472e-05
1583068.6831808167,2.894570901265411e-05
1613199.2304745135,2.8996647583506315e-05
1643507.6414044218,2.904767579590088e-05
1674562.1174638236,2.909879380758871e-05
1705891.6369416101,2.9150001776598332e-05
1737890.678497051,2.9201299861236367e-05
1770270.367088997,2.925268822008803e-05
1803235.9535529604,2.9304167012017608e-05
1836694.7586151352,2.935573639616895e-05
1870645.922001799,2.9407396531965976e-05
1905212.950063205,2.9459147579113156e-05
1940172.1563614714,2.951098969759601e-05
1975878.273468569,2.9562923047681596e-05
2011867.202524957,2.9614947789919015e-05
2048801.0606390499,2.966706408513989e-05
2085906.4695628013,2.9719272094458894e-05
2123987.651152467,2.9771571979274213e-05
2162233.0620312053,2.9823963901268067e-05
2201493.8235527016,2.9876448022407205e-05
2240902.992141596,2.9929024504943397e-05
2281376.2178763277,2.998169351141396e-05
2321973.138612503,3.0034455204642227e-05
