file,Ye,R_velocity_km_s,R0_km,density_init_g_cm3,T9_init_GK
traj0001.dat,0.03000,4.000e+04,50.0,8.000e+12,10.00
traj0002.dat,0.03000,4.000e+04,50.0,8.000e+12,11.00
traj0003.dat,0.03000,4.000e+04,50.0,8.000e+12,12.00
traj0004.dat,0.03000,4.000e+04,50.0,1.000e+13,10.00
traj0005.dat,0.03000,4.000e+04,50.0,1.000e+13,11.00
traj0006.dat,0.03000,4.000e+04,50.0,1.000e+13,12.00
traj0007.dat,0.03000,4.000e+04,50.0,1.200e+13,10.00
traj0008.dat,0.03000,4.000e+04,50.0,1.200e+13,11.00
traj0009.dat,0.03000,4.000e+04,50.0,1.200e+13,12.00
traj0010.dat,0.03000,4.000e+04,50.0,1.400e+13,10.00
traj0011.dat,0.03000,4.000e+04,50.0,1.400e+13,11.00
traj0012.dat,0.03000,4.000e+04,50.0,1.400e+13,12.00
traj0013.dat,0.03000,4.500e+04,50.0,8.000e+12,10.00
traj0014.dat,0.03000,4.500e+04,50.0,8.000e+12,11.00
traj0015.dat,0.03000,4.500e+04,50.0,8.000e+12,12.00
traj0016.dat,0.03000,4.500e+04,50.0,1.000e+13,10.00
traj0017.dat,0.03000,4.500e+04,50.0,1.000e+13,11.00
traj0018.dat,0.03000,4.500e+04,50.0,1.000e+13,12.00
traj0019.dat,0.03000,4.500e+04,50.0,1.200e+13,10.00
traj0020.dat,0.03000,4.500e+04,50.0,1.200e+13,11.00
traj0021.dat,0.03000,4.500e+04,50.0,1.200e+13,12.00
traj0022.dat,0.03000,4.500e+04,50.0,1.400e+13,10.00
traj0023.dat,0.03000,4.500e+04,50.0,1.400e+13,11.00
traj0024.dat,0.03000,4.500e+04,50.0,1.400e+13,12.00
traj0025.dat,0.03000,5.000e+04,50.0,8.000e+12,10.00
traj0026.dat,0.03000,5.000e+04,50.0,8.000e+12,11.00
traj0027.dat,0.03000,5.000e+04,50.0,8.000e+12,12.00
traj0028.dat,0.03000,5.000e+04,50.0,1.000e+13,10.00
traj0029.dat,0.03000,5.000e+04,50.0,1.000e+13,11.00
traj0030.dat,0.03000,5.000e+04,50.0,1.000e+13,12.00
traj0031.dat,0.03000,5.000e+04,50.0,1.200e+13,10.00
traj0032.dat,0.03000,5.000e+04,50.0,1.200e+13,11.00
traj0033.dat,0.03000,5.000e+04,50.0,1.200e+13,12.00
traj0034.dat,0.03000,5.000e+04,50.0,1.400e+13,10.00
traj0035.dat,0.03000,5.000e+04,50.0,1.400e+13,11.00
traj0036.dat,0.03000,5.000e+04,50.0,1.400e+13,12.00
traj0037.dat,0.12000,4.000e+04,50.0,8.000e+12,10.00
traj0038.dat,0.12000,4.000e+04,50.0,8.000e+12,11.00
traj0039.dat,0.12000,4.000e+04,50.0,8.000e+12,12.00
traj0040.dat,0.12000,4.000e+04,50.0,1.000e+13,10.00
traj0041.dat,0.12000,4.000e+04,50.0,1.000e+13,11.00
traj0042.dat,0.12000,4.000e+04,50.0,1.000e+13,12.00
traj0043.dat,0.12000,4.000e+04,50.0,1.200e+13,10.00
traj0044.dat,0.12000,4.000e+04,50.0,1.200e+13,11.00
traj0045.dat,0.12000,4.000e+04,50.0,1.200e+13,12.00
traj0046.dat,0.12000,4.000e+04,50.0,1.400e+13,10.00
traj0047.dat,0.12000,4.000e+04,50.0,1.400e+13,11.00
traj0048.dat,0.12000,4.000e+04,50.0,1.400e+13,12.00
traj0049.dat,0.12000,4.500e+04,50.0,8.000e+12,10.00
traj0050.dat,0.12000,4.500e+04,50.0,8.000e+12,11.00
