# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 1.2000e+01 1.2000e+13 5.0000e+01 0.30000
2.5000e-05 1.0869e+01 1.0214e+13 5.1250e+01 0.30000
5.0000e-05 9.7313e+00 8.6933e+12 5.2500e+01 0.30000
7.6000e-05 8.6531e+00 7.5715e+12 5.3800e+01 0.30000
1.0100e-04 7.8374e+00 6.5945e+12 5.5050e+01 0.30000
1.2600e-04 7.1150e+00 5.8774e+12 5.6300e+01 0.30000
1.5100e-04 6.5640e+00 5.1190e+12 5.7550e+01 0.30000
1.7700e-04 6.0978e+00 4.5623e+12 5.8850e+01 0.30000
2.0200e-04 5.6777e+00 4.0661e+12 6.0100e+01 0.30000
2.2700e-04 5.3477e+00 3.5415e+12 6.1350e+01 0.30000
2.5200e-04 5.0138e+00 3.1564e+12 6.2600e+01 0.30000
2.7700e-04 4.7225e+00 2.8130e+12 6.3850e+01 0.30000
3.0300e-04 4.4277e+00 2.4501e+12 6.5150e+01 0.30000
3.2800e-04 4.2089e+00 2.1837e+12 6.6400e+01 0.30000
3.5300e-04 3.9643e+00 1.9461e+12 6.7650e+01 0.30000
3.7800e-04 3.7685e+00 1.7749e+12 6.8900e+01 0.30000
4.0300e-04 3.5578e+00 1.5820e+12 7.0150e+01 0.30000
4.2900e-04 3.3976e+00 1.4427e+12 7.1450e+01 0.30000
4.5400e-04 3.2372e+00 1.3158e+12 7.2700e+01 0.30000
4.7900e-04 3.0844e+00 1.2000e+12 7.3950e+01 0.30000
5.0400e-04 2.9592e+00 1.0944e+12 7.5200e+01 0.30000
5.2900e-04 2.8130e+00 9.9813e+11 7.6450e+01 0.30000
5.5500e-04 2.6988e+00 9.1029e+11 7.7750e+01 0.30000
5.8000e-04 2.5952e+00 8.3020e+11 7.9000e+01 0.30000
6.0500e-04 2.4842e+00 7.7479e+11 8.0250e+01 0.30000
6.3000e-04 2.3887e+00 7.0661e+11 8.1500e+01 0.30000
6.5600e-04 2.2813e+00 6.5945e+11 8.2800e+01 0.30000
6.8100e-04 2.1786e+00 6.0143e+11 8.4050e+01 0.30000
7.0600e-04 2.0998e+00 5.6128e+11 8.5300e+01 0.30000
7.3100e-04 2.0098e+00 5.1190e+11 8.6550e+01 0.30000
7.5600e-04 1.9283e+00 4.7773e+11 8.7800e+01 0.30000
7.8200e-04 1.8542e+00 4.4584e+11 8.9100e+01 0.30000
8.0700e-04 1.7668e+00 4.0661e+11 9.0350e+01 0.30000
8.3200e-04 1.6912e+00 3.7947e+11 9.1600e+01 0.30000
8.5700e-04 1.6262e+00 3.5415e+11 9.2850e+01 0.30000
8.8200e-04 1.5531e+00 3.3050e+11 9.4100e+01 0.30000
9.0800e-04 1.4831e+00 3.0845e+11 9.5400e+01 0.30000
9.3300e-04 1.4229e+00 2.8786e+11 9.6650e+01 0.30000
9.5800e-04 1.3620e+00 2.6864e+11 9.7900e+01 0.30000
9.8300e-04 1.2977e+00 2.5072e+11 9.9150e+01 0.30000
1.0090e-03 1.2251e+00 2.3398e+11 1.0045e+02 0.30000
1.0340e-03 1.1459e+00 2.2345e+11 1.0170e+02 0.30000
1.0590e-03 1.0572e+00 2.0854e+11 1.0295e+02 0.30000
1.0840e-03 9.7987e-01 1.9461e+11 1.0420e+02 0.30000
1.1090e-03 9.1447e-01 1.8586e+11 1.0545e+02 0.30000
1.1350e-03 8.6332e-01 1.7345e+11 1.0675e+02 0.30000
1.1600e-03 7.9831e-01 1.6565e+11 1.0800e+02 0.30000
1.1850e-03 7.4503e-01 1.5459e+11 1.0925e+02 0.30000
1.2100e-03 7.0011e-01 1.4763e+11 1.1050e+02 0.30000
1.2350e-03 6.6401e-01 1.4099e+11 1.1175e+02 0.30000
1.2610e-03 6.2111e-01 1.3158e+11 1.1305e+02 0.30000
1.2860e-03 5.8234e-01 1.2566e+11 1.1430e+02 0.30000
1.3110e-03 5.4850e-01 1.2000e+11 1.1555e+02 0.30000
1.3360e-03 5.2260e-01 1.1460e+11 1.1680e+02 0.30000
1.3620e-03 4.9794e-01 1.0944e+11 1.1810e+02 0.30000
1.3870e-03 4.6792e-01 1.0452e+11 1.1935e+02 0.30000
1.4120e-03 4.4277e-01 9.9813e+10 1.2060e+02 0.30000
1.4370e-03 4.2187e-01 9.5320e+10 1.2185e+02 0.30000
1.4620e-03 4.0288e-01 9.1029e+10 1.2310e+02 0.30000
1.4880e-03 3.8830e-01 8.6933e+10 1.2440e+02 0.30000
1.5130e-03 3.6659e-01 8.3020e+10 1.2565e+02 0.30000
1.5380e-03 3.4768e-01 7.9284e+10 1.2690e+02 0.30000
1.5630e-03 3.3279e-01 7.7479e+10 1.2815e+02 0.30000
1.5880e-03 3.2002e-01 7.3991e+10 1.2940e+02 0.30000
1.6140e-03 3.0915e-01 7.0661e+10 1.3070e+02 0.30000
1.6390e-03 2.9728e-01 6.7481e+10 1.3195e+02 0.30000
1.6640e-03 2.8325e-01 6.5945e+10 1.3320e+02 0.30000
1.6890e-03 2.7112e-01 6.2977e+10 1.3445e+02 0.30000
1.7150e-03 2.6072e-01 6.1543e+10 1.3575e+02 0.30000
1.7400e-03 2.5128e-01 5.8774e+10 1.3700e+02 0.30000
1.7650e-03 2.4387e-01 5.6128e+10 1.3825e+02 0.30000
1.7900e-03 2.3723e-01 5.4851e+10 1.3950e+02 0.30000
1.8150e-03 2.2655e-01 5.2382e+10 1.4075e+02 0.30000
1.8410e-03 2.1736e-01 5.1190e+10 1.4205e+02 0.30000
1.8660e-03 2.0950e-01 4.8885e+10 1.4330e+02 0.30000
1.8910e-03 2.0239e-01 4.7773e+10 1.4455e+02 0.30000
