# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 1.2000e+01 1.4000e+13 5.0000e+01 0.21000
2.5000e-05 1.0869e+01 1.1916e+13 5.1000e+01 0.21000
5.0000e-05 9.7313e+00 1.0142e+13 5.2000e+01 0.21000
7.6000e-05 8.6531e+00 8.8334e+12 5.3040e+01 0.21000
1.0100e-04 7.8374e+00 7.6936e+12 5.4040e+01 0.21000
1.2600e-04 7.1150e+00 6.8569e+12 5.5040e+01 0.21000
1.5100e-04 6.5640e+00 5.9722e+12 5.6040e+01 0.21000
1.7700e-04 6.0978e+00 5.3227e+12 5.7080e+01 0.21000
2.0200e-04 5.6777e+00 4.7438e+12 5.8080e+01 0.21000
2.2700e-04 5.3477e+00 4.1317e+12 5.9080e+01 0.21000
2.5200e-04 5.0138e+00 3.6824e+12 6.0080e+01 0.21000
2.7700e-04 4.7225e+00 3.2819e+12 6.1080e+01 0.21000
3.0300e-04 4.4277e+00 2.8585e+12 6.2120e+01 0.21000
3.2800e-04 4.2089e+00 2.5476e+12 6.3120e+01 0.21000
3.5300e-04 3.9643e+00 2.2705e+12 6.4120e+01 0.21000
3.7800e-04 3.7685e+00 2.0707e+12 6.5120e+01 0.21000
4.0300e-04 3.5578e+00 1.8456e+12 6.6120e+01 0.21000
4.2900e-04 3.3976e+00 1.6831e+12 6.7160e+01 0.21000
4.5400e-04 3.2372e+00 1.5351e+12 6.8160e+01 0.21000
4.7900e-04 3.0844e+00 1.4000e+12 6.9160e+01 0.21000
5.0400e-04 2.9592e+00 1.2768e+12 7.0160e+01 0.21000
5.2900e-04 2.8130e+00 1.1645e+12 7.1160e+01 0.21000
5.5500e-04 2.6988e+00 1.0620e+12 7.2200e+01 0.21000
5.8000e-04 2.5952e+00 9.6857e+11 7.3200e+01 0.21000
6.0500e-04 2.4842e+00 9.0392e+11 7.4200e+01 0.21000
6.3000e-04 2.3887e+00 8.2438e+11 7.5200e+01 0.21000
6.5600e-04 2.2813e+00 7.6936e+11 7.6240e+01 0.21000
6.8100e-04 2.1786e+00 7.0167e+11 7.7240e+01 0.21000
7.0600e-04 2.0998e+00 6.5483e+11 7.8240e+01 0.21000
7.3100e-04 2.0098e+00 5.9722e+11 7.9240e+01 0.21000
7.5600e-04 1.9283e+00 5.5736e+11 8.0240e+01 0.21000
7.8200e-04 1.8542e+00 5.2015e+11 8.1280e+01 0.21000
8.0700e-04 1.7668e+00 4.7438e+11 8.2280e+01 0.21000
8.3200e-04 1.6912e+00 4.4272e+11 8.3280e+01 0.21000
8.5700e-04 1.6262e+00 4.1317e+11 8.4280e+01 0.21000
8.8200e-04 1.5531e+00 3.8559e+11 8.5280e+01 0.21000
9.0800e-04 1.4831e+00 3.5985e+11 8.6320e+01 0.21000
9.3300e-04 1.4229e+00 3.3584e+11 8.7320e+01 0.21000
9.5800e-04 1.3620e+00 3.1342e+11 8.8320e+01 0.21000
9.8300e-04 1.2977e+00 2.9250e+11 8.9320e+01 0.21000
1.0090e-03 1.2251e+00 2.7297e+11 9.0360e+01 0.21000
1.0340e-03 1.1459e+00 2.6069e+11 9.1360e+01 0.21000
1.0590e-03 1.0572e+00 2.4330e+11 9.2360e+01 0.21000
1.0840e-03 9.7987e-01 2.2705e+11 9.3360e+01 0.21000
1.1090e-03 9.1447e-01 2.1684e+11 9.4360e+01 0.21000
1.1350e-03 8.6332e-01 2.0236e+11 9.5400e+01 0.21000
1.1600e-03 7.9831e-01 1.9326e+11 9.6400e+01 0.21000
1.1850e-03 7.4503e-01 1.8035e+11 9.7400e+01 0.21000
1.2100e-03 7.0011e-01 1.7224e+11 9.8400e+01 0.21000
1.2350e-03 6.6401e-01 1.6449e+11 9.9400e+01 0.21000
1.2610e-03 6.2111e-01 1.5351e+11 1.0044e+02 0.21000
1.2860e-03 5.8234e-01 1.4660e+11 1.0144e+02 0.21000
