# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 1.0000e+01 1.0000e+13 5.0000e+01 0.12000
2.5000e-05 9.0572e+00 8.5114e+12 5.1000e+01 0.12000
5.0000e-05 8.1094e+00 7.2444e+12 5.2000e+01 0.12000
7.6000e-05 7.2109e+00 6.3096e+12 5.3040e+01 0.12000
1.0100e-04 6.5311e+00 5.4954e+12 5.4040e+01 0.12000
1.2600e-04 5.9291e+00 4.8978e+12 5.5040e+01 0.12000
1.5100e-04 5.4700e+00 4.2659e+12 5.6040e+01 0.12000
1.7700e-04 5.0815e+00 3.8019e+12 5.7080e+01 0.12000
2.0200e-04 4.7314e+00 3.3884e+12 5.8080e+01 0.12000
2.2700e-04 4.4565e+00 2.9512e+12 5.9080e+01 0.12000
2.5200e-04 4.1782e+00 2.6303e+12 6.0080e+01 0.12000
2.7700e-04 3.9354e+00 2.3442e+12 6.1080e+01 0.12000
3.0300e-04 3.6897e+00 2.0418e+12 6.2120e+01 0.12000
3.2800e-04 3.5074e+00 1.8197e+12 6.3120e+01 0.12000
3.5300e-04 3.3036e+00 1.6218e+12 6.4120e+01 0.12000
3.7800e-04 3.1404e+00 1.4791e+12 6.5120e+01 0.12000
4.0300e-04 2.9648e+00 1.3183e+12 6.6120e+01 0.12000
4.2900e-04 2.8314e+00 1.2022e+12 6.7160e+01 0.12000
4.5400e-04 2.6977e+00 1.0965e+12 6.8160e+01 0.12000
4.7900e-04 2.5704e+00 1.0000e+12 6.9160e+01 0.12000
5.0400e-04 2.4660e+00 9.1202e+11 7.0160e+01 0.12000
5.2900e-04 2.3442e+00 8.3177e+11 7.1160e+01 0.12000
5.5500e-04 2.2490e+00 7.5858e+11 7.2200e+01 0.12000
5.8000e-04 2.1627e+00 6.9183e+11 7.3200e+01 0.12000
6.0500e-04 2.0701e+00 6.4566e+11 7.4200e+01 0.12000
6.3000e-04 1.9906e+00 5.8884e+11 7.5200e+01 0.12000
6.5600e-04 1.9010e+00 5.4954e+11 7.6240e+01 0.12000
6.8100e-04 1.8155e+00 5.0119e+11 7.7240e+01 0.12000
7.0600e-04 1.7498e+00 4.6774e+11 7.8240e+01 0.12000
7.3100e-04 1.6749e+00 4.2659e+11 7.9240e+01 0.12000
7.5600e-04 1.6069e+00 3.9811e+11 8.0240e+01 0.12000
7.8200e-04 1.5452e+00 3.7153e+11 8.1280e+01 0.12000
8.0700e-04 1.4723e+00 3.3884e+11 8.2280e+01 0.12000
8.3200e-04 1.4093e+00 3.1623e+11 8.3280e+01 0.12000
8.5700e-04 1.3551e+00 2.9512e+11 8.4280e+01 0.12000
8.8200e-04 1.2942e+00 2.7542e+11 8.5280e+01 0.12000
9.0800e-04 1.2359e+00 2.5704e+11 8.6320e+01 0.12000
9.3300e-04 1.1858e+00 2.3988e+11 8.7320e+01 0.12000
9.5800e-04 1.1350e+00 2.2387e+11 8.8320e+01 0.12000
9.8300e-04 1.0814e+00 2.0893e+11 8.9320e+01 0.12000
1.0090e-03 1.0209e+00 1.9498e+11 9.0360e+01 0.12000
1.0340e-03 9.5495e-01 1.8621e+11 9.1360e+01 0.12000
1.0590e-03 8.8103e-01 1.7379e+11 9.2360e+01 0.12000
1.0840e-03 8.1656e-01 1.6218e+11 9.3360e+01 0.12000
1.1090e-03 7.6206e-01 1.5489e+11 9.4360e+01 0.12000
1.1350e-03 7.1943e-01 1.4454e+11 9.5400e+01 0.12000
1.1600e-03 6.6526e-01 1.3804e+11 9.6400e+01 0.12000
1.1850e-03 6.2086e-01 1.2882e+11 9.7400e+01 0.12000
1.2100e-03 5.8343e-01 1.2303e+11 9.8400e+01 0.12000
1.2350e-03 5.5334e-01 1.1749e+11 9.9400e+01 0.12000
1.2610e-03 5.1759e-01 1.0965e+11 1.0044e+02 0.12000
1.2860e-03 4.8528e-01 1.0471e+11 1.0144e+02 0.12000
1.3110e-03 4.5708e-01 1.0000e+11 1.0244e+02 0.12000
1.3360e-03 4.3550e-01 9.5499e+10 1.0344e+02 0.12000
1.3620e-03 4.1495e-01 9.1202e+10 1.0448e+02 0.12000
1.3870e-03 3.8993e-01 8.7097e+10 1.0548e+02 0.12000
1.4120e-03 3.6897e-01 8.3177e+10 1.0648e+02 0.12000
1.4370e-03 3.5155e-01 7.9433e+10 1.0748e+02 0.12000
1.4620e-03 3.3573e-01 7.5858e+10 1.0848e+02 0.12000
1.4880e-03 3.2358e-01 7.2444e+10 1.0952e+02 0.12000
1.5130e-03 3.0549e-01 6.9183e+10 1.1052e+02 0.12000
1.5380e-03 2.8973e-01 6.6070e+10 1.1152e+02 0.12000
1.5630e-03 2.7733e-01 6.4566e+10 1.1252e+02 0.12000
1.5880e-03 2.6668e-01 6.1660e+10 1.1352e+02 0.12000
1.6140e-03 2.5763e-01 5.8884e+10 1.1456e+02 0.12000
1.6390e-03 2.4773e-01 5.6234e+10 1.1556e+02 0.12000
1.6640e-03 2.3604e-01 5.4954e+10 1.1656e+02 0.12000
1.6890e-03 2.2594e-01 5.2481e+10 1.1756e+02 0.12000
1.7150e-03 2.1726e-01 5.1286e+10 1.1860e+02 0.12000
1.7400e-03 2.0940e-01 4.8978e+10 1.1960e+02 0.12000
1.7650e-03 2.0323e-01 4.6774e+10 1.2060e+02 0.12000
