# time[s], T9[GK], density[g/cm^3], R[km], Ye

1.0000e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.0667e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.1379e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.2139e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.2949e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.3813e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.4735e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.5718e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.6767e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.7886e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
1.9079e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
2.0352e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
2.1711e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
2.3160e-06 1.1000e+01 3.0000e+13 3.0000e+01 0.05000
2.4705e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
2.6354e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
2.8112e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
2.9988e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
3.1990e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
3.4124e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
3.6402e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
3.8831e-06 1.1000e+01 2.9999e+13 3.0000e+01 0.05000
4.1422e-06 1.1000e+01 2.9998e+13 3.0001e+01 0.05000
4.4187e-06 1.1000e+01 2.9998e+13 3.0001e+01 0.05000
4.7135e-06 1.1000e+01 2.9998e+13 3.0001e+01 0.05000
5.0281e-06 1.1000e+01 2.9998e+13 3.0001e+01 0.05000
5.3636e-06 1.1000e+01 2.9997e+13 3.0001e+01 0.05000
5.7216e-06 1.1000e+01 2.9997e+13 3.0001e+01 0.05000
