# time[s], T9[GK], density[g/cm^3], R[km], Ye

1.0000e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.0667e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.1379e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.2139e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.2949e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.3813e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.4735e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.5718e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.6767e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.7886e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
1.9079e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
2.0352e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
2.1711e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
2.3160e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
2.4705e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
2.6354e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
2.8112e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
2.9988e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
3.1990e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
3.4124e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
3.6402e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
3.8831e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
4.1422e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
4.4187e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
4.7135e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
5.0281e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
5.3636e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
5.7216e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
6.1034e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
6.5107e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
6.9452e-06 7.0000e+00 6.0000e+12 5.5000e+01 0.25000
7.4087e-06 7.0000e+00 5.9999e+12 5.5000e+01 0.25000
7.9031e-06 7.0000e+00 5.9999e+12 5.5000e+01 0.25000
8.4305e-06 7.0000e+00 5.9999e+12 5.5000e+01 0.25000
8.9931e-06 7.0000e+00 5.9999e+12 5.5000e+01 0.25000
9.5932e-06 7.0000e+00 5.9999e+12 5.5000e+01 0.25000
1.0233e-05 7.0000e+00 5.9999e+12 5.5000e+01 0.25000
1.0916e-05 7.0000e+00 5.9999e+12 5.5000e+01 0.25000
1.1645e-05 6.9999e+00 5.9999e+12 5.5000e+01 0.25000
1.2422e-05 6.9999e+00 5.9998e+12 5.5000e+01 0.25000
1.3251e-05 6.9999e+00 5.9998e+12 5.5001e+01 0.25000
1.4135e-05 6.9999e+00 5.9998e+12 5.5001e+01 0.25000
1.5078e-05 6.9999e+00 5.9998e+12 5.5001e+01 0.25000
1.6085e-05 6.9999e+00 5.9997e+12 5.5001e+01 0.25000
1.7158e-05 6.9999e+00 5.9997e+12 5.5001e+01 0.25000
1.8303e-05 6.9999e+00 5.9997e+12 5.5001e+01 0.25000
1.9525e-05 6.9999e+00 5.9996e+12 5.5001e+01 0.25000
2.0828e-05 6.9998e+00 5.9996e+12 5.5001e+01 0.25000
2.2217e-05 6.9998e+00 5.9995e+12 5.5001e+01 0.25000
2.3700e-05 6.9998e+00 5.9994e+12 5.5002e+01 0.25000
2.5282e-05 6.9998e+00 5.9994e+12 5.5002e+01 0.25000
2.6969e-05 6.9997e+00 5.9993e+12 5.5002e+01 0.25000
2.8769e-05 6.9997e+00 5.9992e+12 5.5002e+01 0.25000
3.0688e-05 6.9996e+00 5.9991e+12 5.5003e+01 0.25000
3.2736e-05 6.9996e+00 5.9989e+12 5.5003e+01 0.25000
3.4921e-05 6.9995e+00 5.9988e+12 5.5004e+01 0.25000
3.7251e-05 6.9995e+00 5.9986e+12 5.5004e+01 0.25000
3.9737e-05 6.9994e+00 5.9985e+12 5.5005e+01 0.25000
4.2389e-05 6.9993e+00 5.9982e+12 5.5005e+01 0.25000
4.5218e-05 6.9992e+00 5.9980e+12 5.5006e+01 0.25000
4.8235e-05 6.9991e+00 5.9977e+12 5.5007e+01 0.25000
5.1454e-05 6.9990e+00 5.9974e+12 5.5008e+01 0.25000
5.4888e-05 6.9989e+00 5.9970e+12 5.5009e+01 0.25000
5.8551e-05 6.9987e+00 5.9966e+12 5.5010e+01 0.25000
6.2458e-05 6.9985e+00 5.9962e+12 5.5012e+01 0.25000
6.6627e-05 6.9983e+00 5.9956e+12 5.5013e+01 0.25000
7.1073e-05 6.9981e+00 5.9950e+12 5.5015e+01 0.25000
7.5816e-05 6.9978e+00 5.9944e+12 5.5017e+01 0.25000
8.0875e-05 6.9975e+00 5.9936e+12 5.5020e+01 0.25000
8.6272e-05 6.9972e+00 5.9927e+12 5.5022e+01 0.25000
9.2030e-05 6.9968e+00 5.9917e+12 5.5025e+01 0.25000
9.8171e-05 6.9963e+00 5.9906e+12 5.5029e+01 0.25000
1.0472e-04 6.9958e+00 5.9893e+12 5.5033e+01 0.25000
1.1171e-04 6.9952e+00 5.9878e+12 5.5037e+01 0.25000
1.1917e-04 6.9946e+00 5.9861e+12 5.5043e+01 0.25000
1.2712e-04 6.9938e+00 5.9842e+12 5.5048e+01 0.25000
1.3560e-04 6.9930e+00 5.9820e+12 5.5055e+01 0.25000
1.4465e-04 6.9920e+00 5.9795e+12 5.5063e+01 0.25000
1.5430e-04 6.9909e+00 5.9767e+12 5.5071e+01 0.25000
1.6460e-04 6.9897e+00 5.9735e+12 5.5081e+01 0.25000
1.7559e-04 6.9883e+00 5.9699e+12 5.5092e+01 0.25000
1.8730e-04 6.9866e+00 5.9657e+12 5.5105e+01 0.25000
1.9980e-04 6.9848e+00 5.9610e+12 5.5120e+01 0.25000
2.1314e-04 6.9827e+00 5.9557e+12 5.5136e+01 0.25000
2.2736e-04 6.9803e+00 5.9496e+12 5.5155e+01 0.25000
2.4253e-04 6.9776e+00 5.9427e+12 5.5176e+01 0.25000
2.5872e-04 6.9746e+00 5.9348e+12 5.5201e+01 0.25000
2.7598e-04 6.9711e+00 5.9259e+12 5.5228e+01 0.25000
2.9440e-04 6.9671e+00 5.9158e+12 5.5260e+01 0.25000
3.1405e-04 6.9626e+00 5.9043e+12 5.5295e+01 0.25000
3.3500e-04 6.9575e+00 5.8913e+12 5.5336e+01 0.25000
3.5736e-04 6.9516e+00 5.8765e+12 5.5383e+01 0.25000
3.8121e-04 6.9450e+00 5.8598e+12 5.5435e+01 0.25000
4.0665e-04 6.9375e+00 5.8408e+12 5.5495e+01 0.25000
4.3379e-04 6.9290e+00 5.8193e+12 5.5563e+01 0.25000
4.6273e-04 6.9194e+00 5.7950e+12 5.5641e+01 0.25000
4.9361e-04 6.9084e+00 5.7675e+12 5.5729e+01 0.25000
5.2655e-04 6.8960e+00 5.7365e+12 5.5830e+01 0.25000
5.6169e-04 6.8819e+00 5.7014e+12 5.5944e+01 0.25000
5.9918e-04 6.8660e+00 5.6619e+12 5.6074e+01 0.25000
6.3916e-04 6.8479e+00 5.6174e+12 5.6221e+01 0.25000
6.8182e-04 6.8275e+00 5.5673e+12 5.6389e+01 0.25000
7.2732e-04 6.8045e+00 5.5112e+12 5.6580e+01 0.25000
7.7585e-04 6.7785e+00 5.4482e+12 5.6797e+01 0.25000
8.2763e-04 6.7491e+00 5.3778e+12 5.7044e+01 0.25000
8.8286e-04 6.7161e+00 5.2992e+12 5.7325e+01 0.25000
9.4178e-04 6.6790e+00 5.2118e+12 5.7643e+01 0.25000
1.0046e-03 6.6373e+00 5.1148e+12 5.8006e+01 0.25000
1.0717e-03 6.5905e+00 5.0075e+12 5.8417e+01 0.25000
1.1432e-03 6.5382e+00 4.8892e+12 5.8884e+01 0.25000
1.2195e-03 6.4799e+00 4.7594e+12 5.9415e+01 0.25000
1.3009e-03 6.4148e+00 4.6176e+12 6.0017e+01 0.25000
1.3877e-03 6.3426e+00 4.4634e+12 6.0700e+01 0.25000
1.4803e-03 6.2627e+00 4.2967e+12 6.1475e+01 0.25000
1.5791e-03 6.1744e+00 4.1176e+12 6.2354e+01 0.25000
1.6844e-03 6.0773e+00 3.9264e+12 6.3350e+01 0.25000
1.7968e-03 5.9710e+00 3.7240e+12 6.4478e+01 0.25000
1.9167e-03 5.8551e+00 3.5112e+12 6.5755e+01 0.25000
2.0447e-03 5.7292e+00 3.2897e+12 6.7199e+01 0.25000
2.1811e-03 5.5934e+00 3.0611e+12 6.8832e+01 0.25000
2.3267e-03 5.4474e+00 2.8277e+12 7.0675e+01 0.25000
2.4819e-03 5.2917e+00 2.5920e+12 7.2756e+01 0.25000
2.6476e-03 5.1265e+00 2.3567e+12 7.5100e+01 0.25000
2.8242e-03 4.9524e+00 2.1247e+12 7.7740e+01 0.25000
3.0127e-03 4.7703e+00 1.8988e+12 8.0708e+01 0.25000
3.2138e-03 4.5811e+00 1.6818e+12 8.4041e+01 0.25000
3.4282e-03 4.3861e+00 1.4760e+12 8.7777e+01 0.25000
3.6570e-03 4.1866e+00 1.2837e+12 9.1959e+01 0.25000
3.9011e-03 3.9842e+00 1.1064e+12 9.6631e+01 0.25000
4.1614e-03 3.7804e+00 9.4512e+11 1.0184e+02 0.25000
4.4391e-03 3.5769e+00 8.0051e+11 1.0764e+02 0.25000
4.7353e-03 3.3751e+00 6.7253e+11 1.1407e+02 0.25000
5.0513e-03 3.1766e+00 5.6071e+11 1.2120e+02 0.25000
5.3884e-03 2.9828e+00 4.6420e+11 1.2908e+02 0.25000
5.7480e-03 2.7948e+00 3.8186e+11 1.3776e+02 0.25000
6.1316e-03 2.6137e+00 3.1235e+11 1.4730e+02 0.25000
6.5408e-03 2.4404e+00 2.5423e+11 1.5776e+02 0.25000
6.9773e-03 2.2754e+00 2.0607e+11 1.6920e+02 0.25000
7.4429e-03 2.1191e+00 1.6645e+11 1.8168e+02 0.25000
7.9396e-03 1.9717e+00 1.3409e+11 1.9526e+02 0.25000
8.4695e-03 1.8334e+00 1.0780e+11 2.0999e+02 0.25000
9.0347e-03 1.7040e+00 8.6546e+10 2.2594e+02 0.25000
9.6376e-03 1.5832e+00 6.9422e+10 2.4317e+02 0.25000
1.0281e-02 1.4709e+00 5.5666e+10 2.6175e+02 0.25000
1.0967e-02 1.3665e+00 4.4639e+10 2.8174e+02 0.25000
1.1699e-02 1.2698e+00 3.5811e+10 3.0321e+02 0.25000
1.2479e-02 1.1801e+00 2.8748e+10 3.2624e+02 0.25000
1.3312e-02 1.0971e+00 2.3099e+10 3.5092e+02 0.25000
1.4201e-02 1.0203e+00 1.8580e+10 3.7734e+02 0.25000
1.5148e-02 9.4924e-01 1.4962e+10 4.0559e+02 0.25000
1.6159e-02 8.8347e-01 1.2062e+10 4.3578e+02 0.25000
1.7237e-02 8.2260e-01 9.7370e+09 4.6803e+02 0.25000
1.8388e-02 7.6623e-01 7.8694e+09 5.0246e+02 0.25000
1.9615e-02 7.1401e-01 6.3675e+09 5.3921e+02 0.25000
2.0924e-02 6.6560e-01 5.1581e+09 5.7843e+02 0.25000
2.2320e-02 6.2069e-01 4.1830e+09 6.2028e+02 0.25000
2.3810e-02 5.7902e-01 3.3957e+09 6.6492e+02 0.25000
2.5399e-02 5.4031e-01 2.7592e+09 7.1255e+02 0.25000
2.7094e-02 5.0435e-01 2.2441e+09 7.6336e+02 0.25000
2.8902e-02 4.7091e-01 1.8267e+09 8.1757e+02 0.25000
3.0830e-02 4.3980e-01 1.4881e+09 8.7539e+02 0.25000
3.2888e-02 4.1085e-01 1.2132e+09 9.3707e+02 0.25000
3.5082e-02 3.8390e-01 9.8970e+08 1.0029e+03 0.25000
3.7424e-02 3.5879e-01 8.0792e+08 1.0731e+03 0.25000
3.9921e-02 3.3539e-01 6.5992e+08 1.1479e+03 0.25000
4.2585e-02 3.1357e-01 5.3933e+08 1.2278e+03 0.25000
4.5427e-02 2.9322e-01 4.4101e+08 1.3130e+03 0.25000
4.8459e-02 2.7424e-01 3.6078e+08 1.4039e+03 0.25000
5.1692e-02 2.5652e-01 2.9528e+08 1.5008e+03 0.25000
5.5142e-02 2.3999e-01 2.4178e+08 1.6043e+03 0.25000
5.8822e-02 2.2455e-01 1.9805e+08 1.7146e+03 0.25000
6.2747e-02 2.1012e-01 1.6228e+08 1.8323e+03 0.25000
6.6935e-02 1.9665e-01 1.3303e+08 1.9578e+03 0.25000
7.1402e-02 1.8406e-01 1.0908e+08 2.0917e+03 0.25000
7.6166e-02 1.7229e-01 8.9466e+07 2.2346e+03 0.25000
8.1249e-02 1.6129e-01 7.3402e+07 2.3870e+03 0.25000
8.6671e-02 1.5101e-01 6.0238e+07 2.5495e+03 0.25000
9.2455e-02 1.4139e-01 4.9447e+07 2.7229e+03 0.25000
9.8625e-02 1.3240e-01 4.0598e+07 2.9079e+03 0.25000
1.0521e-01 1.2399e-01 3.3340e+07 3.1052e+03 0.25000
1.1223e-01 1.1611e-01 2.7385e+07 3.3157e+03 0.25000
1.1972e-01 1.0875e-01 2.2498e+07 3.5402e+03 0.25000
1.2771e-01 1.0186e-01 1.8487e+07 3.7797e+03 0.25000
1.3623e-01 9.5410e-02 1.5193e+07 4.0352e+03 0.25000
1.4532e-01 8.9373e-02 1.2488e+07 4.3078e+03 0.25000
1.5502e-01 8.3723e-02 1.0266e+07 4.5985e+03 0.25000
1.6536e-01 7.8433e-02 8.4401e+06 4.9087e+03 0.25000
1.7640e-01 7.3480e-02 6.9402e+06 5.2395e+03 0.25000
1.8817e-01 6.8843e-02 5.7074e+06 5.5924e+03 0.25000
2.0073e-01 6.4501e-02 4.6942e+06 5.9689e+03 0.25000
2.1412e-01 6.0435e-02 3.8612e+06 6.3705e+03 0.25000
2.2841e-01 5.6627e-02 3.1764e+06 6.7989e+03 0.25000
2.4365e-01 5.3061e-02 2.6132e+06 7.2558e+03 0.25000
2.5991e-01 4.9720e-02 2.1501e+06 7.7433e+03 0.25000
2.7726e-01 4.6591e-02 1.7692e+06 8.2633e+03 0.25000
2.9576e-01 4.3661e-02 1.4559e+06 8.8180e+03 0.25000
3.1550e-01 4.0915e-02 1.1981e+06 9.4098e+03 0.25000
3.3655e-01 3.8343e-02 9.8608e+05 1.0041e+04 0.25000
3.5901e-01 3.5933e-02 8.1161e+05 1.0714e+04 0.25000
3.8297e-01 3.3676e-02 6.6805e+05 1.1433e+04 0.25000
4.0853e-01 3.1561e-02 5.4991e+05 1.2199e+04 0.25000
4.3579e-01 2.9579e-02 4.5268e+05 1.3016e+04 0.25000
4.6487e-01 2.7722e-02 3.7267e+05 1.3888e+04 0.25000
4.9590e-01 2.5982e-02 3.0681e+05 1.4818e+04 0.25000
5.2899e-01 2.4351e-02 2.5260e+05 1.5810e+04 0.25000
5.6429e-01 2.2824e-02 2.0797e+05 1.6869e+04 0.25000
6.0195e-01 2.1392e-02 1.7124e+05 1.7998e+04 0.25000
6.4212e-01 2.0050e-02 1.4100e+05 1.9202e+04 0.25000
6.8497e-01 1.8793e-02 1.1610e+05 2.0486e+04 0.25000
7.3068e-01 1.7615e-02 9.5604e+04 2.1857e+04 0.25000
7.7944e-01 1.6510e-02 7.8727e+04 2.3319e+04 0.25000
8.3146e-01 1.5475e-02 6.4831e+04 2.4878e+04 0.25000
8.8694e-01 1.4506e-02 5.3389e+04 2.6542e+04 0.25000
9.4613e-01 1.3596e-02 4.3968e+04 2.8316e+04 0.25000
1.0093e+00 1.2745e-02 3.6210e+04 3.0209e+04 0.25000
1.0766e+00 1.1946e-02 2.9821e+04 3.2228e+04 0.25000
1.1485e+00 1.1198e-02 2.4560e+04 3.4382e+04 0.25000
1.2251e+00 1.0496e-02 2.0228e+04 3.6680e+04 0.25000
1.3069e+00 9.8387e-03 1.6660e+04 3.9131e+04 0.25000
1.3941e+00 9.2225e-03 1.3722e+04 4.1746e+04 0.25000
1.4871e+00 8.6449e-03 1.1302e+04 4.4535e+04 0.25000
1.5864e+00 8.1035e-03 9.3086e+03 4.7510e+04 0.25000
1.6922e+00 7.5961e-03 7.6671e+03 5.0684e+04 0.25000
1.8051e+00 7.1205e-03 6.3151e+03 5.4069e+04 0.25000
1.9256e+00 6.6746e-03 5.2017e+03 5.7681e+04 0.25000
2.0541e+00 6.2568e-03 4.2845e+03 6.1534e+04 0.25000
2.1912e+00 5.8650e-03 3.5292e+03 6.5643e+04 0.25000
2.3374e+00 5.4979e-03 2.9070e+03 7.0027e+04 0.25000
2.4934e+00 5.1537e-03 2.3945e+03 7.4704e+04 0.25000
2.6598e+00 4.8311e-03 1.9724e+03 7.9692e+04 0.25000
2.8373e+00 4.5287e-03 1.6247e+03 8.5013e+04 0.25000
3.0266e+00 4.2452e-03 1.3383e+03 9.0690e+04 0.25000
3.2286e+00 3.9795e-03 1.1024e+03 9.6745e+04 0.25000
3.4441e+00 3.7304e-03 9.0811e+02 1.0320e+05 0.25000
3.6739e+00 3.4970e-03 7.4805e+02 1.1010e+05 0.25000
