# time[s], T9[GK], density[g/cm^3], R[km], Ye

1.0000e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.0667e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.1379e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.2139e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.2949e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.3813e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.4735e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.5718e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.6767e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.7886e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
1.9079e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
2.0352e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
2.1711e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
2.3160e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
2.4705e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
2.6354e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
2.8112e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
2.9988e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
3.1990e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
3.4124e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
3.6402e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
3.8831e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
4.1422e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
4.4187e-06 9.0000e+00 1.5000e+13 4.0000e+01 0.15000
4.7135e-06 8.9999e+00 1.5000e+13 4.0000e+01 0.15000
5.0281e-06 8.9999e+00 1.5000e+13 4.0000e+01 0.15000
5.3636e-06 8.9999e+00 1.5000e+13 4.0000e+01 0.15000
5.7216e-06 8.9999e+00 1.5000e+13 4.0000e+01 0.15000
6.1034e-06 8.9999e+00 1.5000e+13 4.0000e+01 0.15000
6.5107e-06 8.9999e+00 1.4999e+13 4.0000e+01 0.15000
6.9452e-06 8.9999e+00 1.4999e+13 4.0001e+01 0.15000
7.4087e-06 8.9999e+00 1.4999e+13 4.0001e+01 0.15000
7.9031e-06 8.9998e+00 1.4999e+13 4.0001e+01 0.15000
8.4305e-06 8.9998e+00 1.4999e+13 4.0001e+01 0.15000
8.9931e-06 8.9998e+00 1.4999e+13 4.0001e+01 0.15000
9.5932e-06 8.9998e+00 1.4999e+13 4.0001e+01 0.15000
1.0233e-05 8.9997e+00 1.4999e+13 4.0001e+01 0.15000
1.0916e-05 8.9997e+00 1.4998e+13 4.0001e+01 0.15000
1.1645e-05 8.9997e+00 1.4998e+13 4.0002e+01 0.15000
1.2422e-05 8.9996e+00 1.4998e+13 4.0002e+01 0.15000
1.3251e-05 8.9996e+00 1.4998e+13 4.0002e+01 0.15000
1.4135e-05 8.9995e+00 1.4997e+13 4.0002e+01 0.15000
1.5078e-05 8.9994e+00 1.4997e+13 4.0003e+01 0.15000
1.6085e-05 8.9993e+00 1.4997e+13 4.0003e+01 0.15000
1.7158e-05 8.9993e+00 1.4996e+13 4.0003e+01 0.15000
1.8303e-05 8.9992e+00 1.4996e+13 4.0004e+01 0.15000
1.9525e-05 8.9990e+00 1.4995e+13 4.0004e+01 0.15000
2.0828e-05 8.9989e+00 1.4995e+13 4.0005e+01 0.15000
2.2217e-05 8.9988e+00 1.4994e+13 4.0006e+01 0.15000
2.3700e-05 8.9986e+00 1.4993e+13 4.0006e+01 0.15000
2.5282e-05 8.9984e+00 1.4992e+13 4.0007e+01 0.15000
2.6969e-05 8.9982e+00 1.4991e+13 4.0008e+01 0.15000
2.8769e-05 8.9979e+00 1.4990e+13 4.0009e+01 0.15000
3.0688e-05 8.9976e+00 1.4988e+13 4.0011e+01 0.15000
3.2736e-05 8.9973e+00 1.4986e+13 4.0012e+01 0.15000
3.4921e-05 8.9969e+00 1.4985e+13 4.0014e+01 0.15000
3.7251e-05 8.9965e+00 1.4982e+13 4.0016e+01 0.15000
3.9737e-05 8.9960e+00 1.4980e+13 4.0018e+01 0.15000
4.2389e-05 8.9955e+00 1.4977e+13 4.0020e+01 0.15000
4.5218e-05 8.9948e+00 1.4974e+13 4.0023e+01 0.15000
4.8235e-05 8.9941e+00 1.4971e+13 4.0026e+01 0.15000
5.1454e-05 8.9933e+00 1.4967e+13 4.0030e+01 0.15000
5.4888e-05 8.9924e+00 1.4962e+13 4.0034e+01 0.15000
5.8551e-05 8.9913e+00 1.4957e+13 4.0039e+01 0.15000
6.2458e-05 8.9901e+00 1.4951e+13 4.0044e+01 0.15000
6.6627e-05 8.9888e+00 1.4944e+13 4.0050e+01 0.15000
7.1073e-05 8.9872e+00 1.4936e+13 4.0057e+01 0.15000
7.5816e-05 8.9855e+00 1.4928e+13 4.0065e+01 0.15000
8.0875e-05 8.9835e+00 1.4918e+13 4.0074e+01 0.15000
8.6272e-05 8.9812e+00 1.4906e+13 4.0084e+01 0.15000
9.2030e-05 8.9786e+00 1.4893e+13 4.0095e+01 0.15000
9.8171e-05 8.9757e+00 1.4879e+13 4.0108e+01 0.15000
1.0472e-04 8.9724e+00 1.4862e+13 4.0123e+01 0.15000
1.1171e-04 8.9686e+00 1.4843e+13 4.0140e+01 0.15000
1.1917e-04 8.9642e+00 1.4822e+13 4.0160e+01 0.15000
1.2712e-04 8.9593e+00 1.4798e+13 4.0182e+01 0.15000
1.3560e-04 8.9538e+00 1.4770e+13 4.0207e+01 0.15000
1.4465e-04 8.9474e+00 1.4739e+13 4.0235e+01 0.15000
1.5430e-04 8.9402e+00 1.4703e+13 4.0267e+01 0.15000
1.6460e-04 8.9321e+00 1.4663e+13 4.0304e+01 0.15000
1.7559e-04 8.9228e+00 1.4617e+13 4.0346e+01 0.15000
1.8730e-04 8.9123e+00 1.4566e+13 4.0394e+01 0.15000
1.9980e-04 8.9003e+00 1.4507e+13 4.0448e+01 0.15000
2.1314e-04 8.8867e+00 1.4441e+13 4.0510e+01 0.15000
2.2736e-04 8.8714e+00 1.4366e+13 4.0580e+01 0.15000
2.4253e-04 8.8540e+00 1.4282e+13 4.0660e+01 0.15000
2.5872e-04 8.8343e+00 1.4186e+13 4.0750e+01 0.15000
2.7598e-04 8.8120e+00 1.4079e+13 4.0854e+01 0.15000
2.9440e-04 8.7867e+00 1.3959e+13 4.0971e+01 0.15000
3.1405e-04 8.7582e+00 1.3823e+13 4.1104e+01 0.15000
3.3500e-04 8.7260e+00 1.3671e+13 4.1256e+01 0.15000
3.5736e-04 8.6897e+00 1.3502e+13 4.1428e+01 0.15000
3.8121e-04 8.6489e+00 1.3312e+13 4.1624e+01 0.15000
4.0665e-04 8.6029e+00 1.3101e+13 4.1846e+01 0.15000
4.3379e-04 8.5512e+00 1.2866e+13 4.2099e+01 0.15000
4.6273e-04 8.4934e+00 1.2607e+13 4.2386e+01 0.15000
4.9361e-04 8.4286e+00 1.2320e+13 4.2712e+01 0.15000
5.2655e-04 8.3562e+00 1.2006e+13 4.3082e+01 0.15000
5.6169e-04 8.2756e+00 1.1662e+13 4.3501e+01 0.15000
5.9918e-04 8.1861e+00 1.1287e+13 4.3977e+01 0.15000
6.3916e-04 8.0868e+00 1.0882e+13 4.4517e+01 0.15000
6.8182e-04 7.9773e+00 1.0445e+13 4.5128e+01 0.15000
7.2732e-04 7.8567e+00 9.9791e+12 4.5821e+01 0.15000
7.7585e-04 7.7246e+00 9.4841e+12 4.6604e+01 0.15000
8.2763e-04 7.5805e+00 8.9629e+12 4.7491e+01 0.15000
8.8286e-04 7.4239e+00 8.4189e+12 4.8492e+01 0.15000
9.4178e-04 7.2546e+00 7.8562e+12 4.9623e+01 0.15000
1.0046e-03 7.0728e+00 7.2800e+12 5.0899e+01 0.15000
1.0717e-03 6.8785e+00 6.6963e+12 5.2337e+01 0.15000
1.1432e-03 6.6721e+00 6.1116e+12 5.3956e+01 0.15000
1.2195e-03 6.4545e+00 5.5328e+12 5.5775e+01 0.15000
1.3009e-03 6.2265e+00 4.9670e+12 5.7818e+01 0.15000
1.3877e-03 5.9894e+00 4.4209e+12 6.0107e+01 0.15000
1.4803e-03 5.7446e+00 3.9007e+12 6.2668e+01 0.15000
1.5791e-03 5.4939e+00 3.4119e+12 6.5528e+01 0.15000
1.6844e-03 5.2390e+00 2.9587e+12 6.8716e+01 0.15000
1.7968e-03 4.9819e+00 2.5442e+12 7.2261e+01 0.15000
1.9167e-03 4.7246e+00 2.1700e+12 7.6196e+01 0.15000
2.0447e-03 4.4691e+00 1.8366e+12 8.0553e+01 0.15000
2.1811e-03 4.2172e+00 1.5432e+12 8.5365e+01 0.15000
2.3267e-03 3.9706e+00 1.2881e+12 9.0666e+01 0.15000
2.4819e-03 3.7309e+00 1.0686e+12 9.6490e+01 0.15000
2.6476e-03 3.4994e+00 8.8178e+11 1.0287e+02 0.15000
2.8242e-03 3.2772e+00 7.2421e+11 1.0985e+02 0.15000
3.0127e-03 3.0650e+00 5.9244e+11 1.1746e+02 0.15000
3.2138e-03 2.8634e+00 4.8305e+11 1.2573e+02 0.15000
3.4282e-03 2.6727e+00 3.9282e+11 1.3470e+02 0.15000
3.6570e-03 2.4930e+00 3.1880e+11 1.4441e+02 0.15000
3.9011e-03 2.3242e+00 2.5835e+11 1.5489e+02 0.15000
4.1614e-03 2.1662e+00 2.0916e+11 1.6619e+02 0.15000
4.4391e-03 2.0186e+00 1.6925e+11 1.7834e+02 0.15000
4.7353e-03 1.8810e+00 1.3693e+11 1.9139e+02 0.15000
5.0513e-03 1.7528e+00 1.1080e+11 2.0539e+02 0.15000
5.3884e-03 1.6335e+00 8.9684e+10 2.2039e+02 0.15000
5.7480e-03 1.5226e+00 7.2635e+10 2.3643e+02 0.15000
6.1316e-03 1.4196e+00 5.8866e+10 2.5359e+02 0.15000
6.5408e-03 1.3239e+00 4.7743e+10 2.7193e+02 0.15000
6.9773e-03 1.2349e+00 3.8753e+10 2.9151e+02 0.15000
7.4429e-03 1.1523e+00 3.1482e+10 3.1242e+02 0.15000
7.9396e-03 1.0755e+00 2.5596e+10 3.3474e+02 0.15000
8.4695e-03 1.0040e+00 2.0827e+10 3.5855e+02 0.15000
9.0347e-03 9.3760e-01 1.6960e+10 3.8396e+02 0.15000
9.6376e-03 8.7577e-01 1.3821e+10 4.1107e+02 0.15000
1.0281e-02 8.1821e-01 1.1271e+10 4.3999e+02 0.15000
1.0967e-02 7.6460e-01 9.1973e+09 4.7084e+02 0.15000
1.1699e-02 7.1464e-01 7.5098e+09 5.0375e+02 0.15000
1.2479e-02 6.6808e-01 6.1356e+09 5.3886e+02 0.15000
1.3312e-02 6.2467e-01 5.0155e+09 5.7631e+02 0.15000
1.4201e-02 5.8417e-01 4.1019e+09 6.1626e+02 0.15000
1.5148e-02 5.4639e-01 3.3563e+09 6.5887e+02 0.15000
1.6159e-02 5.1112e-01 2.7475e+09 7.0433e+02 0.15000
1.7237e-02 4.7820e-01 2.2500e+09 7.5283e+02 0.15000
1.8388e-02 4.4745e-01 1.8433e+09 8.0456e+02 0.15000
1.9615e-02 4.1873e-01 1.5107e+09 8.5974e+02 0.15000
2.0924e-02 3.9190e-01 1.2385e+09 9.1860e+02 0.15000
2.2320e-02 3.6682e-01 1.0156e+09 9.8140e+02 0.15000
2.3810e-02 3.4339e-01 8.3314e+08 1.0484e+03 0.15000
2.5399e-02 3.2148e-01 6.8361e+08 1.1198e+03 0.15000
2.7094e-02 3.0099e-01 5.6107e+08 1.1961e+03 0.15000
2.8902e-02 2.8183e-01 4.6060e+08 1.2774e+03 0.15000
3.0830e-02 2.6391e-01 3.7821e+08 1.3641e+03 0.15000
3.2888e-02 2.4715e-01 3.1062e+08 1.4566e+03 0.15000
3.5082e-02 2.3146e-01 2.5516e+08 1.5553e+03 0.15000
3.7424e-02 2.1679e-01 2.0964e+08 1.6606e+03 0.15000
3.9921e-02 2.0306e-01 1.7227e+08 1.7729e+03 0.15000
4.2585e-02 1.9020e-01 1.4158e+08 1.8927e+03 0.15000
4.5427e-02 1.7817e-01 1.1638e+08 2.0205e+03 0.15000
4.8459e-02 1.6691e-01 9.5679e+07 2.1568e+03 0.15000
5.1692e-02 1.5637e-01 7.8669e+07 2.3023e+03 0.15000
5.5142e-02 1.4650e-01 6.4691e+07 2.4574e+03 0.15000
5.8822e-02 1.3725e-01 5.3203e+07 2.6229e+03 0.15000
6.2747e-02 1.2860e-01 4.3760e+07 2.7994e+03 0.15000
6.6935e-02 1.2049e-01 3.5996e+07 2.9877e+03 0.15000
7.1402e-02 1.1290e-01 2.9613e+07 3.1886e+03 0.15000
7.6166e-02 1.0579e-01 2.4363e+07 3.4029e+03 0.15000
8.1249e-02 9.9134e-02 2.0046e+07 3.6314e+03 0.15000
8.6671e-02 9.2897e-02 1.6495e+07 3.8753e+03 0.15000
9.2455e-02 8.7054e-02 1.3575e+07 4.1354e+03 0.15000
9.8625e-02 8.1580e-02 1.1172e+07 4.4128e+03 0.15000
1.0521e-01 7.6452e-02 9.1947e+06 4.7088e+03 0.15000
1.1223e-01 7.1648e-02 7.5680e+06 5.0245e+03 0.15000
1.1972e-01 6.7147e-02 6.2295e+06 5.3613e+03 0.15000
1.2771e-01 6.2930e-02 5.1279e+06 5.7206e+03 0.15000
1.3623e-01 5.8979e-02 4.2214e+06 6.1039e+03 0.15000
1.4532e-01 5.5277e-02 3.4753e+06 6.5127e+03 0.15000
1.5502e-01 5.1808e-02 2.8612e+06 6.9488e+03 0.15000
1.6536e-01 4.8557e-02 2.3557e+06 7.4140e+03 0.15000
1.7640e-01 4.5510e-02 1.9395e+06 7.9103e+03 0.15000
1.8817e-01 4.2656e-02 1.5970e+06 8.4396e+03 0.15000
2.0073e-01 3.9981e-02 1.3150e+06 9.0043e+03 0.15000
2.1412e-01 3.7474e-02 1.0828e+06 9.6067e+03 0.15000
2.2841e-01 3.5124e-02 8.9164e+05 1.0249e+04 0.15000
2.4365e-01 3.2922e-02 7.3425e+05 1.0935e+04 0.15000
2.5991e-01 3.0859e-02 6.0465e+05 1.1666e+04 0.15000
2.7726e-01 2.8925e-02 4.9795e+05 1.2446e+04 0.15000
2.9576e-01 2.7112e-02 4.1008e+05 1.3278e+04 0.15000
3.1550e-01 2.5414e-02 3.3772e+05 1.4166e+04 0.15000
3.3655e-01 2.3821e-02 2.7814e+05 1.5112e+04 0.15000
3.5901e-01 2.2329e-02 2.2907e+05 1.6122e+04 0.15000
3.8297e-01 2.0930e-02 1.8867e+05 1.7200e+04 0.15000
4.0853e-01 1.9619e-02 1.5539e+05 1.8349e+04 0.15000
4.3579e-01 1.8391e-02 1.2798e+05 1.9575e+04 0.15000
4.6487e-01 1.7239e-02 1.0541e+05 2.0883e+04 0.15000
4.9590e-01 1.6159e-02 8.6823e+04 2.2278e+04 0.15000
5.2899e-01 1.5147e-02 7.1513e+04 2.3766e+04 0.15000
5.6429e-01 1.4199e-02 5.8904e+04 2.5354e+04 0.15000
6.0195e-01 1.3310e-02 4.8518e+04 2.7047e+04 0.15000
6.4212e-01 1.2477e-02 3.9964e+04 2.8854e+04 0.15000
6.8497e-01 1.1696e-02 3.2918e+04 3.0781e+04 0.15000
7.3068e-01 1.0963e-02 2.7115e+04 3.2836e+04 0.15000
7.7944e-01 1.0277e-02 2.2335e+04 3.5029e+04 0.15000
8.3146e-01 9.6338e-03 1.8398e+04 3.7368e+04 0.15000
8.8694e-01 9.0308e-03 1.5155e+04 3.9863e+04 0.15000
