# time[s], T9[GK], density[g/cm^3], R[km], Ye

1.0000e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.0667e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.1379e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.2139e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.2949e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.3813e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.4735e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.5718e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.6767e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.7886e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.9079e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.0352e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.1711e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.3160e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.4705e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.6354e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.8112e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.9988e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
3.1990e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
3.4124e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
3.6402e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
3.8831e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
4.1422e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
4.4187e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
4.7135e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
5.0281e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
5.3636e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
5.7216e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
6.1034e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
6.5107e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
6.9452e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
7.4087e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
7.9031e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
8.4305e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
8.9931e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
9.5932e-06 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.0233e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.0916e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.1645e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.2422e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.3251e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.4135e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.5078e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.6085e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.7158e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.8303e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
1.9525e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.0828e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.2217e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.3700e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.5282e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
2.6969e-05 5.0000e+00 1.5000e+12 8.0000e+01 0.35000
