Epsilon_alpha,Time [Days]
6.3918506044932314e-21,1.1582075067462385e-05
6.886180964818794e-21,1.1602457069257261e-05
7.425121737263752e-21,1.1622874939063245e-05
8.012860487053791e-21,1.1643328740000449e-05
8.656188017244279e-21,1.166381853530006e-05
9.368487644028633e-21,1.1684344388304543e-05
1.014807724902959e-20,1.1704906362467828e-05
1.1003262505640549e-20,1.1725504521355514e-05
1.1956249049562576e-20,1.1746138928645058e-05
1.3001014945948612e-20,1.1766809648125983e-05
1.4165580344779223e-20,1.1787516743700058e-05
1.5451351370520102e-20,1.1808260279381518e-05
1.688949333497913e-20,1.1829040319297239e-05
1.848086405955768e-20,1.1849856927686948e-05
2.0274797112994315e-20,1.1870710168903427e-05
2.22776476821699e-20,1.1891600107412698e-05
2.452218193594766e-20,1.1912526807794235e-05
2.705116843602925e-20,1.1933490334741154e-05
2.9917987459147374e-20,1.195449075306042e-05
3.316447376829706e-20,1.1975528127673041e-05
3.6853896726859364e-20,1.1996602523614279e-05
4.1068413754231704e-20,1.2017714006033838e-05
4.590988469560185e-20,1.203886264019607e-05
5.147322174806247e-20,1.206004849148019e-05
5.788979479587007e-20,1.2081271625380452e-05
6.53765360594059e-20,1.2102532107506378e-05
7.40945578749361e-20,1.2123830003582939e-05
8.436684398417012e-20,1.2145165379450777e-05
9.646048589362284e-20,1.2166538301066392e-05
1.1089578739895836e-19,1.2187948834502359e-05
1.2818296307223327e-19,1.2209397045947523e-05
1.490325809206308e-19,1.2230883001707209e-05
1.744255410478077e-19,1.2252406768203427e-05
2.0566656689882728e-19,1.2273968411975074e-05
2.4447617344881124e-19,1.229556799967814e-05
2.9308035648018394e-19,1.2317205598085917e-05
3.549902867341854e-19,1.2338881274089202e-05
4.345650366973899e-19,1.2360595094696511e-05
5.384655992892753e-19,1.2382347127034275e-05
6.760425558909697e-19,1.2404137438347057e-05
8.621308236783899e-19,1.2425966095997752e-05
1.1178036813838568e-18,1.2447833167467804e-05
1.4764662371302202e-18,1.2469738720357409e-05
1.9933832475072494e-18,1.2491682822385722e-05
2.7577169478653427e-18,1.2513665541391072e-05
3.9212716406056334e-18,1.253568694533117e-05
5.760654969652436e-18,1.2557747102283315e-05
8.789266085745786e-18,1.2579846080444613e-05
1.4025876066924655e-17,1.2601983948132175e-05
2.3666653595620518e-17,1.2624160773783341e-05
4.2822004556523163e-17,1.2646376625955889e-05
8.470719812754041e-17,1.2668631573328232e-05
1.8871709516715612e-16,1.2690925684699658e-05
4.925492197100011e-16,1.2713259028990516e-05
1.596754830722824e-15,1.2735631675242447e-05
6.825551750240919e-15,1.2758043692618582e-05
3.905467492326183e-14,1.2780495150403777e-05
2.52874397203528e-13,1.2802986118004803e-05
1.265474833307014e-12,1.2825516664950577e-05
4.193423553576357e-12,1.2848086860892376e-05
1.0460523536540264e-11,1.2870696775604044e-05
2.1901074133449668e-11,1.2893346478982209e-05
4.078965907291132e-11,1.2916036041046513e-05
6.978443192248935e-11,1.2938765531939804e-05
1.1200424122804255e-10,1.2961535021928377e-05
1.7088260548172197e-10,1.2984344581402177e-05
2.5027665183263566e-10,1.3007194280875022e-05
3.5423863367001034e-10,1.3030084190984819e-05
4.870871541463344e-10,1.3053014382493775e-05
6.534930560407644e-10,1.307598492628864e-05
8.580011195840214e-10,1.3098995893380895e-05
1.105523818094797e-09,1.3122047354906992e-05
1.4009004724722729e-09,1.3145139382128569e-05
1.749446585228624e-09,1.3168272046432665e-05
2.155993765505461e-09,1.319144541933195e-05
2.626346453435371e-09,1.321465957246494e-05
3.1656843815348603e-09,1.3237914577596218e-05
3.7793386219434505e-09,1.3261210506616655e-05
4.4717031814558e-09,1.3284547431543642e-05
5.249036118963736e-09,1.3307925424521302e-05
6.11672709030558e-09,1.3331344557820713e-05
7.079666102976423e-09,1.3354804903840137e-05
8.143029891162879e-09,1.3378306535105248e-05
9.313072514886596e-09,1.3401849524269335e-05
1.0594450095646686e-08,1.3425433944113557e-05
1.1993004484827921e-08,1.3449059867547146e-05
1.3513032962549021e-08,1.3472727367607635e-05
1.5160317305540934e-08,1.3496436517461091e-05
1.6939864122205693e-08,1.3520187390402345e-05
1.885599465254059e-08,1.3543980059855197e-05
2.0915668578138454e-08,1.3567814599372669e-05
2.3121754197308488e-08,1.3591691082637213e-05
2.5479272078065015e-08,1.3615609583460955e-05
2.799451823552634e-08,1.3639570175785907e-05
3.06729332793996e-08,1.3663572933684205e-05
3.351875333525377e-08,1.368761793135834e-05
3.6539592330822565e-08,1.3711705243141378e-05
3.9737499542985704e-08,1.3735834943497204e-05
4.311678444004615e-08,1.3760007107020732e-05
4.6682300266772686e-08,1.378422180843816e-05
5.0441854218840996e-08,1.3808479122607176e-05
5.4398677281149084e-08,1.3832779124517211e-05
5.8557085009700046e-08,1.3857121889289656e-05
6.29228179221863e-08,1.3881507492178104e-05
6.750025425617512e-08,1.3905936008568577e-05
7.229744420115295e-08,1.3930407513979757e-05
7.731531658916524e-08,1.3954922084063225e-05
8.255900329363447e-08,1.3979479794603695e-05
8.803433746662407e-08,1.4004080721519247e-05
9.374920743317355e-08,1.4028724940861554e-05
9.98834394025547e-08,1.4053412528816131e-05
1.061635562688455e-07,1.4078143561702556e-05
1.1271679902498569e-07,1.4102918115974724e-05
1.1965186921370559e-07,1.4127736268221062e-05
1.2687247584214988e-07,1.4152598095164782e-05
1.3439560870194768e-07,1.4177503673664115e-05
1.422699943660551e-07,1.4202453080712538e-05
1.5054941226879184e-07,1.4227446393439024e-05
1.5925951056919672e-07,1.4252483689108282e-05
1.6840883285365358e-07,1.4277565045120982e-05
1.78046521761771e-07,1.4302690539014012e-05
1.882644734359732e-07,1.43278602484607e-05
1.990964658318849e-07,1.4353074251271067e-05
2.1061423775407274e-07,1.4378332625392062e-05
2.2295211502708824e-07,1.4403635448907804e-05
2.424752248584258e-07,1.4428982800039825e-05
2.607590437656423e-07,1.445437475714731e-05
2.7909309502257724e-07,1.4479811398727338e-05
2.990639818247625e-07,1.4505292803415124e-05
3.212213907247136e-07,1.4530819049984272e-05
3.459799664399827e-07,1.4556390217347005e-05
3.7380827687730636e-07,1.4582006384554415e-05
4.0520701551388926e-07,1.4607667630796712e-05
4.407819683521605e-07,1.4633374035403455e-05
4.812383629837073e-07,1.4659125677843815e-05
5.273961951826965e-07,1.4684922637726807e-05
5.802070789322272e-07,1.4710764994801544e-05
6.410118238969678e-07,1.473665282895748e-05
7.111680926507025e-07,1.4762586220224655e-05
7.917399522343695e-07,1.4788565248773948e-05
8.843179662069599e-07,1.4814589994917318e-05
9.911754228499522e-07,1.484066053910806e-05
1.1150749203809001e-06,1.486677696194105e-05
1.2577861414183115e-06,1.4892939344152987e-05
1.4221957439626382e-06,1.4919147766622662e-05
1.6119104832234545e-06,1.4945402310371181e-05
