time_days,Ba140 top 15
1.1583612729184723e-05,4.5499301261078075e-90
1.1603997282876524e-05,4.5499301261078075e-90
1.1624417708799113e-05,4.5499301261078075e-90
1.1644874070079554e-05,4.5499301261078075e-90
1.1665366429955998e-05,4.5499301261078075e-90
1.1685894851777873e-05,4.5499301261078075e-90
1.17064593990061e-05,4.5499301261078075e-90
1.1727060135213267e-05,4.5499301261078075e-90
1.174769712408384e-05,4.5499301261078075e-90
1.1768370429414356e-05,4.5499301261078075e-90
1.178908011511362e-05,4.5499301261078075e-90
1.1809826245202895e-05,4.5499301261078075e-90
1.1830608883816117e-05,4.5499301261078075e-90
1.185142809520008e-05,4.5499301261078075e-90
1.187228394371463e-05,4.5499301261078075e-90
1.1893176493832886e-05,4.5499301261078075e-90
1.1914105810141414e-05,4.5499301261078075e-90
1.193507195734044e-05,4.5499301261078075e-90
1.1956075000244054e-05,4.5499301261078075e-90
1.1977115003780396e-05,4.5499301261078075e-90
1.199819203299187e-05,4.5499301261078075e-90
1.2019306153035337e-05,4.5499301261078075e-90
1.2040457429182324e-05,4.5499301261078075e-90
1.2061645926819215e-05,4.5499301261078075e-90
1.2082871711447465e-05,4.5499301261078075e-90
1.2104134848683794e-05,4.5499301261078075e-90
1.212543540426039e-05,4.5499301261078075e-90
1.2146773444025123e-05,4.5499301261078075e-90
1.2168149033941732e-05,4.5499301261078075e-90
1.2189562240090043e-05,4.5499301261078075e-90
1.221101312866616e-05,4.5499301261078075e-90
1.2232501765982687e-05,4.5499301261078075e-90
1.2254028218468921e-05,4.5499301261078075e-90
1.2275592552671052e-05,4.5499301261078075e-90
1.2297194835252386e-05,4.5499301261078075e-90
1.2318835132993536e-05,4.5499301261078075e-90
1.2340513512792635e-05,4.5499301261078075e-90
1.2362230041665543e-05,4.5499301261078075e-90
1.2383984786746046e-05,4.5499301261078075e-90
1.2405777815286084e-05,4.5499301261078075e-90
1.2427609194655932e-05,4.5499301261078075e-90
1.2449478992344429e-05,4.5499301261078075e-90
1.2471387275959179e-05,4.5499301261078075e-90
1.2493334113226754e-05,4.5499301261078075e-90
1.2515319571992915e-05,4.5499301261078075e-90
1.2537343720222815e-05,4.5499301261078075e-90
1.255940662600121e-05,4.5499301261078075e-90
1.2581508357532673e-05,4.5499301261078075e-90
1.2603648983141796e-05,4.5499301261078075e-90
1.2625828571273411e-05,4.5499301261078075e-90
1.2648047190492797e-05,4.5499301261078075e-90
1.2670304909485892e-05,4.5499301261078075e-90
1.2692601797059505e-05,4.5499301261078075e-90
1.2714937922141526e-05,4.5499301261078075e-90
1.2737313353781155e-05,4.5499301261078075e-90
1.2759728161149091e-05,4.5499301261078075e-90
1.278218241353776e-05,4.5499301261078075e-90
1.280467618036153e-05,4.5499301261078075e-90
1.2827209531156924e-05,4.5499301261078075e-90
1.2849782535582828e-05,4.5499301261078075e-90
1.2872395263420715e-05,4.5499301261078075e-90
1.289504778457486e-05,4.5499301261078075e-90
1.2917740169072548e-05,4.5499301261078075e-90
1.2940472487064305e-05,4.5499301261078075e-90
1.2963244808824098e-05,4.5499301261078075e-90
1.2986057204749563e-05,4.5499301261078075e-90
1.300890974536222e-05,4.5499301261078075e-90
1.3031802501307695e-05,4.5499301261078075e-90
1.3054735543355928e-05,4.5499301261078075e-90
1.3077708942401404e-05,4.5499301261078075e-90
1.3100722769463359e-05,4.5499301261078075e-90
1.3123777095686012e-05,4.5499301261078075e-90
1.3146871992338781e-05,4.5499301261078075e-90
1.31700075308165e-05,4.5499301261078075e-90
1.3193183782639642e-05,4.5499301261078075e-90
1.321640081945454e-05,4.5499301261078075e-90
1.323965871303361e-05,4.5499301261078075e-90
1.3262957535275567e-05,4.5499301261078075e-90
1.3286297358205655e-05,4.5499301261078075e-90
1.3309678253975865e-05,4.5499301261078075e-90
1.3333100294865165e-05,8.06917215312171e-14
1.3356563553279704e-05,3.0249263352545235e-13
1.3380068101753067e-05,7.129688489780731e-13
1.3403614012946468e-05,1.5600719126493571e-12
1.3427201359648992e-05,3.21756056723654e-12
1.3450830214777823e-05,6.2791158265536035e-12
1.3474500651378453e-05,1.172943111073184e-11
1.3498212742624927e-05,2.110736444547048e-11
1.3521966561820048e-05,3.647440165466006e-11
1.3545762182395629e-05,6.104825789023359e-11
1.3569599677912696e-05,9.915713510407295e-11
1.3593479122061734e-05,1.5717068582960625e-10
1.3617400588662902e-05,2.4332049553906903e-10
1.364136415166626e-05,3.6815498221538243e-10
1.3665369885152018e-05,5.467185019257489e-10
1.3689417863330738e-05,7.968434447754965e-10
1.3713508160543584e-05,1.142859194131395e-09
1.3737640851262537e-05,1.6141749057861856e-09
1.3761816010090635e-05,2.246822828634415e-09
1.3786033711762202e-05,3.087024747938368e-09
1.3810294031143078e-05,4.191731973718167e-09
1.3834597043230844e-05,5.6271742462726164e-09
1.3858942823155068e-05,7.474726503991849e-09
1.388333144617752e-05,9.832130716282763e-09
1.3907762987692426e-05,1.2810009144401659e-08
1.393223752322668e-05,1.654609272290287e-08
1.3956755128440083e-05,2.1202467096738697e-08
1.3981315879125591e-05,2.6946840424379506e-08
1.4005919851209534e-05,3.401588593864739e-08
1.403056712075185e-05,4.264054904186052e-08
1.4055257763946333e-05,5.310138772634964e-08
1.4079991857120857e-05,6.574618840021198e-08
1.4104769476737618e-05,8.094708393387382e-08
1.4129590699393362e-05,9.909622556799169e-08
1.4154455601819638e-05,1.2071393029731004e-07
1.4179364260883017e-05,1.4632778645572938e-07
1.4204316753585346e-05,1.765727430873526e-07
1.4229313157063968e-05,2.1209813484345612e-07
1.4254353548591974e-05,2.536784706846307e-07
1.4279438005578445e-05,3.021883212901104e-07
1.4304566605568676e-05,3.5855169233976364e-07
1.4329739426244432e-05,4.241312396622842e-07
1.435495654542417e-05,4.997449192703666e-07
1.43802180410633e-05,5.866118971772183e-07
1.4405523991254409e-05,6.868871359757542e-07
1.4430874474227511e-05,8.013507581951196e-07
1.4456269568350296e-05,9.323650242311384e-07
1.448170935212835e-05,1.0815228015419736e-06
1.4507193904205418e-05,1.251314908070919e-06
1.453272330336364e-05,1.4435955401400103e-06
1.4558297628523798e-05,1.6616725351079462e-06
1.4583916958745548e-05,1.9071201110656969e-06
1.460958137322768e-05,2.18496119459271e-06
1.4635290951308356e-05,2.4966905066493048e-06
1.4661045772465353e-05,2.8470235869029014e-06
1.468684591631631e-05,3.2405460799220806e-06
1.471269146261898e-05,3.680617975504334e-06
1.4738582491271468e-05,4.1717028853647235e-06
1.4764519082312483e-05,4.718801851948502e-06
1.479050131592158e-05,5.327321820887004e-06
1.4816529272419422e-05,6.0035930326388785e-06
1.4842603032268005e-05,6.755060030021152e-06
1.486872267607093e-05,7.587779171701728e-06
1.4894888284573638e-05,8.50896943842074e-06
1.492109993866367e-05,9.526633973659863e-06
1.49473577193709e-05,1.0649208010642374e-05
1.4973661707867803e-05,1.1886099781986299e-05
1.5000011985469699e-05,1.3247071050223764e-05
1.5026408633635006e-05,1.4742439241145394e-05
1.5052851733965486e-05,1.6383625849573394e-05
1.5079341368206507e-05,1.8185015825839418e-05
1.5105877618247282e-05,2.0161396773975985e-05
1.5132460566121147e-05,2.2327182397736683e-05
1.515909029400578e-05,2.468637497603065e-05
1.5185766884223479e-05,2.7261607651210327e-05
1.5212490419241418e-05,3.007787127678728e-05
1.5239260981671887e-05,3.3136574746722555e-05
1.5266078654272558e-05,3.645742691158543e-05
1.5292943519946738e-05,4.008480846030494e-05
1.5319855661743622e-05,4.401323591385792e-05
1.534681516285856e-05,4.8263473121524226e-05
1.5373822106633295e-05,5.288752845112376e-05
1.5400876576556246e-05,5.789109054469644e-05
1.5427978656262745e-05,6.329172915139138e-05
1.545512842953531e-05,6.912995865698948e-05
1.5482325980303886e-05,7.545686148718083e-05
1.5509571392646126e-05,8.226764418540072e-05
1.5536864750787638e-05,8.960312246921801e-05
1.5564206139102243e-05,9.75330763100772e-05
1.5591595642112253e-05,0.00010604301273855854
1.5619033344488707e-05,0.00011518955978829769
1.5646519331051652e-05,0.00012506376859989206
1.56740536867704e-05,0.00013562073360798483
1.570163649676379e-05,0.0001469848789962853
1.5729267846300452e-05,0.00015916269959931665
1.5756947820799063e-05,0.00017220059005784147
1.5784676505828624e-05,0.00018619163390315652
1.5812453987108717e-05,0.0002011112936691931
1.5840280350509765e-05,0.00021712438485519425
1.586815568205332e-05,0.00023414633539177923
1.5896080067912293e-05,0.0002524258793067036
1.592405359441125e-05,0.0002718238182115011
1.5952076348026668e-05,0.0002926036551327163
1.5980148415387205e-05,0.0003146841451644346
1.6008269883273962e-05,0.0003383154110535057
1.603644083862076e-05,0.00036333238656715655
1.6064661368514388e-05,0.00039007507115811134
1.6092931560194917e-05,0.0004184105138818979
1.612125150105592e-05,0.0004485479303961174
1.6149621278644766e-05,0.0004806590012308151
1.617804098066289e-05,0.0005146135351984883
1.620651069496606e-05,0.0005505779742556809
1.6235030509564655e-05,0.0005888731211063252
1.6263600512623928e-05,0.0006292976884992804
1.6292220792464284e-05,0.0006720220120469419
1.632089143756155e-05,0.0007174535016175385
1.6349612536547257e-05,0.0007654954829040188
1.6378384178208903e-05,0.0008162163450412554
1.640720645149023e-05,0.0008697351557461516
1.6436079445491506e-05,0.0009264543344532312
1.646500324946979e-05,0.0009863380534686037
1.6493977952839223e-05,0.0010494329046532942
1.652300364517128e-05,0.0011158755940239517
