Epsilon_beta,Time [Days]
1.3026904243316608e+16,1.1582075069193287e-05
1.3120179751819028e+16,1.1602457070991036e-05
1.321651059486362e+16,1.1622874940799898e-05
1.3315986234987316e+16,1.1643328741739983e-05
1.3418818703182414e+16,1.166381853704248e-05
1.3525526426838408e+16,1.1684344390049854e-05
1.3635764704311122e+16,1.1704906364216036e-05
1.3749728135430584e+16,1.1725504523106622e-05
1.3868123267077094e+16,1.1746138930399075e-05
1.399038906404327e+16,1.1766809649882908e-05
1.4117304871654204e+16,1.1787516745459903e-05
1.424858911743332e+16,1.180826028114428e-05
1.4384908711683836e+16,1.1829040321062927e-05
1.4525925511160204e+16,1.1849856929455566e-05
1.4672615903042382e+16,1.1870710170674981e-05
1.4824671197372488e+16,1.1891600109187192e-05
1.4982447878948736e+16,1.1912526809571673e-05
1.514639735596723e+16,1.1933490336521541e-05
1.5317028270009188e+16,1.1954490754843761e-05
1.5494518388395428e+16,1.1975528129459342e-05
1.5679325010282318e+16,1.1996602525403544e-05
1.5872042235410156e+16,1.2017714007826071e-05
1.60733519939793e+16,1.203886264199128e-05
1.628367852947732e+16,1.2060048493278378e-05
1.6503727909744812e+16,1.2081271627181624e-05
1.6734844818941966e+16,1.210253210931054e-05
1.6977587291277136e+16,1.2123830005390094e-05
1.7233570258623756e+16,1.2145165381260928e-05
1.750359296477418e+16,1.2166538302879548e-05
1.7789944028137644e+16,1.2187948836318523e-05
1.8094181636439412e+16,1.22093970477667e-05
1.8418490073763764e+16,1.2230883003529405e-05
1.8765656261821356e+16,1.225240677002865e-05
1.9138877920351556e+16,1.2273968413803324e-05
1.95417615175599e+16,1.2295568001509422e-05
1.997820209854365e+16,1.2317205599920236e-05
2.045398753141767e+16,1.2338881275926567e-05
2.0974330346971804e+16,1.2360595096536924e-05
2.154634556183172e+16,1.2382347128877744e-05
2.2177661255890496e+16,1.2404137440193583e-05
2.287835007364958e+16,1.2425966097847342e-05
2.3658176498832436e+16,1.2447833169320463e-05
2.4529139751609564e+16,1.246973872221314e-05
2.55069352889869e+16,1.2491682824244532e-05
2.660580878451193e+16,1.2513665543252967e-05
2.7840699562629336e+16,1.2535686947196153e-05
2.9230295607216764e+16,1.2557747104151393e-05
3.079362394884059e+16,1.257984608231579e-05
3.254493634685074e+16,1.2601983950006457e-05
3.4499708851123204e+16,1.2624160775660734e-05
3.666771931162639e+16,1.2646376627836395e-05
3.905138925978846e+16,1.2668631575211859e-05
4.1644421021803096e+16,1.269092568658641e-05
4.443167969413695e+16,1.2713259030880399e-05
4.7394353941864616e+16,1.2735631677135464e-05
5.054208750697474e+16,1.2758043694514741e-05
5.3969248198792456e+16,1.278049515230308e-05
5.782416261135183e+16,1.2802986119907257e-05
6.2053599862161144e+16,1.2825516666856188e-05
6.639641210467285e+16,1.284808686280115e-05
7.0679082171196376e+16,1.2870696777515984e-05
7.482628352231611e+16,1.2893346480897321e-05
7.880010242563662e+16,1.29160360429648e-05
8.257896279800093e+16,1.2938765533861275e-05
8.614924887221982e+16,1.2961535023853036e-05
8.95048685721889e+16,1.2984344583330031e-05
9.26430906207369e+16,1.3007194282806073e-05
9.556578659508107e+16,1.303008419291907e-05
9.827808831169029e+16,1.3053014384431238e-05
1.0078474302538446e+17,1.3075984928229317e-05
1.0309454282306555e+17,1.309899589532479e-05
1.052149826567131e+17,1.3122047356854113e-05
1.071550369015564e+17,1.314513938407892e-05
1.089223386367172e+17,1.3168272048386251e-05
1.1052618698728509e+17,1.3191445421288777e-05
1.1197320443292829e+17,1.3214659574425014e-05
1.132714386252111e+17,1.3237914579559542e-05
1.1442879173350747e+17,1.3261210508583235e-05
1.1545456386090478e+17,1.3284547433513487e-05
1.1635449403393955e+17,1.3307925426494413e-05
1.1713560612228869e+17,1.3331344559797098e-05
1.1780513052651918e+17,1.33548049058198e-05
1.1836969363094043e+17,1.3378306537088193e-05
1.1883459867075891e+17,1.3401849526255571e-05
1.1920640501599794e+17,1.3425433946103087e-05
1.1949044133623227e+17,1.3449059869539976e-05
1.196928859461903e+17,1.347272736960377e-05
1.1981858951427707e+17,1.349643651946054e-05
1.1987263151328848e+17,1.3520187392405107e-05
1.198601733981304e+17,1.3543980061861282e-05
1.1978493663988778e+17,1.3567814601382082e-05
1.1965219187292237e+17,1.3591691084649958e-05
1.1946591306446211e+17,1.361560958547704e-05
1.1922949787256669e+17,1.3639570177805335e-05
1.1894653112111027e+17,1.3663572935706983e-05
1.1862068716561797e+17,1.368761793338447e-05
1.1825461849324816e+17,1.3711705245170871e-05
1.1785212370572309e+17,1.3735834945530063e-05
1.1741617764365301e+17,1.3760007109056964e-05
1.1694947655849262e+17,1.3784221810477768e-05
1.1645415565515205e+17,1.3808479124650167e-05
1.1593289896142882e+17,1.383277912656359e-05
1.1538803447274168e+17,1.3857121891339432e-05
1.1482158258510094e+17,1.388150749423128e-05
1.142355542187099e+17,1.3905936010625154e-05
1.1363158178768032e+17,1.3930407516039748e-05
1.1301172235281989e+17,1.3954922086126631e-05
1.1237754900552058e+17,1.3979479796670525e-05
1.1173049761786278e+17,1.4004080723589505e-05
1.1107183526320166e+17,1.4028724942935245e-05
1.1040287933877781e+17,1.4053412530893261e-05
1.097251417417752e+17,1.4078143563783132e-05
