time_days,Cd124 top 15
1.1582075069193287e-05,1.800876520783842e-83
1.1602457070991036e-05,1.800876520783842e-83
1.1622874940799898e-05,1.800876520783842e-83
1.1643328741739983e-05,1.800876520783842e-83
1.166381853704248e-05,1.800876520783842e-83
1.1684344390049854e-05,1.800876520783842e-83
1.1704906364216036e-05,1.800876520783842e-83
1.1725504523106622e-05,1.800876520783842e-83
1.1746138930399075e-05,1.800876520783842e-83
1.1766809649882908e-05,1.800876520783842e-83
1.1787516745459903e-05,1.800876520783842e-83
1.180826028114428e-05,1.800876520783842e-83
1.1829040321062927e-05,1.800876520783842e-83
1.1849856929455566e-05,1.800876520783842e-83
1.1870710170674981e-05,1.800876520783842e-83
1.1891600109187192e-05,1.800876520783842e-83
1.1912526809571673e-05,1.800876520783842e-83
1.1933490336521541e-05,1.800876520783842e-83
1.1954490754843761e-05,1.800876520783842e-83
1.1975528129459342e-05,1.800876520783842e-83
1.1996602525403544e-05,1.800876520783842e-83
1.2017714007826071e-05,1.800876520783842e-83
1.203886264199128e-05,1.800876520783842e-83
1.2060048493278378e-05,1.800876520783842e-83
1.2081271627181624e-05,1.800876520783842e-83
1.210253210931054e-05,1.800876520783842e-83
1.2123830005390094e-05,1.800876520783842e-83
1.2145165381260928e-05,1.800876520783842e-83
1.2166538302879548e-05,1.800876520783842e-83
1.2187948836318523e-05,1.800876520783842e-83
1.22093970477667e-05,1.800876520783842e-83
1.2230883003529405e-05,1.800876520783842e-83
1.225240677002865e-05,1.800876520783842e-83
1.2273968413803324e-05,1.800876520783842e-83
1.2295568001509422e-05,1.800876520783842e-83
1.2317205599920236e-05,1.800876520783842e-83
1.2338881275926567e-05,1.800876520783842e-83
1.2360595096536924e-05,1.800876520783842e-83
1.2382347128877744e-05,1.800876520783842e-83
1.2404137440193583e-05,1.800876520783842e-83
1.2425966097847342e-05,1.800876520783842e-83
1.2447833169320463e-05,1.800876520783842e-83
1.246973872221314e-05,1.800876520783842e-83
1.2491682824244532e-05,1.800876520783842e-83
1.2513665543252967e-05,1.800876520783842e-83
1.2535686947196153e-05,1.800876520783842e-83
1.2557747104151393e-05,1.800876520783842e-83
1.257984608231579e-05,1.800876520783842e-83
1.2601983950006457e-05,1.800876520783842e-83
1.2624160775660734e-05,1.800876520783842e-83
1.2646376627836395e-05,1.800876520783842e-83
1.2668631575211859e-05,1.800876520783842e-83
1.269092568658641e-05,1.800876520783842e-83
1.2713259030880399e-05,1.800876520783842e-83
1.2735631677135464e-05,1.800876520783842e-83
1.2758043694514741e-05,1.800876520783842e-83
1.278049515230308e-05,7.739989529807694e-07
1.2802986119907257e-05,1.2758530677438691e-05
1.2825516666856188e-05,0.00016364870007115086
1.284808686280115e-05,0.0011187852520629577
1.2870696777515984e-05,0.0049372935200697925
1.2893346480897321e-05,0.016833908441428385
1.29160360429648e-05,0.04864296063997605
1.2938765533861275e-05,0.12472490090960592
1.2961535023853036e-05,0.29274080631142757
1.2984344583330031e-05,0.6397632245366746
1.3007194282806073e-05,1.3197233804843969
1.303008419291907e-05,2.589843533811837
1.3053014384431238e-05,4.868612772734568
1.3075984928229317e-05,8.819880646010246
1.309899589532479e-05,15.445671364913535
1.3122047356854113e-05,26.254111375424177
1.314513938407892e-05,43.4320163308339
1.3168272048386251e-05,70.19636716431282
1.3191445421288777e-05,110.97374444493741
1.3214659574425014e-05,172.2520820419457
1.3237914579559542e-05,262.78330999179997
1.3261210508583235e-05,394.6498775004272
1.3284547433513487e-05,583.4045667441779
1.3307925426494413e-05,851.4707702778372
1.3331344559797098e-05,1228.0579504490972
1.33548049058198e-05,1750.7763613211407
1.3378306537088193e-05,2469.1330728678176
1.3401849526255571e-05,3450.420482309856
1.3425433946103087e-05,4777.014744666399
1.3449059869539976e-05,6558.664326735123
1.347272736960377e-05,8927.266461318257
1.349643651946054e-05,12056.690151046618
1.3520187392405107e-05,16159.362330720513
1.3543980061861282e-05,21490.235500849234
1.3567814601382082e-05,28394.617848252263
1.3591691084649958e-05,37242.30644463261
1.361560958547704e-05,48503.980494070245
1.3639570177805335e-05,62775.13462961717
1.3663572935706983e-05,80761.5070833093
1.368761793338447e-05,103269.88228104792
1.3711705245170871e-05,131366.34408506926
1.3735834945530063e-05,166111.13953952063
1.3760007109056964e-05,208801.69091652997
1.3784221810477768e-05,260965.6249643288
1.3808479124650167e-05,324568.60037413944
1.383277912656359e-05,401587.2626396158
1.3857121891339432e-05,494331.0203989074
1.388150749423128e-05,605554.2323681618
1.3905936010625154e-05,738229.555155177
1.3930407516039748e-05,896181.3904148218
1.3954922086126631e-05,1082786.6516221554
1.3979479796670525e-05,1302290.6054067696
1.4004080723589505e-05,1559560.2161867563
1.4028724942935245e-05,1860403.439082961
1.4053412530893261e-05,2211021.316811772
1.4078143563783132e-05,2615657.6057867
1.4102918118058748e-05,3085223.642386536
1.4127736270308543e-05,3623128.036051612
1.4152598097255725e-05,4241840.333144416
1.4177503675758526e-05,4946452.81552488
1.4202453082810421e-05,5751249.68528581
1.4227446395540388e-05,6662296.271350619
1.425248369121313e-05,7698634.258226085
1.4277565047229323e-05,8865149.787237566
1.4302690541125847e-05,10175316.244542893
1.4327860250576038e-05,11651429.332996486
1.4353074253389913e-05,13299716.62796144
1.4378332627514422e-05,15135197.275275923
1.4403635451033684e-05,17185858.310714453
1.442898280216923e-05,19465058.692957554
1.4454374759280246e-05,21989109.497608766
1.4479811400863809e-05,24777685.26747002
1.4505292805555141e-05,27853194.048452068
1.4530819052127838e-05,31237966.082214344
1.4556390219494125e-05,34954351.47716474
1.4582006386705094e-05,39028600.158671655
1.4607667632950957e-05,43483115.32914232
1.4633374037561273e-05,48343829.5490682
1.4659125680005211e-05,53637667.10024829
1.468492263989179e-05,59392527.22763793
1.4710764996970116e-05,65637267.457660794
1.4736652831129647e-05,72417432.42923605
1.4762586222400425e-05,79767013.246071
1.4788565250953325e-05,87690900.86098112
1.4814589997100308e-05,96218517.38306399
1.4840660541294671e-05,105399459.81895716
1.4866776964131285e-05,115285555.84108134
1.4892939346346855e-05,125878549.26593667
1.4919147768820169e-05,137216103.97368765
1.4945402312572332e-05,149345074.31930235
1.4971703058767042e-05,162334054.0763159
1.4998050088710826e-05,176168841.86330193
1.5024443483853284e-05,190885285.97752553
1.505088332578736e-05,206579229.70432767
1.5077369696249583e-05,223266819.4906452
1.5103902677120317e-05,240941730.6862809
1.5130482350424018e-05,259699014.70405698
1.515710879832949e-05,279591764.2703174
1.5183782103150142e-05,300573438.47274816
1.5210502347344225e-05,322785913.7681587
1.5237269613515109e-05,346221768.6715966
1.5264083984411522e-05,370872330.2353955
1.5290945542927817e-05,396957158.7919252
1.531785437210423e-05,424292535.9957191
1.5344810555127104e-05,453133541.59065735
1.5371814175329206e-05,483292913.7546147
1.5398865316189932e-05,515045385.2719359
1.5425964061335586e-05,548199024.0013894
1.5453110494539638e-05,583022273.6702983
1.548030469972298e-05,619339708.1362727
1.5507546760954192e-05,657390730.8715868
1.5534836762449797e-05,697039779.2267047
1.5562174788574508e-05,738472497.414307
1.5589560923841523e-05,781639824.6961166
1.5616995252912745e-05,826718459.2707675
1.564447786059908e-05,873498446.1624835
1.5672008831860677e-05,922299039.1374991
1.569958825180719e-05,972945901.6992537
1.572721620569806e-05,1025486636.8718295
1.575489277894276e-05,1080154390.514821
1.5782618057101065e-05,1136689771.5340405
1.581039212588332e-05,1195405241.604458
1.58382150711507e-05,1256168370.1731875
1.5866086978915488e-05,1318983508.090857
1.5894007935341305e-05,1384168992.3114042
1.592197802674343e-05,1451424565.5684197
1.5949997339589017e-05,1520818382.8737526
1.5978065960497398e-05,1592698139.2919521
1.600618397624033e-05,1666753109.6111753
1.6034351473742274e-05,1743008082.8335319
1.606256854008066e-05,1821770789.2597039
1.6090835262486146e-05,1902888809.9202874
1.6119151728342912e-05,1986283282.9626977
1.6147518025188903e-05,2072087670.0017183
1.617593424071612e-05,2160501741.0685244
1.6204400462770877e-05,2251260885.634136
1.6232916779354095e-05,2344384527.5780725
1.626148327862153e-05,2440239345.1312017
1.62901000488841e-05,2538562807.488524
1.631876717860812e-05,2639308817.0369906
1.6347484756415582e-05,2742690681.9702168
1.6376252871084448e-05,2848836641.415221
1.6405071611548898e-05,2957558617.5593257
1.6433941066899622e-05,3068856284.9533896
1.646286132638409e-05,3182742056.5015244
1.649183247940683e-05,3299227482.737799
1.6520854615529702e-05,3418337833.6214247
1.6549927824472177e-05,3540325501.546096
1.657905219611161e-05,3664945383.910333
1.6608227820483528e-05,3792205295.519413
1.6637454787781897e-05,3922112186.4297614
1.66667331883594e-05,4054672147.9933167
1.669606311272773e-05,4189890419.8073664
1.6725444651557856e-05,4327901070.059346
1.6754877895680314e-05,4468741285.793673
1.6784362936085483e-05,4612252140.629817
1.6813899863923854e-05,4758435288.136332
1.684348877050634e-05,4907378512.210555
1.6873129747304527e-05,5059025943.751455
1.6902822885950984e-05,5213376651.575301
1.6932568278239525e-05,5370428881.694979
1.696236601612551e-05,5530338516.065252
1.699221619172611e-05,5692995634.908227
1.7022118897320612e-05,5858346160.250545
1.7052074225350694e-05,6026384890.026209
1.7082082268420703e-05,6197105850.813039
1.7112143119297966e-05,6370502310.100687
1.7142256870913045e-05,6546566788.769101
1.717242361636005e-05,6725291073.722403
1.720264344889691e-05,6906681116.382972
1.7232916461945673e-05,7090967819.2298355
1.7263242749092793e-05,7277917638.094865
1.729362240408941e-05,7467538073.520454
1.7324055520851648e-05,7659781825.487844
1.7354542193460905e-05,7854854047.909916
1.7385082516164136e-05,8052526590.33446
1.7415676583374164e-05,8252780574.746814
1.7446324489669945e-05,8455602995.164361
1.7477026329796886e-05,8660980704.808586
1.7507782198667115e-05,8868899842.286375
1.7538592191359786e-05,9079345839.490097
1.7569456403121385e-05,9292303430.10305
1.7600374929365994e-05,9507756658.628992
1.7631347865675618e-05,9725696162.351788
1.766237530780046e-05,9946093014.08689
1.769345735165922e-05,10168929660.098652
1.7724594093339402e-05,10394187888.88989
1.7755785629097593e-05,10622005857.003916
1.7787032055359788e-05,10852212579.746225
1.7818333468721652e-05,11084772797.972504
1.7849689965948854e-05,11319665908.312883
1.788110164397734e-05,11556870713.89674
1.7912568599913644e-05,11796365435.821493
1.7944090931035193e-05,12038127724.979164
1.79756687347906e-05,12282134674.231281
1.8007302108799957e-05,12528362830.923433
1.803899115085516e-05,12776788209.727018
1.807073595892019e-05,13027386305.799984
1.810253663113143e-05,13280132108.257837
