#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 1.0734369013361900E-04    6.9839641175076776E+00    1.0427224292352856E+17    4.9823532028769040E+06    7.5977214037923497E-12    7.6231248035224900E-12    5.0308053449964826E+05    5.3908786556000868E+06    1.8787633788603419E+01    1.7392496788094181E+00    1.1789328350268985E+01    1.1897380094698001E+01    5.4023613541900536E+10    5.7981226742454260E+11    3.7228251980326183E-04    1.0427224292352856E+17    1.0427224292352856E+17    1.0427224292352856E+17    1.0427224292352856E+17
 1.0734369015804092E-04    6.9839641168292408E+00    1.0427224292352859E+17    4.9888514855340282E+06    7.6183408946786637E-12    7.6282408612249163E-12    5.0306756346277334E+05    5.3921729049237734E+06    1.8780760948224550E+01    1.7392143567327094E+00    1.1804651618046174E+01    1.1903339291441405E+01    5.4021861797937202E+10    5.8056989285175830E+11    3.7228118277049597E-04    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17
 1.0734369024799473E-04    6.9839641143303375E+00    1.0427224292352859E+17    4.9907299286212213E+06    7.6334370077215635E-12    7.6319071751706532E-12    5.0302269234603777E+05    5.3952741532115359E+06    1.8751984033190762E+01    1.7390680243374927E+00    1.1809057289053303E+01    1.1910774139253496E+01    5.4017161090770645E+10    5.8078872021557556E+11    3.7228021287863899E-04    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17
 1.0734369221148260E-04    6.9839640597849453E+00    1.0427224292352862E+17    4.9811041353986962E+06    7.6301070111979729E-12    7.6299022630309612E-12    5.0282757190755685E+05    5.4053506828345489E+06    1.8663116293856792E+01    1.7384010641876508E+00    1.1786286342577265E+01    1.1910341856347081E+01    5.3998329943235008E+10    5.7966661109596204E+11    3.7228065599348968E-04    1.0427224292352862E+17    1.0427224292352862E+17    1.0427224292352862E+17    1.0427224292352862E+17
 1.0734371155831884E-04    6.9839635223328154E+00    1.0427224292352859E+17    4.8876954110736009E+06    7.6296869386817982E-12    7.6296871599714175E-12    5.0212187096902070E+05    5.4061604045524979E+06    1.8659443904796866E+01    1.7359617055254823E+00    1.1565263479505891E+01    1.1908608862568039E+01    5.3922782845011223E+10    5.6879632430990430E+11    3.7228071422941981E-04    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17
 1.0734427869655389E-04    6.9839477673365833E+00    1.0427224292353165E+17    3.0351718083230769E+06    7.6295056076312268E-12    7.6295058708431673E-12    4.8622668789573014E+05    5.4057783519349424E+06    1.8658327659041515E+01    1.6810103884015388E+00    7.1818245999628685E+00    1.1909030336511076E+01    5.2216347888729202E+10    3.5322181503636737E+11    3.7228081734366731E-04    1.0427224292353165E+17    1.0427224292353165E+17    1.0427224292353165E+17    1.0427224292353165E+17
 1.0736242712007562E-04    6.9834436243838729E+00    1.0427224292356851E+17    1.5289129421765660E+06    7.6237092378252027E-12    7.6237095006372758E-12    4.6370181222638959E+05    5.3936029385060482E+06    1.8622547034620030E+01    1.6032046502721378E+00    3.6173877178081915E+00    1.1923078326547532E+01    4.9813935279301109E+10    1.7805208354434799E+11    3.7228411373625150E-04    1.0427224292356851E+17    1.0427224292356851E+17    1.0427224292356851E+17    1.0427224292356851E+17
 1.0756414860623870E-04    6.9778422665136750E+00    1.0427224292344646E+17    1.5297991550876738E+06    7.5599162779484451E-12    7.5599165363552111E-12    4.6429884384026099E+05    5.2709532529984247E+06    1.8263281957556547E+01    1.6060286721660995E+00    3.6156322136580865E+00    1.2080465220899473E+01    5.0062255754289444E+10    1.7951391442261990E+11    3.7232075936464781E-04    1.0427224292344646E+17    1.0427224292344646E+17    1.0427224292344646E+17    1.0427224292344646E+17
 1.0792168685589284E-04    6.9679246701905297E+00    1.0427224292401112E+17    1.5331682931129246E+06    7.4496255724335561E-12    7.4496258232949550E-12    4.6553412082251802E+05    5.1025618308550613E+06    1.7776615875500802E+01    1.6116454107174718E+00    3.6166682430963077E+00    1.2366325450929532E+01    5.0522715053326088E+10    1.8234122160992627E+11    3.7238574090913101E-04    1.0427224292401112E+17    1.0427224292401112E+17    1.0427224292401112E+17    1.0427224292401112E+17
 1.0849839024789542E-04    6.9519577389202958E+00    1.0427224292422584E+17    1.5396713325546132E+06    7.2788553111193847E-12    7.2788555505163366E-12    4.6787635770310549E+05    4.9316629531511813E+06    1.7305937761203985E+01    1.6219148369185148E+00    3.6205677510960208E+00    1.2847186040476119E+01    5.1307194883417091E+10    1.8710403982523334E+11    3.7249063568537376E-04    1.0427224292422584E+17    1.0427224292422584E+17    1.0427224292422584E+17    1.0427224292422584E+17
