# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     3.10121538851052E-16   3.10121538851052E-16
    1      1      0     1.19731770796438E-09   1.19731770796438E-09
    2      1      1     7.59674674640110E-16   1.51934934928022E-15
    3      1      2     2.48123425956594E-09   7.44370277869781E-09
    3      2      1     1.98504999623915E-10   5.95514998871745E-10
    4      2      2     2.21282767238635E-04   8.85131068954541E-04
    6      3      3     6.86502542030153E-09   4.11901525218092E-08
    7      3      4     8.39426042433914E-10   5.87598229703739E-09
    7      4      3     5.80325877216755E-18   4.06228114051729E-17
    9      4      5     6.99809880000778E-07   6.29828892000701E-06
   10      4      6     6.33388353099285E-08   6.33388353099285E-07
   10      5      5     1.33370883640686E-12   1.33370883640686E-11
   11      5      6     3.81544019019465E-09   4.19698420921411E-08
   12      6      6     4.64956491368074E-07   5.57947789641689E-06
   13      6      7     4.71143048627037E-08   6.12485963215148E-07
   14      6      8     7.85896796891125E-08   1.10025551564758E-06
   14      7      7     2.58570700917431E-10   3.61998981284404E-09
   15      7      8     1.08694336100999E-05   1.63041504151499E-04
   16      8      8     2.21978975147919E-07   3.55166360236670E-06
   17      8      9     2.41648498600871E-09   4.10802447621481E-08
   18      8     10     8.21803060105031E-07   1.47924550818906E-05
   19      9     10     1.11635557708115E-06   2.12107559645419E-05
   20     10     10     7.88336486850777E-08   1.57667297370155E-06
   21     10     11     1.08696061450611E-07   2.28261729046283E-06
   22     10     12     2.89845194459934E-06   6.37659427811854E-05
   23     11     12     8.99564844481459E-10   2.06899914230736E-08
   24     12     12     1.59974890241661E-08   3.83939736579985E-07
   25     12     13     6.72831515652113E-08   1.68207878913028E-06
   26     12     14     3.67639494129288E-09   9.55862684736149E-08
   27     13     14     8.23500362456869E-10   2.22345097863355E-08
   28     14     14     1.53641530382451E-09   4.30196285070862E-08
   29     14     15     9.62125790589957E-10   2.79016479271088E-08
   30     14     16     1.72148578835027E-09   5.16445736505082E-08
   31     15     16     2.80098544119749E-09   8.68305486771220E-08
   32     14     18     1.01660552351359E-08   3.25313767524349E-07
   32     15     17     2.58949847734427E-12   8.28639512750168E-11
   32     16     16     6.06325152242870E-11   1.94024048717718E-09
   33     15     18     1.70735707622340E-14   5.63427835153722E-13
   33     16     17     9.81589032767573E-09   3.23924380813299E-07
   34     16     18     1.30238832283858E-08   4.42812029765116E-07
   35     16     19     1.57766626759311E-10   5.52183193657590E-09
