time_days,Rn220 top 8
1.1581889009869677e-05,3.501250763923516e-85
1.160227070288277e-05,3.501250763923516e-85
1.1622688263396381e-05,3.501250763923516e-85
1.1643141754529784e-05,3.501250763923516e-85
1.1663631239513322e-05,3.501250763923516e-85
1.168415678168862e-05,3.501250763923516e-85
1.1704718444508758e-05,3.501250763923516e-85
1.1725316291538495e-05,3.501250763923516e-85
1.1745950386454436e-05,3.501250763923516e-85
1.1766620793045252e-05,3.501250763923516e-85
1.178732757521187e-05,3.501250763923516e-85
1.1808070796967665e-05,3.501250763923516e-85
1.1828850522438664e-05,3.501250763923516e-85
1.1849666815863737e-05,3.501250763923516e-85
1.1870519741594814e-05,3.501250763923516e-85
1.1891409364097055e-05,3.501250763923516e-85
1.1912335747949075e-05,3.501250763923516e-85
1.1933298957843133e-05,3.501250763923516e-85
1.1954299058585331e-05,3.501250763923516e-85
1.1975336115095818e-05,3.501250763923516e-85
1.199641019240898e-05,3.501250763923516e-85
1.2017521355673667e-05,3.501250763923516e-85
1.2038669670153358e-05,3.501250763923516e-85
1.2059855201226398e-05,3.501250763923516e-85
1.2081078014386175e-05,3.501250763923516e-85
1.2102338175241337e-05,3.501250763923516e-85
1.2123635749515981e-05,3.501250763923516e-85
1.2144970803049875e-05,3.501250763923516e-85
1.2166343401798645e-05,3.501250763923516e-85
1.2187753611833987e-05,3.501250763923516e-85
1.2209201499343867e-05,3.501250763923516e-85
1.2230687130632732e-05,3.501250763923516e-85
1.2252210572121708e-05,3.501250763923516e-85
1.2273771890348808e-05,3.501250763923516e-85
1.2295371151969139e-05,3.501250763923516e-85
1.2317008423755106e-05,3.501250763923516e-85
1.2338683772596625e-05,3.501250763923516e-85
1.2360397265501313e-05,3.501250763923516e-85
1.2382148969594712e-05,3.501250763923516e-85
1.2403938952120499e-05,3.501250763923516e-85
1.2425767280440676e-05,3.501250763923516e-85
1.2447634022035786e-05,3.501250763923516e-85
1.246953924450513e-05,3.501250763923516e-85
1.249148301556697e-05,3.501250763923516e-85
1.2513465403058733e-05,3.501250763923516e-85
1.2535486474937229e-05,3.501250763923516e-85
1.2557546299278855e-05,3.501250763923516e-85
1.2579644944279813e-05,3.501250763923516e-85
1.2601782478256311e-05,3.501250763923516e-85
1.262395896964478e-05,3.501250763923516e-85
1.2646174487002088e-05,3.501250763923516e-85
1.2668429099005746e-05,3.501250763923516e-85
1.2690722874454123e-05,3.501250763923516e-85
1.271305588226666e-05,3.501250763923516e-85
1.273542819148408e-05,3.501250763923516e-85
1.2757839871268606e-05,3.501250763923516e-85
1.278029099090417e-05,3.501250763923516e-85
1.2802781619796623e-05,3.501250763923516e-85
1.2825311827473973e-05,3.501250763923516e-85
1.2847881683586564e-05,3.501250763923516e-85
1.287049125790732e-05,3.501250763923516e-85
1.2893140620331946e-05,3.501250763923516e-85
1.2915829840879158e-05,3.501250763923516e-85
1.2938558989690875e-05,3.501250763923516e-85
1.2961328137032467e-05,3.501250763923516e-85
1.2984137353292944e-05,3.501250763923516e-85
1.3006986708985192e-05,3.501250763923516e-85
1.3029876274746181e-05,3.501250763923516e-85
1.3052806121337195e-05,3.501250763923516e-85
1.3075776319644034e-05,3.501250763923516e-85
1.3098786940677248e-05,3.501250763923516e-85
1.3121838055572345e-05,3.501250763923516e-85
1.3144929735590026e-05,3.501250763923516e-85
1.3168062052116383e-05,3.501250763923516e-85
1.3191235076663149e-05,3.501250763923516e-85
1.3214448880867883e-05,1.1859499157577268e-09
1.3237703536494226e-05,1.1107016567676291e-08
1.3260999115432103e-05,2.1218157958562416e-08
1.3284335689697951e-05,3.166189034984968e-08
1.330771333143494e-05,4.2574113506071654e-08
1.3331132112913196e-05,5.414127037204514e-08
1.3354592106530025e-05,6.653432396204443e-08
1.337809338481014e-05,7.985579535860142e-08
1.3401636020405882e-05,9.425623250622296e-08
1.3425220086097441e-05,1.0989278724267541e-07
1.3448845654793088e-05,1.2698540150226205e-07
1.34725127995294e-05,1.458837623518436e-07
1.349622159347147e-05,1.6661985752943781e-07
1.3519972109913168e-05,1.8939864194010568e-07
1.3543764422277326e-05,2.1444400545955153e-07
1.3567598604115993e-05,2.4199644822183163e-07
1.3591474729110654e-05,2.7231465917814786e-07
1.361539287107246e-05,3.059132611664324e-07
1.363935310394245e-05,3.430710440860071e-07
1.3663355501791783e-05,3.8397169833949836e-07
1.3687400138821973e-05,4.2897077544225667e-07
1.3711487089365112e-05,4.795020632895031e-07
1.3735616427884092e-05,5.368241029705056e-07
1.3759788228972857e-05,6.008969314102218e-07
1.3784002567356613e-05,6.722894341266054e-07
1.380825951789207e-05,7.514793390604629e-07
1.3832559155567663e-05,8.386537784344068e-07
1.3856901555503803e-05,9.343978006534425e-07
1.3881286792953086e-05,1.03937489787122e-06
1.3905714943300544e-05,1.154907785575269e-06
