    time    temp    dens
   8.67293576952757E-02   7.01454541315995E-01   6.05642796804314E+05
     nin     zin       y       x
  1    0     8.32338435831027E-01   8.32338435831027E-01
  0    1     6.79671104178321E-14   6.79671104178321E-14
  1    1     2.53822678273617E-12   5.07645356547233E-12
  2    1     1.51569505400123E-08   4.54708516200370E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.86574277834492E-05   7.46297111337970E-05
  4    2     2.49038987777684E-07   1.49423392666611E-06
  3    3     1.36243750848074E-21   8.17462505088447E-21
  4    3     4.27777887871232E-15   2.99444521509863E-14
  5    3     6.12383046868777E-15   4.89906437495021E-14
  6    3     2.67805047202633E-07   2.41024542482370E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     4.89649571454410E-14   4.40684614308969E-13
  6    4     9.34190844960618E-13   9.34190844960618E-12
  7    4     2.91759371645820E-13   3.20935308810402E-12
  8    4     3.14953178419048E-06   3.77943814102858E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     5.35159073363557E-16   5.88674980699913E-15
  7    5     6.78814059646402E-14   8.14576871575682E-13
  8    5     3.52771454207864E-09   4.58602890470224E-08
  9    5     1.97317854950242E-06   2.76244996930339E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.50848271916719E-19   1.81017926300063E-18
  7    6     3.21778600035506E-17   4.18312180046157E-16
  8    6     9.01488224240399E-14   1.26208351393656E-12
  9    6     5.88174763582087E-13   8.82262145373130E-12
 10    6     1.45979724588922E-07   2.33567559342276E-06
 11    6     5.34105179625018E-06   9.07978805362530E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     4.52535893824394E-25   6.33550251354152E-24
  8    7     1.57394784877122E-16   2.36092177315684E-15
  9    7     1.67961126572626E-14   2.68737802516202E-13
 10    7     1.87730983695127E-13   3.19142672281716E-12
 11    7     1.69132041134529E-13   3.04437674042151E-12
 12    7     3.57466625450586E-14   6.79186588356112E-13
 13    7     5.71185170973601E-07   1.14237034194720E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     5.86680227654564E-24   9.38688364247303E-23
