    time    temp    dens
   1.11770325284848E+00   5.72715246902619E-01   2.82966746889644E+02
     nin     zin       y       x
  1    0     1.74683581758994E-05   1.74683581758994E-05
  0    1     4.40471346673177E-11   4.40471346673177E-11
  1    1     5.27691309785147E-10   1.05538261957029E-09
  2    1     4.79050880815484E-10   1.43715264244645E-09
  1    2     1.03937942071159E-16   3.11813826213476E-16
  2    2     2.61543052630307E-04   1.04617221052123E-03
  4    2     5.84183413204593E-12   3.50510047922756E-11
  3    3     1.77542597405301E-15   1.06525558443181E-14
  4    3     1.93296323015350E-10   1.35307426110745E-09
  5    3     3.67626435604285E-12   2.94101148483428E-11
  6    3     1.54477509881509E-06   1.39029758893358E-05
  3    4     2.59660635773588E-22   1.81762445041512E-21
  5    4     3.31402981885265E-08   2.98262683696739E-07
  6    4     7.28840120297382E-07   7.28840120297382E-06
  7    4     2.66755729521843E-14   2.93431302474028E-13
  8    4     3.00593689941076E-09   3.60712427929291E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.98848724738433E-20   2.98848724738433E-19
  6    5     1.57951017291600E-10   1.73746119020760E-09
  7    5     1.28197946579766E-09   1.53837535895719E-08
  8    5     5.68131863903928E-09   7.38571423075107E-08
  9    5     1.73188983575496E-12   2.42464577005695E-11
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     3.54466553870123E-09   4.25359864644147E-08
  7    6     3.00640704046090E-09   3.90832915259917E-08
  8    6     4.63311039233215E-09   6.48635454926501E-08
  9    6     6.50460697045944E-10   9.75691045568915E-09
 10    6     5.05578608222742E-06   8.08925773156388E-05
 11    6     3.79226910403264E-11   6.44685747685549E-10
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.72342988265411E-21   4.84045884745034E-20
  7    7     1.40814796893517E-14   1.97140715650924E-13
  8    7     6.19475040914387E-08   9.29212561371580E-07
  9    7     2.19907271069100E-08   3.51851633710561E-07
 10    7     2.50323712134485E-08   4.25550310628624E-07
 11    7     1.42343699957302E-08   2.56218659923144E-07
 12    7     2.70585302190565E-09   5.14112074162073E-08
 13    7     1.00798801188406E-06   2.01597602376811E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     4.37370968808952E-11   6.99793550094323E-10
  9    8     4.59611180300204E-13   7.81339006510346E-12
 10    8     1.72637241125592E-10   3.10747034026066E-09
 11    8     1.05389141108241E-08   2.00239368105658E-07
 12    8     7.24421374587917E-08   1.44884274917583E-06
 13    8     1.51897755618628E-07   3.18985286799118E-06
 14    8     4.85459300737112E-06   1.06801046162165E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.53091794343439E-25   2.75565229818190E-24
 10    9     1.44038886660337E-13   2.73673884654640E-12
 11    9     2.51317606871711E-12   5.02635213743422E-11
 12    9     7.07659082512991E-10   1.48608407327728E-08
 13    9     3.36380424559225E-08   7.40036934030295E-07
 14    9     9.10253565120655E-10   2.09358319977751E-08
 15    9     1.69975281706421E-09   4.07940676095411E-08
 16    9     4.20262493075277E-08   1.05065623268819E-06
 17    9     2.32188153853527E-11   6.03689200019171E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     3.22894738391714E-16   6.45789476783428E-15
 11   10     9.28527090172180E-14   1.94990688936158E-12
 12   10     2.94761256098202E-11   6.48474763416044E-10
 13   10     3.13776156608071E-11   7.21685160198564E-10
 14   10     1.01734417264728E-09   2.44162601435348E-08
 15   10     5.63870429505040E-09   1.40967607376260E-07
 16   10     2.20479518167356E-09   5.73246747235124E-08
 17   10     1.88571241973562E-10   5.09142353328617E-09
 18   10     7.02421801398059E-10   1.96678104391456E-08
 19   10     4.10273453891042E-11   1.18979301628402E-09
 20   10     1.26822469172522E-10   3.80467407517565E-09
 21   10     1.28943682270731E-11   3.99725415039266E-10
 22   10     8.83493726599229E-11   2.82717992511753E-09
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.35910852099581E-25   2.99003874619078E-24
 12   11     3.50147918779985E-16   8.05340213193965E-15
 13   11     2.45277150293230E-15   5.88665160703752E-14
 14   11     9.66877944839888E-12   2.41719486209972E-10
 15   11     1.65139689967322E-11   4.29363193915037E-10
 16   11     1.43207098373396E-10   3.86659165608169E-09
 17   11     9.81338377637317E-11   2.74774745738449E-09
 18   11     3.54489538358450E-10   1.02801966123950E-08
 19   11     8.99212491735259E-11   2.69763747520578E-09
 20   11     7.13360287076968E-10   2.21141688993860E-08
 21   11     5.64342986522058E-09   1.80589755687059E-07
 22   11     5.14243166012560E-13   1.69700244784145E-11
 23   11     2.99123082555642E-14   1.01701848068918E-12
 24   11     3.20211335286647E-14   1.12073967350327E-12
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
