#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 1.1115984613152682E-04    6.8788426952100385E+00    7.9129788102221340E+06    7.7032906315154219E+06    7.1332829921973036E-12    7.1332831703032498E-12    8.1400540612145709E+06    7.1238602014448438E+06    2.5291630360323044E+01    2.8367724611666059E+01    1.7837798077191323E+01    1.8549372152848431E+01    9.4579233037204968E+11    1.0373608604895830E+12    7.8253838998750089E-04    1.0391463310104275E+17    1.0391463310104275E+17    1.0391463310104275E+17    1.0391463310104275E+17
 1.1396334990180495E-04    6.8031084484602795E+00    1.1145056298791431E+07    1.0698625661693819E+07    6.8107408848401905E-12    6.8107410466695624E-12    1.1547339633878579E+07    9.5486291426183395E+06    3.4360644694928524E+01    4.0459690770479938E+01    2.4329325088539619E+01    2.5704827367856446E+01    1.4161838749817288E+12    1.5982719683631711E+12    7.8296635249171373E-04    1.0391463310139800E+17    1.0391463310139800E+17    1.0391463310139800E+17    1.0391463310139800E+17
 1.1844244371743887E-04    6.6857382129453100E+00    1.9471144134787098E+07    1.8409177429639794E+07    6.3663898532451190E-12    6.3663899937977859E-12    2.1249010247193761E+07    1.6544679175718440E+07    6.0507735135038025E+01    7.5037443662731505E+01    4.0562874534303901E+01    4.3386656667173369E+01    2.8214834288925830E+12    3.2183079406967002E+12    7.8364855088479998E-04    1.0391463309753621E+17    1.0391463309753621E+17    1.0391463309753621E+17    1.0391463309753621E+17
 1.2444918627458238E-04    6.5375149465382689E+00    4.1268788475850485E+07    3.8518310369420491E+07    5.8722086428636908E-12    5.8722087612149440E-12    5.0184846222402379E+07    3.7130671832990542E+07    1.3805323499997692E+02    1.7881674137506451E+02    8.1116976230266758E+01    8.6961155297711414E+01    7.3162588068931191E+12    8.1614245492140488E+12    7.8456334386412874E-04    1.0391463310856805E+17    1.0391463310856805E+17    1.0391463310856805E+17    1.0391463310856805E+17
 1.2858800032793875E-04    6.4426702629548025E+00    6.8614507405444354E+07    6.3623477291769072E+07    5.5797742392954054E-12    5.5797743451889235E-12    9.0740058854175597E+07    6.5525649463249333E+07    2.4593681734558010E+02    3.2501471333174680E+02    1.2981223421563544E+02    1.3875945429925008E+02    1.3992488133496600E+13    1.5190663974300037E+13    7.8519602385067420E-04    1.0391463311278253E+17    1.0391463311278253E+17    1.0391463311278253E+17    1.0391463311278253E+17
 1.3587287303659553E-04    6.2874715150768932E+00    1.6600027396318382E+08    1.5238831878267241E+08    5.1370400734922026E-12    5.1370401616876503E-12    2.5548255995357379E+08    1.7906303829853210E+08    6.8191442022029969E+02    9.2214842692361083E+02    2.9413791807044583E+02    3.1176492303111928E+02    4.2968376610514016E+13    4.3982338812400680E+13    7.8631619307808641E-04    1.0391463310177454E+17    1.0391463310177454E+17    1.0391463310177454E+17    1.0391463310177454E+17
 1.4350538308631234E-04    6.1371486671481810E+00    4.1804857145045251E+08    3.7988573040030599E+08    4.7544229082147100E-12    4.7544229824572412E-12    7.5089471035508704E+08    5.1612829767828685E+08    1.9921419505805375E+03    2.7277404221985475E+03    6.9253842100317388E+02    7.2696735715206250E+02    1.3668669067879367E+14    1.3091387794958639E+14    7.8749742474298705E-04    1.0391463309941360E+17    1.0391463309941360E+17    1.0391463309941360E+17    1.0391463309941360E+17
 1.5100000000000001E-04    5.9978999999999996E+00    1.0493491080964786E+09    9.4371945848170328E+08    4.4488831146775918E-12    4.4488831788010966E-12    2.1771053883722401E+09    1.4808975458813705E+09    5.7843223523551496E+03    7.9484968845723452E+03    1.6284765432726485E+03    1.6945594548568520E+03    4.2461975143383438E+14    3.8105794587951200E+14    7.8866090610648319E-04    1.0391463309146837E+17    1.0391463309146837E+17    1.0391463309146837E+17    1.0391463309146837E+17
 1.6033336491317579E-04    5.8370395092637581E+00    3.3122711103272567E+09    2.9469756798668547E+09    4.1614363982946529E-12    4.1614364537205652E-12    8.0895031979872847E+09    5.4929602310330725E+09    2.1736522384760934E+04    2.9674532806800464E+04    4.7669620653420316E+03    4.9161911101307787E+03    1.6911823002441370E+15    1.4098138498770308E+15    7.9010836096983831E-04    1.0391463307831790E+17    1.0391463307831790E+17    1.0391463307831790E+17    1.0391463307831790E+17
 1.7032208627633732E-04    5.6771326136503957E+00    1.1405045802402761E+10    1.0028721701556210E+10    3.9124844389589455E-12    3.9124844869200229E-12    3.2316485991215557E+10    2.2144615114511852E+10    8.8761525600623048E+04    1.1897010347374248E+05    1.5215012416729342E+04    1.5579809957931478E+04    6.9517554433963580E+15    5.4770395368458110E+15    7.9167129541594396E-04    1.0391463307501450E+17    1.0391463307501450E+17    1.0391463307501450E+17    1.0391463307501450E+17
 1.7763288048320276E-04    5.5618554984910746E+00    2.9841339170767494E+10    2.6020379094425247E+10    3.7640799260779955E-12    3.7640799692937251E-12    9.2475737417998062E+10    6.4396255801737732E+10    2.6057886888517599E+05    3.4106319679689076E+05    3.7729341226568140E+04    3.8480209795255469E+04    1.8596147227225984E+16    1.4575902307470068E+16    7.9283260279747940E-04    1.0391463308888854E+17    1.0391463308888854E+17    1.0391463308888854E+17    1.0391463308888854E+17
 1.8645802246905588E-04    5.4208658204138143E+00    1.0551033709796007E+11    9.1072173899816727E+10    3.6230766394951249E-12    3.6230766785570948E-12    3.5353311872733063E+11    2.5608785274448853E+11    1.0486547274799752E+06    1.3056421866733644E+06    1.2518319462751168E+05    1.2724254610231487E+05    4.9238111777808784E+16    4.1403782814650344E+16    7.9425802651913839E-04    1.0391463307923936E+17    1.0391463307923936E+17    1.0391463307923936E+17    1.0391463307923936E+17
 1.9632179431303430E-04    5.2687439262784448E+00    4.5781374366323853E+11    3.9111129271957166E+11    3.4982901707752592E-12    3.4982902059017577E-12    1.5896315704316541E+12    1.2421651501645742E+12    5.1573104867625972E+06    5.8734320942894137E+06    5.0929787569467176E+05    5.1657103862084600E+05    8.4764366618458560E+16    7.9945823993621968E+16    7.9589408408645536E-04    1.0391463310846901E+17    1.0391463310846901E+17    1.0391463310846901E+17    1.0391463310846901E+17
 2.0611609969515402E-04    5.1339803057485351E+00    1.8452090255250767E+12    1.5642459490407227E+12    3.3829803442844602E-12    3.3829803756933102E-12    6.2120250647428672E+12    5.4223651036199746E+12    2.2844241967717569E+07    2.2945590761597481E+07    1.9500803211810100E+06    1.9768894912347668E+06    9.8671605713892192E+16    9.7561281489918096E+16    7.9759063389435827E-04    1.0391463308159965E+17    1.0391463308159965E+17    1.0391463308159965E+17    1.0391463308159965E+17
 2.1640163496840581E-04    5.0107496050988356E+00    7.1736020135101006E+12    6.0485185767245889E+12    3.2632902116625968E-12    3.2632902395513106E-12    2.1493276504571520E+13    2.2202820371780406E+13    9.5114635956089780E+07    7.9334522852864593E+07    7.2793961540133646E+06    7.3905502653039461E+06    1.0246626221877040E+17    1.0239865935302664E+17    7.9947153764300439E-04    1.0391463307906026E+17    1.0391463307906026E+17    1.0391463307906026E+17    1.0391463307906026E+17
 2.2699999999999999E-04    4.8864999999999998E+00    3.0904424649849262E+13    2.5898108685409754E+13    3.1864347960599704E-12    3.1864348219688784E-12    7.0062662754206273E+13    9.9589779506061281E+13    4.3452145655721051E+08    2.5833878958843371E+08    3.0228913522858530E+07    3.0919393101303067E+07    1.0350488094914526E+17    1.0359911223517603E+17    8.0146181051240432E-04    1.0391463303634091E+17    1.0391463303634091E+17    1.0391463303634091E+17    1.0391463303634091E+17
 2.3946749117773167E-04    4.7318919378022839E+00    2.1323080259140834E+14    1.7312389818685434E+14    3.1677785990218941E-12    3.1677786238373787E-12    2.5830169307070438E+14    7.2143131038472400E+14    3.2322287914425712E+09    9.5132450796377957E+08    1.9617476431477365E+08    2.0832867964747119E+08    1.0381633972163424E+17    1.0387444698321568E+17    8.0386674628389089E-04    1.0391463303312768E+17    1.0391463303312768E+17    1.0391463303312768E+17    1.0391463303312768E+17
 2.5200000000000000E-04    4.5814000000000004E+00    1.5655077831604900E+15    1.0391463305092010E+17    3.1915053091877488E-12    3.1915053332246582E-12    8.0753684180002650E+14    5.3843094514490300E+15    2.5792887603314796E+10    2.9785425989175587E+09    1.0391463305092010E+17    1.5357989430798595E+09    1.0388726227964010E+17    1.0391463305092010E+17    8.0640729209804809E-04    1.0391463305092010E+17    1.0391463305092010E+17    1.0391463305092010E+17    1.0391463305092010E+17
