time_days,In124 top 8
1.1581089445659607e-05,1.2747394834509018e-83
1.1601469811709933e-05,1.2747394834509018e-83
1.1621886043066567e-05,1.2747394834509018e-83
1.1642338202845166e-05,1.2747394834509018e-83
1.1662826354272458e-05,1.2747394834509018e-83
1.1683350560686436e-05,1.2747394834509018e-83
1.1703910885536557e-05,1.2747394834509018e-83
1.1724507392383935e-05,1.2747394834509018e-83
1.1745140144901542e-05,1.2747394834509018e-83
1.1765809206874392e-05,1.2747394834509018e-83
1.178651464219976e-05,1.2747394834509018e-83
1.1807256514887359e-05,1.2747394834509018e-83
1.1828034889059548e-05,1.2747394834509018e-83
1.1848849828951528e-05,1.2747394834509018e-83
1.1869701398911546e-05,1.2747394834509018e-83
1.189058966340108e-05,1.2747394834509018e-83
1.1911514686995053e-05,1.2747394834509018e-83
1.1932476534382027e-05,1.2747394834509018e-83
1.1953475270364396e-05,1.2747394834509018e-83
1.1974510959858606e-05,1.2747394834509018e-83
1.199558366789533e-05,1.2747394834509018e-83
1.2016693459619685e-05,1.2747394834509018e-83
1.2037840400291438e-05,1.2747394834509018e-83
1.2059024555285186e-05,1.2747394834509018e-83
1.2080245990090588e-05,1.2747394834509018e-83
1.2101504770312538e-05,1.2747394834509018e-83
1.2122800961671391e-05,1.2747394834509018e-83
1.214413463000315e-05,1.2747394834509018e-83
1.2165505841259673e-05,1.2747394834509018e-83
1.2186914661508891e-05,1.2747394834509018e-83
1.2208361156934996e-05,1.2747394834509018e-83
1.2229845393838647e-05,1.2747394834509018e-83
1.2251367438637181e-05,1.2747394834509018e-83
1.2272927357864821e-05,1.2747394834509018e-83
1.2294525218172865e-05,1.2747394834509018e-83
1.2316161086329919e-05,1.2747394834509018e-83
1.2337835029222076e-05,1.2747394834509018e-83
1.235954711385314e-05,1.2747394834509018e-83
1.2381297407344829e-05,1.2747394834509018e-83
1.2403085976936977e-05,1.2747394834509018e-83
1.242491288998775e-05,1.2747394834509018e-83
1.2446778213973852e-05,1.2747394834509018e-83
1.2468682016490729e-05,1.2747394834509018e-83
1.2490624365252783e-05,1.2747394834509018e-83
1.2512605328093577e-05,1.2747394834509018e-83
1.2534624972966053e-05,1.2747394834509018e-83
1.2556683367942735e-05,1.2747394834509018e-83
1.257878058121593e-05,1.2747394834509018e-83
1.2600916681097967e-05,1.2747394834509018e-83
1.2623091736021378e-05,1.2747394834509018e-83
1.2645305814539128e-05,1.2747394834509018e-83
1.266755898532482e-05,1.2747394834509018e-83
1.2689851317172906e-05,1.2747394834509018e-83
1.2712182878998908e-05,1.2747394834509018e-83
1.2734553739839618e-05,1.2747394834509018e-83
1.2756963968853328e-05,1.2747394834509018e-83
1.2779413635320026e-05,1.2747394834509018e-83
1.2801902808641623e-05,1.2747394834509018e-83
1.2824431558342162e-05,1.2747394834509018e-83
1.2846999954068035e-05,1.2747394834509018e-83
1.2869608065588195e-05,1.2747394834509018e-83
1.289225596279438e-05,1.2747394834509018e-83
1.2914943715701314e-05,1.2747394834509018e-83
1.2937671394446944e-05,3.581760197664678e-07
1.2960439069292637e-05,1.083808758905552e-06
1.298324681062341e-05,2.9797391861490453e-06
1.3006094688948138e-05,7.593916302517628e-06
1.3028982774899787e-05,1.808697579156055e-05
1.305191113923561e-05,4.0633938112653655e-05
1.307487985283739e-05,8.699600945833467e-05
1.3097888986711642e-05,0.00017784787414113049
1.3120938611989838e-05,0.00034901643342401457
1.3144028799928628e-05,0.0006610279063746671
1.3167159621910058e-05,0.0012119666627828816
1.3190331149441795e-05,0.002155909927599414
1.3213543454157339e-05,0.0037424041804922994
1.3236796607816261e-05,0.0063371102440180375
1.32600906823044e-05,0.01050613196886943
1.3283425749634113e-05,0.017047077854493716
1.3306801881944475e-05,0.02715981744417486
1.3330219151501514e-05,0.042576912610781156
1.3353677630698433e-05,0.06567994450200328
1.3377177392055832e-05,0.09984105046666904
1.3400718508221931e-05,0.14992708540502586
1.3424301051972795e-05,0.22217057078212957
1.3447925096212565e-05,0.325749469935386
1.3471590713973672e-05,0.47223213493665456
1.3495297978417076e-05,0.6776705702438817
1.3519046962832478e-05,0.9628391194417881
1.3542837740638563e-05,1.3557422921496267
1.3566670385383211e-05,1.8932448187588278
1.3590544970743732e-05,2.620437594962379
1.3614461570527095e-05,3.5965567645747627
1.3638420258670157e-05,4.902894680482482
1.3662421109239881e-05,6.635238571922105
1.3686464196433578e-05,8.913886971513039
1.3710549594579135e-05,11.910972826340275
1.3734677378135231e-05,15.805741449536269
1.3758847621691586e-05,20.83364786253114
1.378306039996918e-05,27.285944063918414
1.3807315787820486e-05,35.53237647876602
1.38316138602297e-05,46.026907946281476
1.385595469231298e-05,59.28367252670624
1.3880338359318668e-05,75.94556177704109
1.3904764936627538e-05,96.79435237104046
1.3929234499753e-05,122.77768187781238
1.395374712434137e-05,154.9203167298906
1.3978302886172082e-05,194.49175679561895
1.4002901861157918e-05,243.00788628350784
1.402754412534526e-05,302.39292527922447
1.4052229754914316e-05,374.678821607188
1.407695882617935e-05,461.83351354655093
1.4101731415588925e-05,567.6195728637288
1.4126547599726145e-05,693.8870373933606
1.4151407455308875e-05,845.9043888380181
1.4176311059189993e-05,1026.1034673618717
1.4201258488357622e-05,1241.2919281192135
1.422624981993537e-05,1494.6138651574788
1.4251285131182563e-05,1795.5574906949764
1.427636449949449e-05,2148.328678976551
1.4301488002402642e-05,2560.4286508876216
1.4326655717574944e-05,3044.4252747566907
1.4351867722816006e-05,3606.9764337971865
1.4377124096067355e-05,4258.216890456631
1.4402424915407685e-05,5014.950055964007
1.4427770259053083e-05,5890.0929438631
1.445316020535729e-05,6896.697984996504
1.4478594832811927e-05,8051.974548540729
1.450407422004675e-05,9375.33847581028
1.4529598445829883e-05,10887.354932985556
1.4555167589068063e-05,12610.510786146251
1.4580781728806896e-05,14570.77862441739
1.4606440944231087e-05,16793.911512236125
1.4632145314664688e-05,19309.573558153144
1.4657894919571347e-05,22149.989991904687
1.4683689838554557e-05,25350.18147633092
1.4709530151357889e-05,28948.150378401475
1.473541593786525e-05,32996.6270433304
1.4761347278101124e-05,37540.63570265539
1.4787324252230827e-05,42608.00582978278
1.4813346940560748e-05,48247.5316955149
1.4839415423538595e-05,54539.77665004679
1.4865529781753654e-05,61547.40292606376
1.4891690095937025e-05,69308.54196523235
1.4917896446961879e-05,77890.85349575519
1.4944148915843716e-05,87391.96053097406
1.49704475837406e-05,97906.43999990226
1.4996792531953411e-05,109467.41059144137
1.5023183841926115e-05,122157.77018522743
1.5049621595245995e-05,136164.86746209103
1.507610587364391e-05,151525.04347811238
1.510263675899455e-05,168296.15570599097
1.5129214333316696e-05,186691.63064930734
1.5155838678773453e-05,206808.30526321588
1.5182509877672523e-05,228655.96652413395
1.5209228012466448e-05,252563.0100426342
1.5235993165752881e-05,278535.3395004064
1.5262805420274813e-05,306679.3140882199
1.5289664858920863e-05,337412.4332803991
1.5316571564725508e-05,370503.35995995696
1.5343525620869345e-05,406589.4973599378
1.537052711067936e-05,445304.2273051811
1.539757611762918e-05,487420.39476783964
1.5424672725339315e-05,532530.1707337919
1.5451817017577448e-05,581454.8125545488
1.5479009078258655e-05,633795.8512853006
1.5506248991445707e-05,690370.9175197955
1.553353684134929e-05,750853.8223036472
1.55608727123283e-05,815989.4379948884
1.558825668889008e-05,885627.8524482572
1.5615688855690682e-05,960570.7266814195
1.5643169297535144e-05,1040311.3880751687
1.5670698099377748e-05,1125871.343883427
1.569827534632226e-05,1217104.2629928633
1.5725901123622233e-05,1314133.149608428
1.5753575516681237e-05,1418132.648147159
1.5781298611053135e-05,1528336.4067483048
1.5809070492442352e-05,1645913.1014552815
1.5836891246704132e-05,1770868.098848476
1.5864760959844808e-05,1903169.708234011
1.5892679718022064e-05,2044529.1869707254
1.592064760754521e-05,2193919.0760712624
1.594866471487544e-05,2351689.948959884
1.5976731126626097e-05,2519928.1936584124
1.6004846929562958e-05,2697430.726075723
1.603301221060447e-05,2884579.143319957
1.6061227056822062e-05,3082911.2630347554
1.608949155544038e-05,3292468.424444285
1.6117805793837564e-05,3512983.1378830113
1.6146169859545525e-05,3745223.2911983803
1.617458384025022e-05,3991088.0711189606
1.6203047823791897e-05,4249321.145586181
1.6231561898165408e-05,4520371.21667653
1.6260126151520447e-05,4806486.328424587
1.628874067216182e-05,5107122.956746112
1.6317405548549763e-05,5422129.498032032
1.6346120869300153e-05,5752861.212581306
1.6374886723184828e-05,6101341.4050454935
1.6403703199131847e-05,6466500.208219539
1.643257038622576e-05,6848792.390264564
1.6461488373707892e-05,7248834.712717504
1.649045725097661e-05,7667244.969397382
1.6519477107587608e-05,8104645.517903105
1.6548548033254172e-05,8563524.332256408
1.6577670117847477e-05,9043125.746051533
1.6606843451396847e-05,9543778.558334053
1.6636068124090033e-05,10066143.675380938
1.6665344226273513e-05,10610892.641904203
1.669467184845274e-05,11178707.935473567
1.6724051081292446e-05,11770998.249081679
1.6753482015616925e-05,12389970.436980866
1.6782964742410284e-05,13034294.695533618
1.6812499352816754e-05,13704703.248339219
1.684208593814096e-05,14402774.414343037
1.6871724589848207e-05,15128694.391587283
1.6901415399564752e-05,15883285.30954575
1.693115845907811e-05,16667374.116257668
1.6960953860337308e-05,17483029.062464464
