    time    temp    dens
   1.06427115674846E+00   5.88431326656415E-01   3.27761598953877E+02
     nin     zin       y       x
  1    0     3.01969981845613E-02   3.01969981845613E-02
  0    1     1.17769973490304E-10   1.17769973490304E-10
  1    1     2.72593034374067E-09   5.45186068748135E-09
  2    1     3.64535506027405E-08   1.09360651808222E-07
  1    2     1.66698294022342E-18   5.00094882067026E-18
  2    2     2.61248720835879E-04   1.04499488334352E-03
  4    2     6.11825430843786E-12   3.67095258506271E-11
  3    3     1.80827340323284E-20   1.08496404193970E-19
  4    3     3.19448577217163E-12   2.23614004052014E-11
  5    3     4.84370894487158E-12   3.87496715589727E-11
  6    3     1.70836066277179E-06   1.53752459649461E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.68784980906802E-10   1.51906482816122E-09
  6    4     6.04720570692374E-07   6.04720570692374E-06
  7    4     3.23869316720190E-11   3.56256248392209E-10
  8    4     1.49534142825645E-08   1.79440971390774E-07
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.53810544051504E-25   2.53810544051504E-24
  6    5     4.48501842653159E-13   4.93352026918475E-12
  7    5     1.87662412428038E-11   2.25194894913645E-10
  8    5     1.43224438380502E-08   1.86191769894652E-07
  9    5     4.41671152954342E-09   6.18339614136078E-08
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.11469834875547E-13   1.33763801850657E-12
  7    6     8.73734159832287E-12   1.13585440778197E-10
  8    6     4.61242289319802E-11   6.45739205047723E-10
  9    6     2.77801552836713E-10   4.16702329255069E-09
 10    6     5.24220725860037E-06   8.38753161376059E-05
 11    6     5.07425615653348E-08   8.62623546610691E-07
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     8.37064630372068E-20   1.17189048252089E-18
  8    7     3.41343393762263E-10   5.12015090643395E-09
  9    7     7.91327968629271E-10   1.26612474980683E-08
 10    7     2.90006698088704E-09   4.93011386750796E-08
 11    7     2.56880446443506E-09   4.62384803598311E-08
 12    7     5.36870431279013E-10   1.02005381943012E-08
 13    7     1.17178529039404E-06   2.34357058078808E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     5.66456121169695E-15   9.06329793871511E-14
  9    8     4.89318560376799E-17   8.31841552640559E-16
 10    8     1.04589218651847E-13   1.88260593573325E-12
 11    8     1.13960122118943E-11   2.16524232025991E-10
 12    8     8.36978796888015E-10   1.67395759377603E-08
 13    8     4.71314777044884E-08   9.89761031794257E-07
 14    8     4.81910816887113E-06   1.06020379715165E-04
